project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Layer3,726651.2925206361,500000.0,500000.0,500000.0,500000.0
Zora,1394006.3094901,500000.0,500000.0,500000.0,500000.0
LI.FI,421732.7501982565,440940.5,480922.7,481556.2,486462.3007281521
Stargate Finance,343959.66937628784,390718.5,426146.8,426708.1,410329.80481570045
ODOS,293835.9048874357,328804.5,358618.8,359091.2,345377.37679303973
0x Protocol,289821.31827570737,319783.7,348780.1,349239.5,344348.38942061015
Sound.xyz,246060.66082430878,253421.6,276400.6,276764.7,282375.2799832383
Synthetix,245529.24306893727,235003.5,256312.5,256650.1,255940.21325134145
Account Abstraction - ERC-4337,222942.78494097956,208586.9,227500.5,227800.2,216803.95137620886
Aerodrome Finance,182879.71913982168,200946.3,219167.1,219455.8,202383.0945016785
Sushiswap,147695.4364301351,160725.2,175298.9,175529.8,171791.64268348634
Kwenta,150610.4534981376,152965.4,166835.5,167055.3,164039.62086718844
Perp V2 - Curie,151164.46368953332,146104.4,159352.4,159562.3,154857.23668572196
Dmail Network,126333.11718977694,142929.9,155890.1,156095.4,146848.6153736877
LayerZero,144909.49279488766,132358.2,144359.7,144549.9,153334.96867745597
Ionic Protocol,118098.84504645829,131690.4,143631.4,143820.6,138446.2928208134
Boost,117176.32541866855,128908.5,140597.2,140782.4,138502.1732113691
Party.app + Party Protocol,121059.30115516877,127800.0,139388.2,139571.8,140427.08566692894
Synapse Protocol,114964.91091583516,126470.8,137938.5,138120.2,134743.21946555056
Aave,115297.99454133182,126344.3,137800.5,137982.0,138042.37037831746
Seamless Protocol,109470.08220991527,118872.9,129651.7,129822.5,129748.79940286983
Velodrome Finance,100406.99919915925,110862.2,120914.6,121073.9,116776.65115392387
Rainbow (Rainbow Router),103542.20943383944,109095.9,118988.2,119144.9,116921.1045460928
WOOFi,96768.07195579518,106464.5,116118.1,116271.1,113050.7236682591
Holograph Foundation,93897.79076761327,104333.7,113794.2,113944.0,111944.09941433583
Kim Exchange,100243.44287864071,101818.4,111050.8,111197.1,109833.50503342564
deBridge,101230.24227388059,100379.0,109480.8,109625.0,105942.18021796214
NFTs2Me,78727.91207967498,88697.3,96739.9,96867.3,92678.61480098098
far.quest - Farcaster Super App,81808.72679375381,86411.5,94246.8,94371.0,91343.84159615437
Manifold,69725.25734873916,79072.8,86242.8,86356.4,81817.82986320907
Zerion,69498.96738226312,76038.3,82933.1,83042.3,79387.81095296485
Highlight,67692.43595140609,76002.5,82894.0,83003.2,77373.1742200665
Maverick Protocol,68229.00213665291,74879.2,81668.8,81776.4,78842.00034772628
Moonwell,66729.22762029234,73396.1,80051.3,80156.8,78708.449377457
Tarot,73962.46230541788,72476.0,79047.8,79151.9,77761.57983683664
LogX,65468.101917294865,70509.5,76903.0,77004.3,74369.55313826188
fxhash,63395.77297152822,69546.9,75853.0,75952.9,72460.10500678826
Paragraph,61223.93699759214,68988.2,75243.7,75342.8,70261.28860691976
Across Protocol,61882.27857171704,67684.5,73821.8,73919.0,73017.08350534139
Basepaint,61536.01302542132,65533.2,71475.4,71569.5,69824.59883754156
Gitcoin Passport,57758.343073640914,63251.8,68987.1,69078.0,65682.95305374803
RubyScore,57052.66600378777,61589.0,67173.6,67262.1,65139.45539837899
Compound Finance,53895.904183023566,60378.6,65853.4,65940.1,61638.07770617429
Decent.xyz,52838.9440379376,57639.6,62866.1,62948.9,62432.49554114336
Zeronym,55147.42734960806,55947.2,61020.2,61100.6,60008.52680109541
Multicall3,54336.17871746787,54675.0,59632.6,59711.2,59473.161355474556
BaseSwap,50873.41706896688,52183.3,56915.0,56990.0,56833.18461387808
Extra Finance,50996.19104057946,51151.3,55789.4,55862.9,55472.20734203449
Owlto Finance,46443.61608511399,50814.6,55422.2,55495.2,53616.05536737187
Thales Protocol,46066.61770300074,50185.8,54736.4,54808.5,53757.69626166298
ParaSwap,45864.06442958433,49840.8,54360.1,54431.7,52813.97167579703
Supswap,47133.77361335188,49764.7,54277.1,54348.6,52739.98678612595
Balancer,43132.17379805353,47917.2,52262.1,52330.9,49044.140556222555
