round,desired_increase,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,r4_capped_median_no_caps_min_removal_cost
1.0,1.0,1.0,2.0,1.0,1.0,1.0
1.0,4.222222222222222,5.0,5.0,1.0,1.0,1.0
1.0,7.444444444444445,9.0,8.0,1.0,1.0,1.0
1.0,10.666666666666668,12.0,11.0,1.0,1.0,1.0
1.0,13.88888888888889,15.0,14.0,1.0,1.0,1.0
1.0,17.11111111111111,18.0,16.0,1.0,1.0,1.0
1.0,20.333333333333336,20.0,19.0,2.0,1.0,2.0
1.0,23.555555555555557,23.0,21.0,2.0,1.0,2.0
1.0,26.77777777777778,25.0,23.0,2.0,1.0,2.0
1.0,30.0,28.0,25.0,2.0,1.0,2.0
