round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,desired_increase_percentage
1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
1.0,4.222222222222222,1.0,6.0,5.0,2.0,2.0,4.222222222222222
1.0,7.444444444444445,1.0,9.0,8.0,4.0,5.0,7.444444444444445
1.0,10.666666666666668,1.0,16.0,11.0,2.0,2.0,10.666666666666668
1.0,13.88888888888889,1.0,17.0,14.0,3.0,3.0,13.88888888888889
1.0,17.11111111111111,3.0,20.0,16.0,3.0,3.0,17.11111111111111
1.0,20.333333333333336,8.0,26.0,19.0,6.0,6.0,20.333333333333336
1.0,23.555555555555557,1.0,35.0,22.0,7.0,7.0,23.555555555555557
1.0,26.77777777777778,4.0,30.0,24.0,3.0,3.0,26.77777777777778
1.0,30.0,15.0,35.0,26.0,12.0,25.0,30.0
