normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
429072.1274364596,594115.3630700401,416115.52705445426,429072.12743645965,400000.0,Project 1
817271.411695608,868763.5379389785,848406.8698193658,817271.4116956082,400000.0,Project 2
291314.2414120559,506148.34194394085,338408.704495784,291314.24141205597,400000.0,Project 3
1521985.2260273793,1062570.3610817953,1290684.0374404676,1521985.2260273795,400000.0,Project 4
1602318.5641169243,1168448.9771559853,1521342.7600327772,1602318.5641169248,400000.0,Project 5
386414.2216709229,617004.8942358131,455531.3690623582,386414.22167092294,400000.0,Project 6
1279539.2620615321,1026642.1581386649,1200156.3079440305,1279539.2620615326,400000.0,Project 7
739188.1498641621,874444.6785994855,896463.1840143149,739188.1498641622,400000.0,Project 8
212978.01555951932,484285.51514534035,314172.4866395084,212978.01555951935,400000.0,Project 9
719918.7801554356,797576.1726899573,718718.7534969397,719918.7801554357,400000.0,Project 10
