normalized_median_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
131771.74382830597,32380.88410109363,59362.38809484104,131771.74382830638,0.0,835436.9999999999,1
221547.80279987972,76853.68043039256,86672.77194242668,221547.8027998809,0.0,1131074.0,2
183960.28822423285,41926.39609210397,63419.202559723344,183960.28822423355,0.0,1140859.0,3
285003.24391788105,30752.290438370255,58046.4509205175,285003.2439178822,0.0,1380990.0,4
129758.1699960054,31852.406962033245,74801.33854981343,129758.16999600531,0.0,1165299.0,5
271533.05975249124,50684.060447158234,77122.69074903376,271533.05975249247,0.0,1302840.0,6
478.7812735332991,46552.55204996804,93910.63057324965,478.7812735347834,0.0,1381512.0,7
146994.6699553154,52088.499346898985,64898.558006395586,146994.66995531687,0.0,819300.0,8
269859.0076558782,56058.08835660899,77429.96000861889,269859.00765587966,0.0,1602169.0,9
171968.02907967605,52458.037671877886,56608.91360496759,171968.02907967652,0.0,861400.0,10
286982.12055617035,49363.43397311878,91436.13032723317,286982.12055617134,0.0,1388631.0,11
123055.06882696896,33026.84269927489,82745.0991561155,123055.06882697021,0.0,1374408.0,12
83940.32623816951,39228.15161367011,77490.10815110081,83940.32623817076,0.0,1139826.0,13
362435.74889367225,79011.6485975699,88369.87462824682,362435.74889367283,0.0,1279034.0,14
273134.73793018184,48793.14670641394,47075.14361118199,273134.73793018237,0.0,919721.0,15
219599.0714340999,57385.83307220001,57156.007872321294,219599.0714341011,0.0,1254858.0,16
119876.37988667394,29690.786758360104,47980.51285465475,119876.37988667449,0.0,967645.9999999999,17
264800.37002541404,48130.84230167739,67932.29345443944,264800.3700254151,0.0,1302249.0,18
324050.0282812455,60552.918400586874,75313.96085042122,324050.0282812457,0.0,1242896.0,19
310967.2310854291,55195.09877106559,94445.41260257643,310967.23108543013,0.0,1418418.0,20
333335.72760145273,77055.5285666121,106907.14796213957,333335.7276014534,0.0,1636836.0,21
257159.02854402145,65565.756935124,101168.31846411753,257159.02854402218,0.0,1326385.0,22
157232.73609069485,30334.57415251393,72114.452419915,157232.73609069522,0.0,949697.0,23
272196.62153270666,82165.3257412946,105765.8166294411,272196.6215327086,0.0,1263108.0,24
175913.9851357801,56142.203028220625,76884.50611845579,175913.98513578286,0.0,1088624.0,25
178265.9692266273,55602.00914612872,75948.7710343118,178265.96922662802,0.0,1313938.0,26
168735.93123624136,42914.07456435362,59344.634185098635,168735.93123624168,0.0,1420380.0,27
255429.54905072702,52853.58519158943,77522.70780482196,255429.54905072815,0.0,1235218.0,28
161760.87380463726,28179.82808001188,54755.90901438764,161760.87380463863,0.0,1223017.0,29
77768.1678660083,19217.940887757984,48319.836240710574,77768.16786600978,0.0,1244793.0,30
191677.9244132118,40793.691947386775,72307.44061426603,191677.9244132128,0.0,1150265.0,31
237066.48283791938,38057.23607117508,67243.54317853675,237066.48283791952,0.0,1138772.0,32
170075.6320518944,73012.16502886842,110444.76128214499,170075.63205189497,0.0,1525041.0,33
245699.38844135168,40042.05359398795,53942.10319686966,245699.38844135334,0.0,1572161.0,34
201708.16122236647,66863.59595889656,72005.0207250726,201708.16122236828,0.0,1148735.0,35
139388.11306066238,37981.72687695897,58180.014265451115,139388.11306066305,0.0,1062258.0,36
236470.151320227,59412.85700504779,69905.529156996,236470.15132022847,0.0,749213.0,37
171491.3526395491,32629.12034948333,69167.38443327934,171491.35263955034,0.0,1226257.0,38
165026.80403102338,62707.77587796975,92405.98499336763,165026.80403102396,0.0,1443586.0,39
244906.84012667407,63238.74821665912,108716.89897392847,244906.84012667724,0.0,1339043.0,40
0.0,41661.3043610208,99339.99355646566,0.0,0.0,1153033.0,41
349177.2533317994,58012.22839934856,63072.27861383883,349177.2533318002,0.0,1136223.0,42
218297.03436686052,41749.14114305627,81333.92263760528,218297.0343668619,0.0,1060051.0,43
242296.09800106258,30836.594228219532,56379.847964415385,242296.0980010637,0.0,871308.0,44
175889.51853088717,42980.31913118414,63126.311757819436,175889.5185308875,0.0,1216244.0,45
151413.0037755673,39630.791999393725,81885.24331495666,151413.00377556734,0.0,1180249.0,46
228605.33375095238,25189.214602486172,54081.225635289564,228605.33375095262,0.0,1547650.0,47
263615.26366201,48882.71226893418,73003.37085360632,263615.2636620106,0.0,957683.0,48
