normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
203631.48165842364,161988.89948971395,186287.2726804285,203631.48165842364,203631.48165842364,Project 1
117793.8465807808,125432.14344611064,116019.43353386014,117793.84658078078,117793.8465807808,Project 2
116213.75603621003,124246.69060222348,114007.55775112088,116213.75603621002,116213.75603621003,Project 3
65019.00318523399,100725.94622894288,81253.23993664017,65019.003185233974,65019.00318523399,Project 4
158097.33899270752,147213.03293145823,156645.0602001219,158097.33899270752,158097.33899270752,Project 5
79718.7470701041,104053.71035663111,84762.18850330474,79718.74707010409,79718.7470701041,Project 6
143149.42319980438,137846.1291407859,136107.2360478426,143149.42319980438,143149.42319980438,Project 7
400792.1563706645,229097.30612516403,371121.2258268463,400792.1563706645,400792.1563706645,Project 8
88093.64005791112,107769.25779561859,88706.19262130746,88093.6400579111,88093.64005791112,Project 9
58444.91209067493,89565.67583756529,67217.80841381333,58444.91209067492,58444.91209067493,Project 10
68341.72432818115,99724.04129639777,79387.03679934314,68341.72432818115,68341.72432818115,Project 11
218145.80377162978,170863.50624330872,208622.87086517748,218145.80377162975,218145.80377162978,Project 12
172301.87932596053,155494.57907003848,177381.898119235,172301.8793259605,172301.87932596053,Project 13
178078.10594898564,157744.18661395428,178563.34692050022,178078.10594898564,178078.10594898564,Project 14
64373.478696448285,94136.16085613199,72113.82511707376,64373.478696448285,64373.478696448285,Project 15
62217.26095530921,97762.26740405758,78018.82846867118,62217.260955309204,62217.26095530921,Project 16
100376.02889024134,118799.60817244595,105566.12250742133,100376.02889024133,100376.02889024134,Project 17
75668.25708233521,101940.26243553648,82539.07625480214,75668.2570823352,75668.25708233521,Project 18
64402.97006617461,94873.55453307524,70052.42226261838,64402.97006617461,64402.97006617461,Project 19
138964.78898686107,134593.96788646426,131800.12070578698,138964.78898686107,138964.78898686107,Project 20
144506.23661707458,138406.49014468567,138175.83995504215,144506.23661707455,144506.23661707458,Project 21
123973.28790053903,128588.69986435861,123750.91185622658,123973.28790053901,123973.28790053903,Project 22
141305.35496973057,139997.3081613327,144138.0837748407,141305.35496973054,141305.35496973057,Project 23
207315.4936484833,162827.22990486238,188323.2511162768,207315.4936484833,207315.4936484833,Project 24
224888.9915803462,166843.10490848953,197999.40000896674,224888.99158034616,224888.9915803462,Project 25
67876.4779235278,99833.04406668957,76340.74130228044,67876.4779235278,67876.4779235278,Project 26
79980.10358118062,100863.33466675243,82656.96692751569,79980.10358118062,79980.10358118062,Project 27
167742.43617197598,151161.39962626237,163875.1392305518,167742.43617197598,167742.43617197598,Project 28
56471.29525638941,91850.94698137611,67647.0101804105,56471.2952563894,56471.29525638941,Project 29
64239.146480271374,94983.30277000852,72175.49634905464,64239.146480271374,64239.146480271374,Project 30
53465.544268154954,97562.70800052935,77322.25589609977,53465.54426815495,53465.544268154954,Project 31
45792.38996745987,85225.84385208279,63866.665191728105,45792.389967459865,45792.38996745987,Project 32
82781.9262957407,116581.68049945902,108893.94425451336,82781.92629574069,82781.9262957407,Project 33
90614.74369617311,104347.75106415027,86320.16836482479,90614.7436961731,90614.74369617311,Project 34
132868.30243974598,137310.8552517124,137281.2272579907,132868.30243974598,132868.30243974598,Project 35
