normalized_median_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
50778.27796093577,22172.127912875163,47491.94783248569,50778.27796093439,50778.27796093577,1148668.0,1
38158.49759383002,22542.177893433036,50248.02055033243,38158.49759382845,38158.49759383002,1177743.0,2
29505.315356699626,21378.157960293,45434.17378196359,29505.315356698993,29505.315356699626,1088847.0,3
17679.056818697813,21143.81598840216,50347.81330148306,17679.056818697223,17679.056818697813,1225739.0,4
25457.755596084295,26044.446127827643,56270.445952107984,25457.755596082046,25457.755596084295,1337299.0,5
28566.072882189037,22181.33738322908,49554.89845622717,28566.07288218681,28566.072882189037,1173248.0,6
39612.33359648247,23317.777563353302,51074.22850429461,39612.33359648187,39612.33359648247,1182503.0,7
22903.52863008241,19512.816024566695,48296.36206588877,22903.528630081804,22903.52863008241,1192700.0,8
21982.42094569293,23373.115763108493,52556.739335720384,21982.42094569176,21982.42094569293,1325247.0,9
33235.792112436306,16201.479977862298,35879.08342321059,33235.79211243476,33235.792112436306,849366.0,10
60756.782100696015,20509.82723740097,39989.02419394513,60756.78210069619,60756.782100696015,974433.0,11
56100.65473489782,32841.659803190356,65532.50293039901,56100.654734898686,56100.65473489782,1518486.0,12
51434.62257481511,31405.329154090578,61158.16094715408,51434.62257481524,51434.62257481511,1423023.0,13
43628.46901471452,14628.558917742776,26812.503556205564,43628.46901471383,43628.46901471452,642270.0,14
43891.76573170851,22143.236306389634,47437.89927864885,43891.76573170951,43891.76573170851,1148446.0,15
47748.24755540452,25737.019750361083,51893.67321801782,47748.24755540401,47748.24755540452,1249185.0,16
32192.925411685814,25877.183049543615,53716.13348294575,32192.9254116858,32192.925411685814,1278200.0,17
27840.506734276896,22759.140907514462,51964.009704833974,27840.506734275463,27840.506734276896,1271020.0,18
26196.83938231574,26406.353637934415,61577.63781370034,26196.839382315855,26196.83938231574,1515645.0,19
23477.799911380404,27224.1904295439,65713.30232333751,23477.79991137894,23477.799911380404,1584355.0,20
29708.55681949595,23638.65756742598,52188.681944730044,29708.556819495345,29708.55681949595,1202478.0,21
17628.06155835941,22738.74022427191,59024.24454975484,17628.061558359514,17628.06155835941,1415155.0,22
47687.578335517544,25482.99263079159,53203.31539368038,47687.57833551839,47687.578335517544,1301652.0,23
50315.98797069324,26742.64573694633,58557.45479318874,50315.98797069271,50315.98797069324,1396474.0,24
28832.756648541188,30119.342606090344,64698.341654873955,28832.75664854057,28832.756648541188,1495253.0,25
33915.84604222097,22071.07267242456,48633.99408964869,33915.84604222121,33915.84604222097,1206968.0,26
42790.69732193951,29410.578888399148,60047.11573658684,42790.697321938176,42790.69732193951,1394947.0,27
37993.420628392436,22683.95780228662,48708.28798722911,37993.42062839117,37993.420628392436,1204553.0,28
39913.00443219092,20640.41148396663,48177.20019047325,39913.00443219039,39913.00443219092,1225022.0,29
37574.25178164478,22658.11178222086,44921.21936114045,37574.25178164499,37574.25178164478,1042080.0,30
27708.473143071722,24630.35601739565,48306.74890933022,27708.473143070216,27708.473143071722,1131907.0,31
57922.96550942563,34320.68494493126,65056.815300164104,57922.96550942447,57922.96550942563,1511299.0,32
41200.8634568027,18981.70269113341,36928.64617842434,41200.86345680353,41200.8634568027,865444.0,33
47035.203337015104,24631.17520318307,48043.84194174547,47035.20333701447,47035.203337015104,1131054.0,34
12121.219364524535,24013.835715291134,55949.51550470633,12121.21936452297,12121.219364524535,1297823.0,35
27186.79083815983,22954.057340897692,47491.80108487943,27186.790838159257,27186.79083815983,1085869.0,36
26040.582468021974,30141.842300871038,69304.43116590676,26040.58246801988,26040.582468021974,1700966.0,37
20093.99569289195,23158.707908880373,53586.44662231969,20093.995692889795,20093.99569289195,1298794.0,38
12876.07760684233,25201.63663517972,60001.86430478576,12876.077606840736,12876.07760684233,1390591.0,39
39515.66638078663,18197.484883070443,41009.1024521407,39515.666380786155,39515.66638078663,1027754.0,40
54556.10799560924,19366.624654748783,42326.14661941097,54556.107995609505,54556.10799560924,1079481.0,41
37108.455043574024,28422.70702307571,62166.68337818584,37108.45504357253,37108.455043574024,1441603.0,42
18768.383433848416,14276.184051989432,32506.109049304752,18768.383433847812,18768.383433848416,795870.0,43
37606.348840251965,26650.425725077206,52574.43930880192,37606.34884025142,37606.348840251965,1250658.0,44
15429.476574951848,22134.058178567604,51986.04859198414,15429.476574948596,15429.476574951848,1252358.0,45
20920.37284577392,24610.862534111002,56210.83885490204,20920.37284577266,20920.37284577392,1358833.0,46
47539.85529913821,19299.881519113012,35785.03393390242,47539.855299136296,47539.85529913821,838290.0,47
32267.95725461364,30375.637135605517,68220.00474060219,32267.95725461143,32267.95725461364,1599532.0,48
16392.251125126524,26698.493137475118,62843.49369457902,16392.251125125185,16392.251125126524,1483458.0,49
20407.924489046207,17933.519938380952,37770.00493583838,20407.924489045632,20407.924489046207,891883.0,50
10926.434199789248,23349.078410796646,53710.34114076094,10926.43419978959,10926.434199789248,1247874.0,51
36173.34614810647,20790.434524969198,47719.9971590598,36173.34614810651,36173.34614810647,1172183.0,52
19721.264334081498,23275.62490239572,51341.820865910806,19721.26433408082,19721.264334081498,1198707.0,53
35630.78098234337,26553.17020002754,54866.03369427543,35630.780982342694,35630.78098234337,1296436.0,54
54709.06449097684,28566.044244829536,59800.68240912891,54709.064490975674,54709.06449097684,1423207.0,55
23235.25290733308,17090.85241497976,40141.05411550504,23235.25290733097,23235.25290733308,1011017.0,56
29374.43851832635,22642.629186507576,50878.460687012215,29374.438518324896,29374.43851832635,1221877.0,57
52681.0386776897,25760.212393710273,49049.91575877168,52681.03867768776,52681.0386776897,1152994.0,58
52915.07615714891,25333.731940748243,56350.346009135195,52915.0761571475,52915.07615714891,1339880.0,59
37597.98665834709,21050.21679763707,44034.88716025378,37597.986658345035,37597.98665834709,1073934.0,60
27009.834716067882,25325.90440835341,52098.639856632115,27009.834716067322,27009.834716067882,1228156.0,61
42347.89967676134,35307.14141984409,67750.67468556396,42347.89967676077,42347.89967676134,1550697.0,62
64986.36184885275,25694.961758561025,53057.25494169216,64986.361848851324,64986.36184885275,1258538.0,63
17961.34776500146,25160.278660474476,57987.182511505285,17961.347765001483,17961.34776500146,1403553.0,64
7565.645505218214,17676.589174521694,40513.95799988988,7565.645505217522,7565.645505218214,938860.0,65
44122.21004500167,26176.436334378464,55782.8783661045,44122.21004500031,44122.21004500167,1315792.0,66
29197.436200454133,23240.61953304292,47879.89572136315,29197.436200455042,29197.436200454133,1136206.0,67
37377.536946265776,28205.5916095593,55203.62111926314,37377.53694626513,37377.536946265776,1314637.0,68
7095.165673637479,19399.390368322333,46215.96503981493,7095.165673637668,7095.165673637479,1147593.0,69
24979.299577516424,25485.32491386436,54527.04394237587,24979.299577515027,24979.299577516424,1276260.0,70
27467.721691978833,27441.78268087239,54986.779628411474,27467.721691976476,27467.721691978833,1294660.0,71
27050.604616899494,27116.475148130223,58655.40026116709,27050.60461689895,27050.604616899494,1405010.0,72
18985.168654479377,19646.18694294931,42794.41889810419,18985.16865447796,18985.168654479377,1009382.0,73
15063.3288006383,25057.041673332526,56935.97050683364,15063.328800637653,15063.3288006383,1336008.0,74
23235.35820452845,21330.92352960621,50784.37998082194,23235.35820452871,23235.35820452845,1273919.0,75
46867.16288517441,21607.29558161582,45916.85250421408,46867.16288517382,46867.16288517441,1108245.0,76
3217.3393884804973,25213.021329472336,59571.3611963397,3217.3393884806574,3217.3393884804973,1398417.0,77
44297.47855247754,27171.050898894595,58518.50040414751,44297.47855247687,44297.47855247754,1390811.0,78
21585.464365343418,25915.320552978083,53159.10408036458,21585.46436534354,21585.464365343418,1247140.0,79
10466.397560876467,21813.224497220057,53961.67823555249,10466.397560875062,10466.397560876467,1282688.0,80
24903.215661769456,16117.749128172683,39857.42434839186,24903.215661769478,24903.215661769456,1024249.0,81
20460.09064883214,18001.888179659494,40667.452132059785,20460.09064883079,20460.09064883214,977528.0,82
23089.22056557036,28389.943778289628,59469.6040712856,23089.22056556971,23089.22056557036,1366071.0,83
16495.407014995297,17999.566635466457,40752.81531989212,16495.40701499532,16495.407014995297,958144.0,84
25048.72157099765,26549.139487004635,60003.84860711846,25048.721570997033,25048.72157099765,1403144.0,85
25892.768882098593,24939.91181160578,53839.98305400559,25892.76888209802,25892.768882098593,1346122.0,86
27367.512989701805,16338.561623777074,32949.97409071446,27367.512989701143,27367.512989701805,783548.0,87
48629.318076766656,23341.8935538332,48909.62162509862,48629.31807676841,48629.318076766656,1165152.0,88
33367.09849309948,21610.31993280245,49786.709939455846,33367.09849309882,33367.09849309948,1158338.0,89
37202.95869924174,22719.69664379985,44635.799503391994,37202.958699242,37202.95869924174,1039345.0,90
27688.957180643178,19115.816403004006,35573.19299969028,27688.95718064339,27688.957180643178,832190.0,91
30845.400244726603,20850.639040712107,48742.82972465134,30845.40024472749,30845.400244726603,1157587.0,92
28397.960659212848,24473.838892069616,58774.377113421135,28397.960659213,28397.960659212848,1398323.0,93
24228.03478920972,23990.661122305406,50877.34209159,24228.034789209087,24228.03478920972,1194801.0,94
10149.059943132925,23678.46780596758,53070.79076156132,10149.059943133296,10149.059943132925,1252922.0,95
11459.370588641039,21547.831326542175,45321.63390495525,11459.370588640348,11459.370588641039,1045390.0,96
32201.976640624962,23014.118720882878,52283.97245391178,32201.976640623652,32201.976640624962,1251438.0,97
38780.8114611353,24518.319072486527,56476.48479141493,38780.81146113564,38780.8114611353,1364114.0,98
21683.884209956654,17030.360118835888,37510.18398907422,21683.88420995437,21683.884209956654,931353.0,99
37473.95252757784,23727.924148224483,51603.984570519846,37473.95252757801,37473.95252757784,1241251.0,100
