round,desired_increase,normalized_median_min_removal_cost,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,desired_increase_percentage
50.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.5,2.0,1.0,1.3,1.0,1.0,1.0,2.0
50.5,3.0,1.0,2.0,2.0,1.0,1.0,3.0
50.5,4.0,1.0,2.45,2.0,1.0,1.0,4.0
50.5,5.0,1.01,3.0,2.26,1.01,1.01,5.0
50.5,6.0,1.02,3.44,3.0,1.02,1.02,6.0
50.5,7.0,1.09,4.04,3.0,1.09,1.09,7.0
50.5,8.0,1.28,4.46,3.99,1.28,1.28,8.0
50.5,9.0,1.38,5.03,4.0,1.38,1.38,9.0
50.5,10.0,1.57,5.45,4.09,1.57,1.57,10.0
50.5,11.0,1.69,6.05,5.0,1.69,1.69,11.0
50.5,12.0,1.84,6.57,5.0,1.84,1.84,12.0
50.5,13.0,2.02,6.95,5.23,2.02,2.02,13.0
50.5,14.0,2.13,7.51,5.99,2.13,2.13,14.0
50.5,15.0,2.29,8.09,6.02,2.29,2.29,15.0
50.5,16.0,2.44,8.48,6.33,2.44,2.44,16.0
50.5,17.0,2.65,8.97,6.97,2.65,2.65,17.0
50.5,18.0,2.8,9.48,7.05,2.8,2.8,18.0
50.5,19.0,2.86,9.95,7.44,2.86,2.86,19.0
50.5,20.0,2.9,10.47,7.91,2.9,2.9,20.0
50.5,21.0,3.15,10.97,8.03,3.15,3.15,21.0
50.5,22.0,3.35,11.49,8.27,3.35,3.35,22.0
50.5,23.0,3.39,12.07,8.91,3.39,3.39,23.0
50.5,24.0,3.55,12.65,9.04,3.55,3.55,24.0
50.5,25.0,3.68,12.99,9.25,3.68,3.68,25.0
50.5,26.0,3.77,13.39,9.78,3.77,3.77,26.0
50.5,27.0,3.82,13.8,9.95,3.82,3.82,27.0
50.5,28.0,4.08,14.33,10.18,4.08,4.08,28.0
50.5,29.0,4.26,14.75,10.5,4.26,4.26,29.0
50.5,30.0,4.35,15.15,10.88,4.35,4.35,30.0
