round,desired_increase,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,r4_capped_median_no_caps_bribery_cost,desired_increase_percentage
15.5,1.0,139421.2105972253,64828.510317170156,44381.14561222714,44381.14561222714,44381.14561222714,1.0
15.5,4.222222222222224,1277298.281741023,237725.6004646663,161552.9944811482,161552.9944811482,161552.9944811482,4.222222222222222
15.5,7.444444444444447,3634158.278540179,433444.72035059583,290443.94748599845,1564739.2290584482,290443.94748599845,7.444444444444445
15.5,10.66666666666667,7576713.310922098,627767.2193205729,422099.9315398244,7487815.375126924,422099.9315398244,10.666666666666668
15.5,13.888888888888895,8000000.0,865019.3683783248,561613.2883808751,8000000.0,561613.2883808751,13.88888888888889
15.5,17.111111111111104,8000000.0,1040798.9521967777,657815.6657890524,8000000.0,657815.6657890524,17.11111111111111
15.5,20.33333333333334,8000000.0,1283515.453599914,802237.4225978688,8000000.0,802237.4225978688,20.333333333333336
15.5,23.555555555555554,8000000.0,1455257.1735221571,928166.1069505549,8000000.0,928166.1069505549,23.555555555555557
15.5,26.77777777777779,8000000.0,1767009.2264652972,1143455.8742458257,8000000.0,1143455.8742458257,26.77777777777778
15.5,30.0,8000000.0,2017983.8179679052,1311152.3316329212,8000000.0,1311152.3316329212,30.0
