round,voting_rule,max_vev,project_max_vev,project_max_vev_percentage,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
1,normalized_median,95440.63666559604,5430.370001617295,0.0005430370001617295,179961.70025145536,185392.07025307266,0.018539207025307265
1,r1_quadratic,59793.09062478655,9387.467276794341,0.0009387467276794341,181150.83555358424,190538.30283037858,0.019053830283037858
1,r2_mean,183515.87889456062,91661.80892042875,0.009166180892042875,4082.3838122699594,95744.1927326987,0.009574419273269871
1,r3_median,91938.60891258775,988.0720195513932,9.880720195513932e-05,46931.39171702273,47919.46373657412,0.004791946373657412
1,r4_capped_median,87704.54178153994,1403.6255873113987,0.00014036255873113988,113050.72366825967,114454.34925557107,0.011445434925557108
2,normalized_median,96880.70631734063,6716.8620895282365,0.0006716862089528237,137701.0845635302,144417.94665305843,0.014441794665305843
2,r1_quadratic,62914.94253324064,8706.61147442428,0.0008706611474424281,72823.09518433701,81529.7066587613,0.00815297066587613
2,r2_mean,183621.63860321825,91665.83085505571,0.00916658308550557,3180.822473749557,94846.65332880527,0.009484665332880527
2,r3_median,98631.31932033683,1613.6404973704775,0.00016136404973704775,97599.91693144309,99213.55742881357,0.009921355742881357
2,r4_capped_median,78602.55852774071,2158.619389905507,0.0002158619389905507,134743.21946555137,136901.83885545688,0.013690183885545689
3,normalized_median,89387.76183647604,843.4623842553337,8.434623842553338e-05,57922.85751836251,58766.31990261784,0.005876631990261784
3,r1_quadratic,57988.4203848343,9671.834548535466,0.0009671834548535466,234976.12893932252,244647.96348785798,0.0244647963487858
3,r2_mean,183568.7899526587,91666.5819602316,0.00916665819602316,1796.9684501195563,93463.55041035116,0.009346355041035117
3,r3_median,101667.9747313933,13525.903952445253,0.0013525903952445253,730362.4989136301,743888.4028660754,0.07438884028660754
3,r4_capped_median,80274.79108365334,8051.800108236726,0.0008051800108236726,282375.279983241,290427.0800914777,0.029042708009147773
4,normalized_median,102883.96571577262,6790.318349510228,0.0006790318349510228,137701.0845635302,144491.40291304042,0.014449140291304043
4,r1_quadratic,60946.40884270388,8660.207635358594,0.0008660207635358594,51982.595909054864,60642.80354441346,0.006064280354441346
4,r2_mean,183460.1942453586,91663.02392888193,0.009166302392888194,5489.975495009364,97152.99942389129,0.009715299942389129
4,r3_median,96523.8950231093,3015.681247399334,0.0003015681247399334,136256.05593712657,139271.7371845259,0.01392717371845259
4,r4_capped_median,86589.73584358644,8487.982819483557,0.0008487982819483557,282375.279983241,290863.26280272455,0.029086326280272454
5,normalized_median,94226.89019862114,857.3520141007466,8.573520141007466e-05,14661.660922540192,15519.012936640938,0.0015519012936640938
5,r1_quadratic,55740.19257269388,8861.05174142099,0.000886105174142099,156300.99724566,165162.04898708098,0.016516204898708097
5,r2_mean,183732.5862429027,91666.12373069438,0.009166612373069438,31608.23200168021,123274.35573237459,0.012327435573237459
5,r3_median,94241.89149777431,1800.1140353776718,0.0001800114035377672,123075.38210803777,124875.49614341544,0.012487549614341543
5,r4_capped_median,74986.75133482821,2649.354216555221,0.00026493542165552207,164039.62086718978,166688.975083745,0.0166688975083745
6,normalized_median,91620.21945167475,1523.1181920328818,0.00015231181920328818,103967.77863883498,105490.89683086786,0.010549089683086786
6,r1_quadratic,60946.40884270388,9387.467276794341,0.0009387467276794341,181150.83555358424,190538.30283037858,0.019053830283037858
6,r2_mean,183732.58624290265,91666.70977858278,0.009166670977858279,1435.8457989705016,93102.55557755328,0.009310255557755328
6,r3_median,95413.21350663487,1355.1534147004277,0.00013551534147004276,115296.98555846546,116652.13897316589,0.011665213897316588
6,r4_capped_median,81236.17244979549,1625.9890081674966,0.00016259890081674966,37260.49132133281,38886.48032950031,0.003888648032950031
7,normalized_median,104165.89217775341,13855.828113714233,0.0013855828113714234,1457782.765631567,1471638.5937452812,0.1471638593745281
7,r1_quadratic,62914.94253324064,9100.885056112893,0.0009100885056112893,132116.27048776805,141217.15554388094,0.014121715554388094
7,r2_mean,183518.47763313606,91666.45481926126,0.009166645481926125,3836.293517816597,95502.74833707785,0.009550274833707784
7,r3_median,94112.93716646323,1177.7221125743818,0.00011777221125743818,70060.33980528083,71238.06191785522,0.007123806191785521
7,r4_capped_median,82312.69128087697,1676.2830614451377,0.00016762830614451378,116921.10454609356,118597.3876075387,0.01185973876075387
8,normalized_median,92006.40505425741,2910.92209266148,0.000291092209266148,103839.32878917821,106750.25088183969,0.010675025088183968
8,r1_quadratic,59793.09062478656,9207.745580509538,0.0009207745580509538,234976.12893932252,244183.87451983205,0.024418387451983204
8,r2_mean,183463.47407507538,91664.98056189809,0.009166498056189808,2019.478188531002,93684.4587504291,0.00936844587504291
8,r3_median,99121.55614873781,1693.4244953228772,0.00016934244953228773,123075.38210803777,124768.80660336064,0.012476880660336065
8,r4_capped_median,81905.00405516863,5664.562373093213,0.0005664562373093213,255940.21325134387,261604.77562443708,0.026160477562443708
9,normalized_median,105296.94276327832,5068.2098953585955,0.0005068209895358596,307114.09028063616,312182.30017599475,0.031218230017599474
9,r1_quadratic,54975.57677229775,8762.397064986406,0.0008762397064986406,67063.12434801813,75825.52141300454,0.007582552141300453
9,r2_mean,183609.11170479667,91658.46052591516,0.009165846052591516,4749.625548080987,96408.08607399615,0.009640808607399616
9,r3_median,94946.12071506154,1639.6308320551325,0.00016396308320551324,122666.79350570744,124306.42433776257,0.012430642433776257
9,r4_capped_median,85154.68756419561,2578.3437300770747,0.0002578343730077075,55472.20734203461,58050.55107211169,0.005805055107211169
10,normalized_median,95463.34067949947,6233.502116274205,0.0006233502116274205,137701.0845635302,143934.5866798044,0.01439345866798044
