round,desired_increase,normalized_median_min_removal_cost,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,desired_increase_percentage
20.5,1.0,1.0,2.0,2.0,1.05,1.025,1.0
20.5,12.0,4.0,17.575,12.35,4.175,4.55,12.0
20.5,23.0,6.65,31.65,21.7,6.775,7.55,23.0
20.5,34.0,10.225,43.0,29.55,10.55,11.075,34.0
20.5,45.0,13.025,52.075,35.925,13.275,16.625,45.0
20.5,56.0,14.075,58.275,41.325,14.25,19.725,56.0
20.5,67.0,15.6,66.85,46.175,16.0,18.575,67.0
20.5,78.0,18.65,74.275,51.05,19.95,24.05,78.0
20.5,89.0,17.0,79.0,54.25,17.4,23.075,89.0
20.5,100.0,20.475,82.1,57.6,20.6,23.75,100.0
