round,desired_increase,normalized_median_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
1.5,1.0,564.6034228487379,96.0680968528268,544.8059719637777,564.6034228487416,462.96971362076056
1.5,12.0,1168.4118309893365,100.23454303315224,559.894427844819,1168.4118309893365,1278.9092906599199
1.5,23.0,1552.5004770907185,174.93508323401105,977.1599228511208,1552.5004770907183,2232.025970691024
1.5,34.0,1967.3221246778828,237.3713556406989,1325.9191425578804,1967.3221246778828,3028.6608077319474
1.5,45.0,2017.3356957864255,290.33453844085483,1621.7631703091317,2017.3356957864255,3704.426910877008
1.5,56.0,2333.442428744413,335.8285544358606,1875.8856044031556,2333.4424287444126,4284.892666142635
1.5,67.0,2607.906358558234,375.32934676685363,375.3293467668536,2607.906358558234,4788.88987879842
1.5,78.0,2848.4477801928188,409.94801869738683,409.94801869738683,2848.4477801928183,5230.595301125961
1.5,89.0,3060.9896712667637,440.53700394817537,440.5370039481754,3060.9896712667637,5620.8852774682855
1.5,100.0,3250.151954322576,467.76120082137726,467.76120082137726,2612.8406632758238,5968.243356412956
