round,desired_increase,normalized_median_min_removal_cost,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,desired_increase_percentage
50.5,1.0,1.0,1.99,2.0,1.04,1.0,1.0
50.5,4.222222222222222,1.58,6.26,5.0,1.71,1.19,4.222222222222222
50.5,7.444444444444445,2.4,10.93,8.05,2.55,1.63,7.444444444444445
50.5,10.666666666666671,3.34,15.46,11.14,3.59,1.93,10.666666666666668
50.5,13.88888888888889,3.93,19.35,14.05,4.16,2.52,13.88888888888889
50.5,17.11111111111111,4.93,23.62,16.84,5.36,2.55,17.11111111111111
50.5,20.333333333333336,5.8,28.02,19.39,6.24,2.62,20.333333333333336
50.5,23.555555555555557,6.65,31.4,21.91,7.32,3.16,23.555555555555557
50.5,26.77777777777778,6.88,34.5,24.23,7.47,3.17,26.77777777777778
50.5,30.0,8.07,38.52,26.5,8.65,3.6,30.0
