normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
12785.961362563969,15248.418136034528,13916.387453176672,12785.96136256397,12785.961362563969,Project 1
13612.593787932057,15319.076058609344,13579.005282626324,13612.593787932059,13612.593787932057,Project 2
23176.947839552293,19697.698729038577,21869.44554937978,23176.947839552297,23176.947839552293,Project 3
6071.301635315878,10793.153062654232,7450.437910836001,6071.301635315879,6071.301635315878,Project 4
6728.3142415865095,11013.536625835666,8418.363321491368,6728.31424158651,6728.3142415865095,Project 5
23353.823684615378,20300.835929808924,23697.047808556556,23353.82368461538,23353.823684615378,Project 6
32419.527582941842,23254.085268962084,30253.063472729787,32419.52758294185,32419.527582941842,Project 7
8555.445821921747,12000.288169704569,9287.572762030668,8555.445821921747,8555.445821921747,Project 8
14969.386058793378,15635.850244364663,14301.825213256363,14969.38605879338,14969.386058793378,Project 9
8542.225153155418,12646.790835714686,10319.364766947716,8542.22515315542,8542.225153155418,Project 10
8306.692877539434,11414.219741401612,8382.50896817982,8306.692877539434,8306.692877539434,Project 11
6002.271696298964,10598.925007363392,7378.46272000641,6002.271696298965,6002.271696298964,Project 12
19187.850789078162,17588.88008336337,17497.760924623668,19187.850789078166,19187.850789078162,Project 13
15566.948864590291,16171.77260541991,14928.07681798746,15566.948864590293,15566.948864590291,Project 14
12779.207789898814,15169.752037608665,13566.057477458908,12779.207789898815,12779.207789898814,Project 15
34614.51614145783,23943.714960779456,31885.37092823727,34614.51614145783,34614.51614145783,Project 16
28090.485530317794,22007.947168749797,27301.14414496497,28090.485530317797,28090.485530317794,Project 17
24922.52444399144,20262.940823929817,23104.817823522117,24922.524443991442,24922.52444399144,Project 18
5943.675053936153,10423.068932039216,7304.435794309421,5943.675053936154,5943.675053936153,Project 19
18522.54185329709,17914.955105888428,18324.900830611252,18522.54185329709,18522.54185329709,Project 20
27391.161372254715,21294.74496720368,25408.23059094315,27391.161372254715,27391.161372254715,Project 21
11496.120509270542,14139.534105847848,11860.260967478536,11496.120509270544,11496.120509270542,Project 22
6715.031775767269,11054.87314019915,7909.542062694007,6715.031775767269,6715.031775767269,Project 23
28762.05795190233,21770.03860622557,26591.264712900116,28762.057951902334,28762.05795190233,Project 24
30243.192471092047,22458.911606414626,28205.29289029478,30243.19247109205,30243.192471092047,Project 25
13628.671878718778,14923.540518509288,12885.524889982707,13628.67187871878,13628.671878718778,Project 26
33566.43513134704,23734.080546893823,31642.82499865458,33566.43513134705,33566.43513134704,Project 27
28353.156376820127,22192.43461054691,27632.403132281193,28353.15637682013,28353.156376820127,Project 28
11604.511574637347,14503.85217763206,12626.365843959056,11604.511574637347,11604.511574637347,Project 29
10244.185658201926,13142.940320115702,10562.279235118056,10244.185658201928,10244.185658201926,Project 30
15558.259017897413,16058.797736029363,14983.060928107334,15558.259017897415,15558.259017897413,Project 31
16950.56178578784,17071.367578750942,16886.294337304706,16950.561785787842,16950.56178578784,Project 32
10899.657309146733,14238.442040118114,12693.173808413127,10899.657309146734,10899.657309146733,Project 33
9681.904917156253,13093.771167720342,11003.655913674978,9681.904917156255,9681.904917156253,Project 34
8335.289630798123,12022.965319665655,8982.82170371014,8335.289630798125,8335.289630798123,Project 35
12174.158000469122,14066.879474865675,11669.638832376622,12174.158000469124,12174.158000469122,Project 36
20825.036536046806,18582.414596425257,19526.3473022166,20825.03653604681,20825.036536046806,Project 37
12315.623659135274,14742.337502631426,12993.4933907613,12315.623659135275,12315.623659135274,Project 38
11664.304555309121,15097.874397673017,13641.338353373056,11664.304555309123,11664.304555309121,Project 39
8323.733326460613,12313.937773151078,9817.688267642458,8323.733326460615,8323.733326460613,Project 40
8558.533149886907,12130.631176584142,9524.99481475349,8558.533149886907,8558.533149886907,Project 41
24845.42973298411,20187.41437712268,22889.67386703084,24845.429732984114,24845.42973298411,Project 42
12124.77712671552,14441.157188915038,12344.223464526453,12124.77712671552,12124.77712671552,Project 43
10322.86882065761,13303.912727290208,10709.288361043271,10322.868820657612,10322.86882065761,Project 44
11242.409169061437,14597.999193646836,12858.987810347358,11242.409169061439,11242.409169061437,Project 45
6222.229996659941,10445.061497841381,7605.583368718517,6222.229996659942,6222.229996659941,Project 46
12353.146134739816,14647.528297923307,13234.418913762018,12353.146134739816,12353.146134739816,Project 47
13970.331212607412,15459.147752037707,14020.472307702657,13970.331212607412,13970.331212607412,Project 48
15329.05134776297,16773.66909827222,16672.499472598935,15329.051347762972,15329.05134776297,Project 49
10685.784600991325,13522.696055184997,11151.652094401907,10685.784600991326,10685.784600991325,Project 50
16201.586963557196,16442.462311556243,15431.39065319167,16201.5869635572,16201.586963557196,Project 51
6835.57988504234,11042.26134649834,8156.498881892378,6835.57988504234,6835.57988504234,Project 52
12715.961594782611,15043.44008842871,13225.039990340063,12715.961594782613,12715.961594782611,Project 53
15510.728174517359,16212.694591173245,15332.25484667013,15510.72817451736,15510.728174517359,Project 54
29727.7780908446,22299.342124598752,27858.242372604112,29727.778090844604,29727.7780908446,Project 55
7317.499400415146,10929.003038808392,7629.292006810825,7317.499400415147,7317.499400415146,Project 56
5882.807225116886,10370.670504788633,7566.641223090878,5882.807225116887,5882.807225116886,Project 57
5951.2432260938485,10624.549857009528,7904.990087774805,5951.243226093849,5951.2432260938485,Project 58
17471.330608428594,17225.085406185433,16914.071746473284,17471.330608428598,17471.330608428594,Project 59
8805.885228265533,12693.789703034863,10240.075323371067,8805.885228265533,8805.885228265533,Project 60
13611.53860474299,15184.766374990553,13467.716289064078,13611.538604742991,13611.53860474299,Project 61
16383.081041527004,16677.87156504248,15970.739430693777,16383.081041527008,16383.081041527004,Project 62
22802.72467738305,19464.277449786114,21396.967963957188,22802.724677383052,22802.72467738305,Project 63
6574.219205821988,11253.061521191463,8237.433248535788,6574.219205821989,6574.219205821988,Project 64
14139.909951054116,15147.96294749591,13235.7442834253,14139.909951054118,14139.909951054116,Project 65
10326.683812397432,13210.615367339531,10551.007928196104,10326.683812397434,10326.683812397432,Project 66
33978.8861487923,23392.8324907783,30512.86953931382,33978.8861487923,33978.8861487923,Project 67
9172.440481243591,12985.910148578883,10900.323018630876,9172.440481243593,9172.440481243591,Project 68
18723.423770248104,17970.416634832374,18497.16572097228,18723.423770248108,18723.423770248104,Project 69
23133.049046934724,19636.599630241744,21829.910820245495,23133.049046934724,23133.049046934724,Project 70
6922.487714080163,11628.520622335505,8851.509901791522,6922.487714080164,6922.487714080163,Project 71
7596.072915734081,11680.127082928379,8688.50365600526,7596.072915734082,7596.072915734081,Project 72
24344.388396476803,20031.91833376127,22694.9347770768,24344.388396476807,24344.388396476803,Project 73
11395.896391940172,14778.98424161445,13438.53158257171,11395.896391940174,11395.896391940172,Project 74
12605.264158260788,15061.722938552934,13477.957527212937,12605.264158260788,12605.264158260788,Project 75
10061.840910061022,13039.230422883178,10653.826246996145,10061.840910061022,10061.840910061022,Project 76
8921.062922195399,12922.46590535419,10139.253434024435,8921.0629221954,8921.062922195399,Project 77
15794.298404811696,16785.63977586274,16410.13979212833,15794.2984048117,15794.298404811696,Project 78
10304.639030193342,13498.195392502112,11168.968481021106,10304.639030193342,10304.639030193342,Project 79
20559.226362129903,18681.150775830825,19814.34471752322,20559.226362129906,20559.226362129903,Project 80
35075.028146311735,23964.419506702394,31932.175998880943,35075.028146311735,35075.028146311735,Project 81
22453.769833221955,19793.605736621812,22399.66744636136,22453.76983322196,22453.769833221955,Project 82
9231.240309493129,12501.221541442132,9800.667720719428,9231.24030949313,9231.240309493129,Project 83
11138.17179700816,13643.887388214891,11499.847817865742,11138.171797008163,11138.17179700816,Project 84
41549.9341402792,26125.296190337664,37886.386341616635,41549.9341402792,41549.9341402792,Project 85
8988.884444685624,12813.494375597837,9996.301120528004,8988.884444685626,8988.884444685624,Project 86
10702.329499364461,13483.454511799515,10744.516295704416,10702.329499364463,10702.329499364461,Project 87
25159.195709685802,20431.221907346204,23453.211847921008,25159.195709685806,25159.195709685802,Project 88
6857.11721042181,11606.645620404226,8948.24579579114,6857.117210421811,6857.11721042181,Project 89
31748.685688520156,22854.670279972375,29049.12740664705,31748.685688520163,31748.685688520156,Project 90
15753.14493065353,16268.227092654477,15140.384555008119,15753.14493065353,15753.14493065353,Project 91
12591.933797783726,14715.301554738042,12987.458804054328,12591.933797783728,12591.933797783726,Project 92
18880.87959202368,17627.590664446965,17779.610716018633,18880.87959202368,18880.87959202368,Project 93
8244.382846246892,12339.894230169428,9715.523309628063,8244.382846246892,8244.382846246892,Project 94
8350.866966092384,12612.54664527602,10765.741364743306,8350.866966092386,8350.866966092384,Project 95
10282.082327449873,13271.263845813917,10670.330087671022,10282.082327449874,10282.082327449873,Project 96
27395.126314144927,21397.747178485646,25726.999324263747,27395.12631414493,27395.126314144927,Project 97
6722.504135249842,11361.959371929555,8817.12094063722,6722.504135249842,6722.504135249842,Project 98
6626.972730053244,11046.093858785305,8484.86265799399,6626.972730053245,6626.972730053244,Project 99
23914.048914554645,19536.137391388143,21657.30108599583,23914.048914554645,23914.048914554645,Project 100
20709.182680738373,18958.15957057558,20421.968890771088,20709.182680738373,20709.182680738373,Project 101
16842.01082427213,17572.734823912826,17964.25637817299,16842.01082427213,16842.01082427213,Project 102
21664.19877812747,19032.289144822564,20414.113630401192,21664.19877812747,21664.19877812747,Project 103
10813.940383304707,13151.215446220911,10446.715944409267,10813.940383304707,10813.940383304707,Project 104
12714.824842395648,15126.4241500188,13646.339954760342,12714.824842395648,12714.824842395648,Project 105
11259.72734316023,14230.600381048487,11859.535844544691,11259.727343160232,11259.72734316023,Project 106
12657.246715256702,14661.580221168064,12542.272371660105,12657.246715256702,12657.246715256702,Project 107
39492.254408232555,25268.094847388667,35401.30961489002,39492.25440823256,39492.254408232555,Project 108
13229.828663176735,15152.609802210465,13634.342942283829,13229.828663176737,13229.828663176735,Project 109
11011.66302495725,13768.046476004698,11411.191147405098,11011.66302495725,11011.66302495725,Project 110
7401.067891732956,11639.395549148525,9356.04220798865,7401.067891732957,7401.067891732956,Project 111
12713.730151437212,15414.063415053737,14165.40758995812,12713.730151437214,12713.730151437212,Project 112
12002.913859367254,14393.245230650566,12315.383602668158,12002.913859367256,12002.913859367254,Project 113
7257.501681865528,12305.048844313365,9460.09007473862,7257.501681865529,7257.501681865528,Project 114
4868.436436114515,9791.507761770583,6701.6627600203565,4868.436436114516,4868.436436114515,Project 115
41920.10200012162,26310.777298945206,38482.56236938937,41920.102000121624,41920.10200012162,Project 116
11871.76267109881,14582.559373760296,12409.665963860161,11871.762671098812,11871.76267109881,Project 117
15013.809951256371,15264.523497764356,13807.747035853068,15013.809951256373,15013.809951256371,Project 118
13269.106684166549,14991.060598817689,13205.759190237524,13269.10668416655,13269.106684166549,Project 119
15757.257443550325,16744.41443080036,16139.224823869677,15757.257443550328,15757.257443550325,Project 120
