round,desired_increase,normalized_median_min_removal_cost,r1_quadratic_min_removal_cost,r2_mean_min_removal_cost,r3_median_min_removal_cost,r4_capped_median_min_removal_cost,desired_increase_percentage
5.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0
5.5,4.222222222222222,1.0,5.0,5.0,1.0,1.0,4.222222222222222
5.5,7.444444444444445,1.0,9.0,8.0,1.0,1.0,7.444444444444445
5.5,10.666666666666668,1.0,12.0,11.0,1.0,1.0,10.666666666666668
5.5,13.88888888888889,1.0,15.0,14.0,1.0,1.0,13.88888888888889
5.5,17.11111111111111,1.0,18.0,16.0,1.0,1.0,17.11111111111111
5.5,20.333333333333336,2.0,20.0,19.0,2.0,1.0,20.333333333333336
5.5,23.555555555555554,2.0,23.0,21.0,2.0,1.0,23.555555555555557
5.5,26.77777777777778,2.0,25.0,23.0,2.0,1.0,26.77777777777778
5.5,30.0,2.0,28.0,25.0,2.0,1.0,30.0
