Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 1,46320.04420233557,49088.06840699925,47996.21061931877
Project 2,53245.22743317049,44358.67784619727,50825.551414350746
Project 3,45486.9764110737,43634.61417186512,47450.975296195174
Project 4,48079.52784744176,45860.658223251936,48841.97685701374
Project 5,57441.17448887763,53149.33425665298,53782.343813181295
Project 6,50364.479959281125,48049.21057301017,50442.08587623798
Project 7,51582.567453912015,52561.96757529672,51098.98635049032
Project 8,50255.19024526952,40905.61919993858,48908.89211818169
Project 9,49804.147284555715,49724.499588875246,49872.472809234365
Project 10,49664.91651381252,50416.32297695576,49821.0174222189
Project 11,54441.44948744595,60958.6882067253,52607.35768309144
Project 12,49942.23889015788,55158.69966099971,51135.72221910529
Project 13,51765.175774459894,54148.03518347175,51054.148387433954
Project 14,46745.79488792806,49834.3132164322,48491.94933591247
Project 15,48995.93819586235,49053.91206457336,49998.746448331425
Project 16,50725.999850746586,52803.029417328224,50281.55922039715
Project 17,44961.629876109626,49993.2013506286,47574.329182144655
Project 18,47789.187627303014,37970.267267959665,48307.17890436885
Project 19,52305.386953247595,49594.112886817085,50893.546368954005
Project 20,47395.765739249364,48734.50079465768,49896.52664172316
Project 21,44943.0461048064,43984.514547911465,46747.78245634515
Project 22,46430.645309947984,43851.85679351809,47769.27589644161
Project 23,51393.21106929761,47094.04704729116,50605.65230857746
Project 24,51718.54703196404,48774.69444812058,50216.65999538587
Project 25,46986.19902966937,53947.16760038784,49147.65124982748
Project 26,44877.220191530185,53526.09078896895,47471.01871853949
Project 27,55769.8345593566,61329.227315510405,53417.856248218886
Project 28,46180.202339122945,53885.896645566165,48627.681917478825
Project 29,53350.1300178024,48824.5800700289,51317.396352243595
Project 30,53383.79138637574,50442.82168110424,50959.7432236129
Project 31,51152.23571975953,50059.91005924387,49936.049747982725
Project 32,51518.18237282003,60468.526945587546,50799.07981716554
Project 33,51050.13235877387,57003.392865255104,51589.76618951259
Project 34,55104.97868640611,58059.94332097056,52225.48733910005
Project 35,54520.503884631325,60976.81038950751,52824.791963341
Project 36,50555.85928117852,51303.610448597356,50406.46039717164
Project 37,49392.590090809405,47108.60286668603,49703.90028610206
Project 38,47866.24778978257,47924.7590447018,49342.21914390971
Project 39,49230.50374033472,51764.424460671944,49452.790659832935
Project 40,46500.486717678956,47905.836264058984,48290.925328886675
Project 41,53819.73041078426,51683.598121117495,52864.34668446054
Project 42,46114.52581462566,46880.03212965319,48016.21598820283
Project 43,55606.47309895112,50388.95497204925,52674.99930509625
Project 44,56187.85764445908,56389.853623347786,53135.63718563727
Project 45,51741.90454149019,51273.77444923802,50399.050606565
Project 46,51087.485882253524,48864.34122503424,50444.7152885845
Project 47,47718.72079844676,51439.00513537429,49240.6758749013
Project 48,58481.565641061716,60015.112375535784,54028.410729924995
Project 49,50916.83388129495,48379.51329284604,50943.508418527585
Project 50,50914.87387264743,54874.441771446516,50964.738212532626
Project 51,51725.268929502796,52178.07066876142,51050.835371932466
Project 52,49886.25120281433,61198.88976525341,50416.221892769376
Project 53,47203.892471024075,45955.6247103538,48804.66794459288
Project 54,55619.92782175584,57225.42617079993,53054.16086054696
Project 55,55183.01374194938,42680.414650570885,51110.27077911369
Project 56,49781.21119796717,45555.90336506977,49206.726984513785
Project 57,49558.44384908332,44788.7233257938,48529.524124134434
Project 58,50647.0306195617,46877.059738750184,50062.03090194069
Project 59,54383.786948000874,54369.81133508173,51850.89436543441
Project 60,50176.89794047234,49653.04778696319,49981.66590674306
Project 61,45431.78874272346,45558.08729241729,47086.700778624974
