,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Badgeholder,blst - BLS12-381 Signatures (Supranational library),Hive,Watch The Burn,Synthetix,TrueBlocks,DeFi Llama,CryptoFees.info,DappTools,EIP1559,L2BEAT,Web3-react,Bankless,Rotki,solidity-coverage,Frame,gas-reporter,Ipsilon,Erigon,EthernautDAO,BuidlGuidl,go-ethereum,Kovan,Chainlink,Ethersjs,Etherscan,OVM security research,ENVELOP,C4,GoatNFT,Prettier solidity (library for IDEs),Kotal,WalletConnect,Otterscan,optimismPBR (Public Benefit Robot),EthStaker,Wildcards,Proof of Humanity,Code423n4,Popcorn,GSN,BrightID,Hardhat,LeapDAO,Mutual Aid Monday,Codechecks,unblock,hardhat-deploy,Solidity,MILLION,OpenEthereum,Brownie.Eth,Giveth,Lyra Finance,WePiggy,DAppNode,EthGlobal,Proto is a machine,Danny Ryan,MetaFinance,Sourcecred,js-ethereum-cryptography (JS library),Arken Finance,Goerli,XFolio,elimu.ai Community,SharedTools,Harmony Protocol,Blockchain Education Network (BEN),Token Engineering Commons,Amy Finance,Revoke.cash,Crate Crypto,Cannon,Spell,Khabenskiy Fund,TypeChain
,@the_ethernaut,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,@annieYke,,,,,,,4,1,4,2,,1,,,,,,,,,4,1,,5,3,,,,,,,1,,,,,,,,,,1,,,,,1,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1
,@aparnalocked,2,2,,,,2,,,,,,,,,,,,,,,,,,,,3,,1,,1,,,,,,1,,1,,,,4,,,,,1,5,,,4,,,,,3,,1,,,1,,2,,,,,,1,,,1,,,,
,@austingriffith,,,,,1,,2,1,,,1,,1,1,,,,,3,6,2,1,,2,,,,,,1,,3,,1,2,1,1,,,2,,2,,,,,2,,,1,,1,,,1,2,,,,,,,,,,,,,1,,,,,,,
,@transmissions11,,,,,,,1,9,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,@ben_chain,,,,,,,,1,1,1,1,,1,1,,1,1,2,1,1,3,2,,3,,1,,,,1,,2,1,,,,1,,,2,1,3,,,,,1,3,,2,1,1,,,1,3,,1,,1,3,,2,,,,,,,,,,,,,1
,@trustlessstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,@elena_gesheva,,1,,,,1,1,,,1,,1,,3,,2,1,2,1,,3,1,,3,1,,,,,1,,1,,,,,2,,,1,,2,,,4,,,2,,,,1,,,,2,,,,,,,4,,,,,,,,2,,,,,
,@gregthegreek,3,3,,,3,,,,,,,,5,2,,,,2,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,1
,@technocrypto,2,1,-1,,,,,1,,1,,,1,1,,1,1,2,,,3,1,,,2,1,,,,1,,2,1,,3,,1,,,1,1,1,,,1,,1,3,,2,,2,,,3,,2,2,,,3,,2,,,,,,,,,,,,,1
,@jenny_pollack,1,2,2,,1,1,2,,,3,1,,2,2,1,2,1,,2,2,2,2,,3,1,1,,,,1,,2,1,1,1,1,3,2,,1,1,1,,1,1,,,,,,,,,,1,1,,,,1,1,,1,,,,,,1,,,1,,,,
,@krzkaczor,,,,,,,1,2,,,,,,2,,2,,,4,,,,,4,,1,,,,4,,2,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
,@karl_dot_tech,1,2,1,,2,1,1,2,1,1,1,,1,2,1,2,1,2,,1,1,1,,3,1,1,,,,2,2,2,,1,1,1,2,,,1,1,1,2,,1,,1,2,,1,1,2,,,,3,,1,,,1,,1,,,,,,,,,,,,,1
,@kelvinfichter,,2,,,1,,,,,2,2,,,2,,1,2,2,,1,3,2,,3,3,,,,,2,,2,,,,,2,,,,,3,1,,,,1,2,,1,,1,,,,,,,,,2,,2,,,,,1,,,,,,,,2
