,count,mean,std,min,25%,50%,75%,max
Project 1,144.0,51696.013329556125,47923.43148620946,192.38456603438692,16108.045263721668,39971.507390847415,72083.90289817768,294486.25437613187
Project 2,144.0,54909.3183604632,52036.830128444904,295.9063332880444,13123.298326901662,42876.44011767143,72475.08053705885,245112.53110652426
Project 3,144.0,44796.003396272485,43596.84752940903,336.70512078144253,11670.145112872513,29726.66428698403,64051.62652832656,187655.47863579792
Project 4,144.0,45766.53822923684,48109.93241684888,658.5498728681214,12108.188348296137,33698.18846206172,58675.07774821749,272361.9643116242
Project 5,144.0,49588.35830803969,46542.888891561066,310.37069013281706,15884.570117818774,37486.06733777544,65877.34576632528,272149.6661807463
Project 6,144.0,52798.08341158616,49653.610534433465,723.2245903825535,14667.510062271647,37368.57796795985,79346.392416395,283486.833093972
Project 7,144.0,52269.375895365374,52741.14055948442,291.94634483131455,15286.20304087724,33152.61252198491,82680.27035934245,275474.8737636381
Project 8,144.0,47744.949701788406,53653.28105467947,246.70276288338067,13441.578435650428,32044.550341592658,66419.72839294923,384408.11232230393
Project 9,144.0,51596.557455560265,43886.322532827086,109.03051447183569,18247.464377037228,42725.40552511078,71025.06694628857,250497.62915263022
Project 10,144.0,47520.13494702536,47840.407626289365,123.16865027940031,13368.206829223132,35692.508970928546,67140.5405869577,337415.4444534577
Project 11,144.0,48030.43483336308,44672.21449130509,207.65316255192096,16865.350807234412,37939.18612129894,65326.35757684677,270339.91893891426
Project 12,144.0,38785.0598630888,36151.579315039555,154.84888021493236,12794.284746610756,27444.534984086582,54905.01212536106,200047.24866484306
Project 13,144.0,50773.7785080369,54310.49236142534,131.68959826183686,13427.791322232624,37445.247624511874,68612.18721959316,340780.1925856401
Project 14,144.0,41348.73403294115,43744.96923120091,194.94123626286736,11169.705317745631,24368.063883506264,58328.59405934589,190667.61873419854
Project 15,144.0,54268.08282573041,56627.787789635724,334.0032721505376,11261.396495557685,37951.352577704936,78955.304950841,283799.68317047704
Project 16,144.0,52979.05725878244,45771.76206679011,836.4425002588498,19072.639813335634,36609.80851635021,81117.59923488346,206030.95349649386
Project 17,144.0,54137.5994808614,50825.03804134073,588.9987492012165,15994.062782447974,36798.56741044088,75572.5110048098,238950.62746997108
Project 18,144.0,56034.40582848516,52888.90778979658,139.41507841747776,16645.464244058036,37768.2137518458,86017.25981642836,278617.0177534899
Project 19,144.0,55473.25051243766,47018.439724881035,1426.9726451511408,18757.77387064176,43949.38164783417,82469.08102113377,268432.45931829454
Project 20,144.0,43776.77311694662,42858.97213050535,224.6312623222299,14499.92986183787,26736.66517292748,56094.21369786571,198670.71238058
Project 21,144.0,48482.6868550677,44489.540802030846,194.2074652602301,13348.604683907253,35469.3171160217,75029.84726597626,201936.0785209339
Project 22,144.0,45505.14388271131,45705.11121241026,215.72291102874908,14036.821208958825,31208.350209850974,59366.94101782622,240937.34553887523
Project 23,144.0,46607.04519174914,52672.522162062014,666.4572195874488,15057.769112787139,30280.71318040435,56697.39115256854,302700.61317270505
Project 24,144.0,52629.97495938728,47956.89322826651,432.2122347415452,16871.96003030512,39937.11583407879,68536.47912073901,211842.03519292784
Project 25,144.0,51636.40230955481,50075.84101128477,1382.4526931630987,16202.503833205114,37068.84549079163,75427.78291776331,312324.617964231
Project 26,144.0,50515.37029183321,48417.371012785305,424.54066852858165,16560.02399920043,34546.44358150022,75705.79224749561,259304.41990405356
Project 27,144.0,55473.49498772757,53673.53099103175,920.6882362132553,14698.990137202152,43482.3653550116,73557.69308799061,301815.5534243855
Project 28,144.0,49447.498274089274,49152.207939280765,13.644631616206238,15159.153498414065,34898.98191974883,69247.13578248788,339637.73003110394
Project 29,144.0,46460.76755579482,43307.16356506955,4.3203021783611275,16456.102956238992,33253.83535934343,65155.41701480534,202487.62629969133
Project 30,144.0,48224.116548937396,41897.24539135133,88.58806363613928,18561.929661881775,37984.04226178184,68844.99857182038,227098.96989127158
Project 31,144.0,50619.93835074199,50447.66666729461,1098.6199929561697,11777.131384169139,36183.73157610377,68703.76078670638,238129.30458134477
Project 32,144.0,46724.402748051056,52557.57058714582,17.32863820110093,11678.911392376625,30244.364451023284,66303.50592735824,359786.77936937276
Project 33,144.0,50270.89703057127,50879.626881573844,260.9639561649589,15137.980292247692,34783.46845992998,68446.20453675461,325344.1805444229
Project 34,144.0,47503.07551030718,43392.311790360916,26.174598666788537,14029.990349687123,35305.74674077351,73804.05574888378,211779.61303475127
Project 35,144.0,48214.383018264845,43812.00828351907,261.817368691378,15114.711803917186,38465.1051533484,65830.55387878945,206182.831242217
Project 36,144.0,55670.2723823406,57293.44711422132,986.5915004671134,17165.696915564415,35886.46498091362,66306.5698931111,290565.50133185164
Project 37,144.0,51480.984050689985,51264.50336391232,592.9133776496238,13136.19512171888,34637.259887284854,75403.11963629274,308156.4147451066
Project 38,144.0,46772.65943280809,48255.67312459829,670.0176104744022,11509.534663172526,27569.201083534965,68402.26654671354,227752.46875000207
Project 39,144.0,47061.53377071504,46664.80183036802,328.06575804679693,12230.4761317165,32490.415845419222,66475.63442778119,253979.2420370875
Project 40,144.0,54892.193913949704,48224.862018835534,136.01135074628678,20541.253144761384,41850.62500289045,76613.69563478991,264989.9351436918
Project 41,144.0,56643.11000791996,63915.30500507997,350.90268033380914,14257.814259818955,35428.56800956634,70384.16050383433,364507.4537972533
Project 42,144.0,53261.700578515534,50493.84224459238,91.5506716551189,16832.529009994323,34820.285618893875,72954.28231819153,252097.09054693577
