round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,2957766.1967644533,1330536.1305796453,2578688.5714764507,3494661.805167952,3494661.8051679516
2,2765213.4429623014,1283208.692111818,2471892.935356994,3483673.8487702436,3483673.8487702436
3,3141227.839857127,1332601.3324852842,2499445.882400746,3604614.131022959,3604614.131022959
4,2685907.1209335383,1167558.9672333908,2283254.084096785,3276046.3971105656,3276046.3971105656
5,2825401.1018849337,1242973.5289027365,2344150.2748440513,3476852.6838138145,3476852.683813814
6,3038651.1438073693,1324031.2612573318,2560480.8320020577,3381423.0950818127,3381423.0950818127
7,2669736.054861796,1251410.1278585207,2370773.4120426048,3375482.9362595147,3375482.9362595156
8,2613395.8261880665,1185005.4844346365,2293041.497051143,3253269.128670035,3253269.128670035
9,2900501.4389445093,1310703.4261434153,2462342.8471992034,3465404.100701048,3465404.100701048
10,2684122.279186695,1250920.6663698559,2392293.448762794,3361389.3884482845,3361389.3884482845
11,2764453.2033647555,1335602.2955341272,2535533.5683532665,3505967.4609645493,3505967.4609645493
12,2787124.0152022936,1234971.638790695,2281224.187123848,3527415.726907707,3527415.726907707
13,2764161.0507472996,1282184.8474140961,2412447.5798452077,3425712.600330035,3425712.600330036
14,2705251.7349001504,1189104.1868103663,2345951.441842301,3192860.494681541,3192860.49468154
15,2700034.081366755,1220633.9265644331,2285831.3628607504,3390711.1521519315,3390711.1521519315
16,2783324.5340126464,1315005.0757334288,2488556.4310616255,3474349.708332844,3474349.708332845
17,2777707.3744259756,1268253.2796179294,2401183.3696898827,3488331.9019737537,3488331.9019737537
18,3022059.3490056056,1316516.4888917836,2533787.2358256215,3382867.418261203,3382867.418261203
19,2829323.2513496494,1302164.5712855367,2449416.803277405,3475770.6915354584,3475770.691535459
20,2638575.8965288717,1227342.464369676,2344172.9483604855,3442344.263851234,3442344.263851234
21,2842857.1522349115,1318891.1658448502,2476173.0552874883,3406344.1894916906,3406344.18949169
22,2788773.879845711,1266903.9236887805,2412793.2694693506,3390507.380015307,3390507.380015307
23,2878590.64353008,1263963.7896407577,2459821.1570872026,3416328.924798585,3416328.924798585
24,2763677.955177173,1219130.2180953978,2323606.9043418104,3364391.280630252,3364391.280630252
25,2869662.422981172,1232732.5861603902,2391523.6160149183,3382741.971903817,3382741.971903817
26,2681364.1793013862,1252193.9394912901,2403278.1934277597,3417613.523430038,3417613.523430037
27,2697669.7879917677,1234762.0213055676,2389452.455325435,3401137.6702883407,3401137.6702883407
28,2886481.9848418892,1275811.120167819,2404256.836623489,3465916.0548587646,3465916.0548587646
29,2773834.5077274265,1236190.9053260842,2403251.833242277,3417594.666498733,3417594.666498733
30,2878207.0677366266,1250071.0186610795,2394738.9989275485,3352816.0097162575,3352816.009716258
31,2868880.494103299,1271450.366467042,2420829.421726998,3523612.684666372,3523612.684666372
32,2724808.38588251,1191101.6729452256,2230191.054256137,3324094.14782572,3324094.14782572
33,2675171.553881876,1214669.3077243501,2277310.193521578,3388698.392265821,3388698.392265821
34,2703887.434105998,1171857.5157351065,2231132.521792423,3298948.167715696,3298948.167715696
35,2751596.202719489,1267060.857795651,2432972.6439723466,3321505.8985596932,3321505.898559694
36,2912308.2042029733,1241457.773055009,2326831.6300548324,3440014.0248749927,3440014.0248749927
37,2871818.2389825042,1228309.650597986,2398892.58988272,3332386.3159812847,3332386.3159812847
38,2742876.6235108525,1297981.0906680473,2476851.2687261407,3480906.4206477557,3480906.4206477557
39,2771789.670033483,1276319.3515499905,2443787.2551205554,3417508.827952327,3417508.8279523267
40,2915921.906848426,1309903.5089308396,2507781.4091341607,3460088.5699896715,3460088.569989671
41,2822885.1502634883,1244572.8612120824,2331874.172718041,3531681.622708522,3531681.622708522
42,2877427.513504898,1317468.4882304044,2499799.6361699104,3550486.0382987303,3550486.0382987303
43,2911964.5142955985,1348931.6068993572,2548067.048940422,3497035.4624625198,3497035.4624625198
44,2737733.304716279,1253587.633377248,2417971.1848954232,3405106.9955054307,3405106.9955054307
45,2775102.8084038505,1169699.5639771689,2225812.9717693054,3210190.357957978,3210190.3579579773
46,2710428.139796217,1219891.8617824188,2334000.9092240157,3481320.024932405,3481320.024932405
47,2868170.430237376,1234397.7673812993,2360958.2334143366,3433394.972863652,3433394.972863652
48,2750270.964675378,1230039.6831526826,2322530.409107901,3367024.217140756,3367024.217140756
49,2818744.760803205,1304399.3167431047,2437034.709970948,3646424.7678231075,3646424.7678231075
50,2917923.7613843516,1297113.0584392147,2421655.47417298,3616660.6749404324,3616660.6749404324
51,2807572.2892463394,1241730.9964228107,2324106.312819682,3326310.9549447955,3326310.9549447964
52,2965031.30239824,1279934.8857232204,2399821.0368326553,3453670.520641457,3453670.5206414573
53,2628642.590396518,1179665.8581693042,2260849.7116765617,3316157.989077251,3316157.989077251
54,2554904.8542078226,1193164.8665424415,2261215.0458885026,3301453.8495112527,3301453.8495112527
55,2838543.406807651,1230340.7838339899,2330256.929381942,3298898.6650456525,3298898.6650456535
56,2851581.1355934897,1219454.4791766452,2308794.642657675,3312873.7486859728,3312873.7486859728
57,2754691.6659375,1287118.4594608005,2501634.824158738,3458052.8028649553,3458052.8028649553
58,2707478.812628449,1204938.4690777566,2345608.04682353,3329170.002915076,3329170.002915076
59,2885771.612231264,1296605.4564635155,2494134.266390339,3505779.3743342217,3505779.3743342217
60,2795534.2679144884,1254406.7650496387,2406295.8298812252,3367140.351419667,3367140.351419667
61,2733135.141353545,1248041.148041244,2350339.4912569826,3348299.9197137384,3348299.9197137384
62,2733324.4132958828,1219013.1101431719,2307121.5078579225,3493938.3828531094,3493938.3828531085
63,2875092.9124983456,1329699.4283565336,2510237.6107976893,3583543.9704517545,3583543.970451754
64,2643561.310806639,1212275.5215538426,2337135.0078106057,3351759.519829174,3351759.5198291736
65,2849510.693809632,1267280.980732705,2454567.0945488084,3467882.91715343,3467882.91715343
66,2945169.345997413,1322320.1273634182,2556992.085460617,3445945.463627699,3445945.4636276984
67,2898249.3347538398,1237615.274840171,2379400.279072776,3368512.0756579963,3368512.0756579973
68,2780095.4477031734,1230996.5118104815,2311955.633021015,3318654.2743507833,3318654.2743507833
69,2758798.5645304136,1236671.1940766303,2329659.3302605613,3337163.876217724,3337163.876217724
70,2690323.2408848614,1240057.0659545995,2422900.5760292676,3545521.9873912185,3545521.9873912185
71,2676003.164357884,1207347.5091069052,2322637.6118196035,3328736.20491584,3328736.20491584
72,2709324.4846148253,1184607.1609256528,2290588.4125426165,3250001.9557068925,3250001.9557068925
73,2713913.0383027187,1269416.2880306637,2384289.8556746906,3503780.9162647,3503780.9162647
74,2871008.0478656273,1252137.8985896534,2383417.951288358,3489474.9196859193,3489474.91968592
75,2783429.253269199,1268390.7312896869,2407197.6726841135,3443946.7083206605,3443946.708320661
76,2798216.0315996753,1238882.1781495078,2408963.2150426526,3511631.1334442236,3511631.1334442236
77,2734718.9156695395,1309097.1101074996,2478185.0743285003,3463366.0764225787,3463366.0764225787
78,2861672.7085758112,1290656.1641274216,2401584.5257851966,3399840.4037096435,3399840.4037096435
79,2803859.9185843766,1296780.1758409007,2405044.0036394196,3363577.2661146065,3363577.2661146065
80,2838523.5863326937,1299778.5255734415,2530751.7008286687,3378156.3505175337,3378156.3505175337
81,2727523.4494607225,1297170.9722810872,2484394.045335407,3507507.6664783717,3507507.6664783717
82,2726922.85289637,1211524.2223037544,2247031.1317085437,3501011.4196537184,3501011.4196537184
83,2656186.1047951924,1199506.3913124488,2361895.259760568,3220779.4949864578,3220779.4949864578
