majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
56394.995854382105,54683.92943562505,54756.989254432876,56744.798873755935,56744.798873755935,Project 1
43065.41573795962,47874.60164268788,43297.355099137385,41903.235747677805,41903.235747677805,Project 2
44489.73607548221,47506.12725926507,43160.28715559054,41069.98342135695,41069.98342135695,Project 3
52971.6824502689,52913.70814409288,51717.74135371677,53235.26242203197,53235.26242203197,Project 4
71607.12175253218,62434.29368757109,70618.50243071426,73587.88392136687,73587.88392136687,Project 5
80870.50199320464,68012.9294876636,83125.59801784706,88356.99613812358,88356.99613812358,Project 6
63317.26423321239,59588.0320498996,64366.2846403633,66023.24503108379,66023.24503108379,Project 7
88443.95835408424,69812.7083120001,87670.1499773367,96132.2753004296,96132.2753004296,Project 8
50523.5789997767,52824.86299538143,51247.632942870034,51208.91302417086,51208.91302417086,Project 9
62739.63546915813,57847.062941516204,61295.578430961345,63527.97143690092,63527.97143690092,Project 10
73958.17439921148,63882.72436014165,73855.86725265539,76544.23154958758,76544.23154958758,Project 11
105639.73278570712,76689.52503618463,105586.75010828537,114281.40155412529,114281.40155412529,Project 12
126659.99312004444,84154.3167764867,125958.32065031792,140626.99859111384,140626.99859111384,Project 13
26714.520840071025,33835.519526586744,24628.725555865214,20507.275664419867,20507.275664419867,Project 14
106494.71917646607,76789.66853063014,105558.78576765524,116556.8198893043,116556.8198893043,Project 15
36263.17423853982,42395.57472738888,34619.630359784474,34578.976953355304,34578.976953355304,Project 16
23827.05600743128,34997.36355586961,25839.89717284652,20087.669737383003,20087.669737383003,Project 17
44189.155877116966,45565.97439707972,39890.43555375406,41329.57337976389,41329.57337976389,Project 18
41707.98270054712,48171.00490234883,43904.503078449045,40522.638468561294,40522.638468561294,Project 19
34153.762520986864,41747.171879915484,34885.081963197816,29723.89018219236,29723.89018219236,Project 20
37659.254282260576,44092.00185488683,37814.418864899046,34005.88883511695,34005.88883511695,Project 21
39953.84371181038,48198.846619184405,46040.890023547305,37781.77800329483,37781.77800329483,Project 22
44216.54963695939,50168.02244232449,47185.447865982496,45145.06866702344,45145.06866702344,Project 23
80127.77260172668,66666.50100887517,79971.14749896746,85752.71051163835,85752.71051163835,Project 24
40815.277485407954,46600.74579881989,42434.744390633685,38665.1683448913,38665.1683448913,Project 25
26347.83746595825,36074.436011169535,26794.726725663724,23099.52499197144,23099.52499197144,Project 26
32742.267014886653,39911.29311373531,31636.113145446434,30632.01479358818,30632.01479358818,Project 27
26031.791861105106,33474.475051359055,23642.04319871894,21793.15540364532,21793.15540364532,Project 28
38341.61363171725,42550.97482323525,35611.71186147321,33668.53981339293,33668.53981339293,Project 29
49313.289577804426,51825.234794178825,49799.36399463686,50071.865222356355,50071.865222356355,Project 30
35092.063661600434,39268.824822405324,31427.606494868345,27193.369215653438,27193.369215653438,Project 31
46121.37609076333,50108.85139703929,46674.5311976636,46921.66507873585,46921.66507873585,Project 32
32101.770732963938,40827.1844953455,32377.669552322754,27863.415607711722,27863.415607711722,Project 33
35174.42754138352,41475.53833009629,32788.41035652493,33511.30319684867,33511.30319684867,Project 34
31254.359099284233,38322.583338963406,29937.115507304785,28118.16852245588,28118.16852245588,Project 35
65888.14460417909,60349.29824195532,66095.33185150445,69732.04850285631,69732.04850285631,Project 36
68651.69579742721,62655.69532508233,71414.53243828348,73120.51298451413,73120.51298451413,Project 37
33432.078180432705,39846.97098761868,31001.195030642804,29194.815754746603,29194.815754746603,Project 38
51412.40220813925,52085.100446646604,50699.58479714446,47181.32477217724,47181.32477217724,Project 39
27477.065673920693,35777.66125627199,25872.005287970194,25586.196374496514,25586.196374496514,Project 40
39453.13426147067,46309.06701139263,40805.75425814687,39412.513403755744,39412.513403755744,Project 41
38131.8072822328,43566.45221631308,39103.23845670245,33345.321123450885,33345.321123450885,Project 42
49656.26118546132,51373.183698682,48802.94415193119,51106.64319428537,51106.64319428537,Project 43
27969.495921677917,36451.590123936876,27492.72914955317,24279.116339797358,24279.116339797358,Project 44
79651.56041673398,66961.90395610803,81106.52374293812,84553.29951079677,84553.29951079677,Project 45
41371.278338501914,46817.450773166755,40933.05057898469,41340.362934555844,41340.362934555844,Project 46
25071.13822394254,35848.183131709535,26609.18852551334,22465.68134395528,22465.68134395528,Project 47
77654.35450569917,65887.34582171185,78626.70219153336,80097.2743847965,80097.2743847965,Project 48
33793.30735204805,40058.6193549842,32489.650624208876,31430.282350734502,31430.282350734502,Project 49
62735.07699791759,58509.27366950643,62649.53159559753,60970.46487959217,60970.46487959217,Project 50
38209.95819645378,43617.82642309962,37350.40364941046,34253.39491389109,34253.39491389109,Project 51
37881.30671942513,42906.35660000454,36204.062005494234,34037.8623487372,34037.8623487372,Project 52
25827.929848261774,36418.77046184962,26911.93059637246,22388.68997460071,22388.68997460071,Project 53
25281.578737677253,33218.02682139462,22960.22272295141,20341.972657083,20341.972657083,Project 54
38698.11131433889,45080.208401880845,38497.57760464798,40291.40088725937,40291.40088725937,Project 55
43941.35838542566,46894.535345334414,41847.52478612275,40777.899736787396,40777.899736787396,Project 56
36195.719333004585,44054.93876873905,38510.28265130456,33090.133307486765,33090.133307486765,Project 57
32822.76076741751,41411.976917380314,34267.093053540775,29806.083889808357,29806.083889808357,Project 58
33737.08561741813,42347.34214876344,36442.96413368542,29066.636606732365,29066.636606732365,Project 59
39282.49918554795,46649.12670444612,41552.366135273136,38653.80759042848,38653.80759042848,Project 60
45182.19794575283,49265.37061845906,45790.424286034904,44099.056068214704,44099.056068214704,Project 61
67205.90226302091,60156.39710922455,66229.96627274362,67110.92531165856,67110.92531165856,Project 62
53344.77947128656,53124.3279692422,51706.763721416006,54117.92548941454,54117.92548941454,Project 63
35332.03956453988,43731.05151900071,36589.12062032392,34184.945571372715,34184.945571372715,Project 64
34333.74705881719,43538.88303980937,36502.93726709003,33182.53619377954,33182.53619377954,Project 65
29588.69792005513,37088.13213146943,28564.411363124982,26953.95749627087,26953.95749627087,Project 66
34887.788114528776,40299.347637020175,33118.022876758645,31371.461684951224,31371.461684951224,Project 67
46279.98087905464,51125.28597904958,49405.25996240216,44169.48714810825,44169.48714810825,Project 68
46242.71626163511,49929.298113518336,46975.44843965583,46444.36493535084,46444.36493535084,Project 69
34841.76142371716,38883.9108922568,31516.252719391832,28027.166112469273,28027.166112469273,Project 70
100404.97618992167,75765.37053699268,102741.50047962864,109266.7490402632,109266.7490402632,Project 71
68210.36370973315,59659.837432255634,64804.187444061594,68595.05112604355,68595.05112604355,Project 72
37736.642233465354,45094.74248825806,38428.32470035666,38473.575138655964,38473.575138655964,Project 73
28648.940954303023,38655.905361587065,30943.378708563858,24218.846286825406,24218.846286825406,Project 74
58802.15472120842,56314.7844360189,58439.66264164104,58527.57774045396,58527.57774045396,Project 75
21273.485827925146,34736.082340788744,26664.55853131871,19511.882452136604,19511.882452136604,Project 76
35381.97643416981,42947.047917947995,36258.5467048085,33231.74036901432,33231.74036901432,Project 77
43260.556346069694,46689.86478752067,41125.44999467643,41160.23983201469,41160.23983201469,Project 78
70696.6915586209,63239.519634523924,72920.5087882037,74074.01231877337,74074.01231877337,Project 79
24563.816374246824,34550.703920909466,25801.49743050272,20021.93458045329,20021.93458045329,Project 80
90233.29538698803,71936.11948353854,92888.6330381736,99717.88908940641,99717.88908940641,Project 81
34735.6801132428,42625.153964657635,35908.759997823385,32293.008706936773,32293.008706936773,Project 82
38029.96833623768,42481.23960992274,34873.88829061353,30657.47532708615,30657.47532708615,Project 83
44199.53011703416,47428.256386528206,42608.27937340461,40378.006876609725,40378.006876609725,Project 84
45171.04602038542,49651.846596508694,45857.79823957086,44008.248719763884,44008.248719763884,Project 85
35112.09277366087,42561.265595410114,36094.00316419282,32066.567255544764,32066.567255544764,Project 86
60750.62897677663,58469.99399559569,62232.59009773231,65828.10730319568,65828.10730319568,Project 87
25164.823859204665,34977.258324005925,26358.807561524525,21158.072206889025,21158.072206889025,Project 88
