round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost
5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,4.222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.5,7.444444444444445,1.0,1.0,2.0,1.0,1.8,1.0,1.0,1.0,1.0,1.0
5.5,10.666666666666668,1.0,1.0,2.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0
5.5,13.88888888888889,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
5.5,17.11111111111111,1.0,1.0,3.3,1.0,3.0,1.0,1.1,1.1,1.1,1.0
5.5,20.333333333333336,1.0,1.0,3.9,1.0,3.0,1.0,1.0,1.0,1.0,1.0
5.5,23.555555555555557,1.2,1.0,4.5,1.0,3.3,1.0,1.5,1.5,1.5,1.3
5.5,26.77777777777778,1.1,1.0,4.7,1.0,4.0,1.0,1.5,1.5,1.5,1.1
5.5,30.0,1.2,1.0,5.2,1.0,4.0,1.0,1.7,1.8,1.7,1.4
