majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
5980.904677847771,12424.146101928796,47584.79178956208,4729.5716441448985,4729.5716441448985,3484898.0,1
6425.868249462525,16372.098955775935,69574.85989335671,646.4542206471797,646.4542206471797,5088482.0,2
4646.599079140025,17305.209256862323,72807.91933924367,866.4482340492214,866.4482340529357,5340220.0,3
8928.021895688798,13651.846766505998,53350.52374522365,2518.065841089716,2518.065841089716,3935961.0,4
4565.322092028127,18943.80710960937,82303.36450799427,2816.203246432093,2816.2032464390686,6029133.0,5
6426.092973767863,15555.397631335258,63400.66891106336,6328.896466554035,6328.896466554035,4661331.0,6
4891.371693166893,15122.150944915898,59341.56294370956,3488.2409645303887,3488.240964533892,4358365.0,7
1173.0344501659201,18554.19385561684,77023.28511338308,3274.7802425442824,3274.7802425442824,5639922.0,8
6837.173519203887,10900.695159220104,38731.71230230338,6615.51301663817,6615.51301663817,2842666.0,9
8150.574801438754,14412.218723952923,50516.262595161475,6324.372406941453,6324.372406941453,3707259.0,10
8344.541814805765,18645.747446753525,78878.09613801754,8587.28872000517,8587.28872000517,5788401.0,11
2232.0687331909394,15261.36268295618,62481.924910992486,2466.0530330409892,2466.0530330409892,4591273.0,12
7494.914956166547,15188.9102276429,61354.23155080029,2685.485148087797,2685.4851480912275,4489194.0,13
6942.072041359603,13224.718610483826,56404.45542297006,3227.2997426141756,3227.2997426141756,4173956.0,14
3763.8172382346347,16960.144682900805,74353.61569226289,3338.2154295776236,3338.2154295776236,5457419.0,15
11012.33957915966,17177.046972357177,71376.77825163057,2540.128864202221,2540.128864202221,5232056.0,16
2645.753529217658,11781.628406716547,38995.517553704005,2865.44317189084,2865.44317189084,2850537.0,17
10525.720674176042,17269.388451509298,70988.4586619997,2316.326812903193,2316.326812903193,5209462.0,18
6142.797339138044,14672.596115450982,59581.76714018811,5099.254374168388,5099.254374168388,4367943.0,19
5604.2113078863,17987.82697219752,77861.85596232317,1892.0717889550942,1892.0717889550942,5712145.0,20
10271.511336725835,16724.023042436384,71238.1406423889,4741.557714476359,4741.557714476359,5229870.0,21
6049.740525791058,15157.733387710432,58316.299114806185,4289.343095885975,4289.343095885975,4284325.0,22
8780.939354688402,15432.343593366459,57827.69124361276,4755.117310146456,4755.117310146456,4240556.0,23
8517.660425956969,18269.96880303812,77291.0321698338,3108.666928869334,3108.666928869334,5642997.0,24
5782.617738190103,17033.115287254503,71370.80384483527,577.1372863636607,577.1372863636607,5231459.0,25
7722.646778998078,13285.575393340227,48899.20398758634,4144.1826228527425,4144.1826228527425,3589555.0,26
3034.412570883622,14933.352873912507,58330.01804594566,2363.0884288779253,2363.0884288779253,4283641.0,27
12126.743893043156,14546.323094589065,52857.50583240229,6041.095751509423,6041.095751509423,3870288.0,28
9590.388192782488,18302.09608488261,78829.51744329388,2363.235718364278,2363.235718364278,5760274.0,29
2720.96277952777,16099.52091110764,65238.458232962046,5093.641777061077,5093.641777061077,4777027.0,30
11436.81229275764,18100.471416966288,75791.67804399255,1209.2896969316353,1209.2896969316353,5541256.0,31
5871.845193678197,17164.496010297516,73114.85993535031,5376.166675097713,5376.166675097713,5366744.0,32
7382.00822079126,16614.13946796445,66328.48829606117,2403.5836822760157,2403.5836822760157,4853438.0,33
6732.292537070069,17178.410208092326,71384.57656044501,3351.144365600685,3351.144365600685,5242424.0,34
8540.280083350739,15050.985012862995,64371.671552607855,2778.3948156838032,2778.3948156838032,4716554.0,35
4890.57672930089,11700.149850835336,45388.58900117646,5907.637301015508,5907.637301015508,3322122.0,36
2969.4216855203194,13542.740194620554,54448.114507732855,3076.451689320649,3076.451689320649,3987529.0,37
6523.116792488196,11632.608828808894,41261.94005449426,4036.156357435142,4036.156357435142,3026813.0,38
5068.698878774554,15260.336103808055,59855.00551462574,3209.3769748910654,3209.3769748910654,4376350.0,39
4160.627510335336,14671.03649553957,61297.5305305708,2581.1321945995005,2581.1321946065764,4485514.0,40
7154.03625514693,14996.126360066788,58664.10937795215,1683.2946437853498,1683.2946437853498,4300185.0,41
2458.984933399912,16722.40027900473,71191.06148308968,2156.386830743153,2156.386830743153,5227594.0,42
3618.0155775180247,17623.1532892657,78543.10378107012,1888.7223964297518,1888.7223964297518,5766159.0,43
