round,voting_rule,max_vev,project_max_vev,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
1,majoritarian_moving_phantoms,3579992.355402189,1789996.1765645542,2509751.871196532,4299748.047761086,0.14332493492536955
1,r1_quadratic,2123942.2649703384,1061971.1324851704,2498843.287954263,3560814.4204394333,0.11869381401464778
1,r2_mean,5841416.346791185,2920708.17339559,2112759.7408819906,5033467.914277581,0.16778226380925268
1,r3_median,2924123.6923285057,978071.6559788473,6149251.318181755,7127322.974160602,0.23757743247202007
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,4353997.829217862,1372898.6675202227,2555713.2497258293,3928611.917246052,0.1309537305748684
1,r1_quadratic,2097031.8309917012,1048515.9154958506,2467700.4982806044,3516216.413776455,0.1172072137925485
1,r2_mean,5836172.948187288,2918086.4740936467,2007809.8745436922,4925896.348637339,0.16419654495457794
1,r3_median,2799754.024267196,1311094.6916290678,1987038.4600953057,3298133.1517243735,0.10993777172414579
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,3665752.8520046943,1424106.712080772,3149985.3169731954,4574092.029053967,0.15246973430179891
1,r1_quadratic,2101588.8718474447,1050794.4359237188,2997651.5375572965,4048445.9734810153,0.13494819911603384
1,r2_mean,5773516.902405718,2886758.4512028587,3032228.831118506,5918987.282321365,0.19729957607737883
1,r3_median,2627163.743829014,1127273.0561880032,3243273.0145284515,4370546.070716455,0.1456848690238818
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,2966557.0578304287,1111719.0924584046,5739891.295938833,6851610.388397237,0.22838701294657457
1,r1_quadratic,2189663.561101668,1094831.7805508324,2103735.5060880533,3198567.2866388857,0.10661890955462952
1,r2_mean,5908998.128464962,2954499.0642324816,1525219.6015905633,4479718.665823045,0.14932395552743483
1,r3_median,3120020.4899157486,1015320.343617375,6403429.54482261,7418749.888439985,0.2472916629479995
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,3197034.7451670785,1074857.3550119395,2531128.1339378166,3605985.488949756,0.1201995162983252
1,r1_quadratic,2213106.4412664413,1083048.019453878,2587495.639758774,3670543.659212652,0.12235145530708841
1,r2_mean,5878127.59970016,2939063.7998500797,2353171.3018355635,5292235.101685643,0.17640783672285476
1,r3_median,2525393.3281786074,664192.7646978777,2374416.7840729263,3038609.548770804,0.1012869849590268
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,2600534.4351028455,1300267.1200482538,5674804.4796473645,6975071.599695618,0.23250238665652062
1,r1_quadratic,2218276.1338988356,1109138.0669494176,2089525.0511935272,3198663.1181429448,0.10662210393809816
1,r2_mean,5921059.004765352,2960529.5023826743,1473662.0861913746,4434191.588574049,0.14780638628580164
1,r3_median,2448032.858816355,902547.3770503886,6316618.364460917,7219165.741511306,0.24063885805037685
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,3968240.553928302,1316719.0159109621,4187374.6178698293,5504093.633780791,0.18346978779269305
1,r1_quadratic,2158040.4899112396,1068866.1649920247,1640477.8205580837,2709343.9855501084,0.09031146618500362
1,r2_mean,5913235.523524655,2956617.761762329,1029230.7237844155,3985848.4855467444,0.13286161618489148
1,r3_median,3905332.822614367,1284547.0344475256,4437970.526867206,5722517.561314732,0.19075058537715772
1,r4_capped_median,405458.649081239,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,2042371.60030101,740030.8020327156,6031429.258541237,6771460.060573952,0.22571533535246507
1,r1_quadratic,2452013.776617346,1147827.4473625715,2251119.943596775,3398947.3909593467,0.11329824636531155
1,r2_mean,5932136.124538716,2966068.0622693608,1869702.1738123035,4835770.236081664,0.16119234120272216
1,r3_median,3889191.5458601965,1010786.0600848766,6481863.2687428575,7492649.328827734,0.24975497762759113
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,3408757.3437753962,1034141.3161212567,1665223.6935172023,2699365.009638459,0.0899788336546153
1,r1_quadratic,2098028.316941366,1049014.1584706814,1900320.5705825998,2949334.7290532812,0.09831115763510938
1,r2_mean,5877302.925874786,2938651.4629373928,1250692.949284933,4189344.412222326,0.1396448137407442
1,r3_median,2091982.712646155,745203.7312294026,4111861.882245214,4857065.613474617,0.16190218711582055
1,r4_capped_median,218356.61667189887,0.0,1500000.0,1500000.0,0.05
1,majoritarian_moving_phantoms,2611843.044568524,1131430.5973357474,2686112.444432081,3817543.0417678286,0.12725143472559428
1,r1_quadratic,2157472.846082795,1057847.8145276355,2452439.8705782704,3510287.685105906,0.1170095895035302
1,r2_mean,5865697.291521565,2932848.645760781,2129373.057264462,5062221.703025243,0.1687407234341748
1,r3_median,2740455.0508175446,720675.6742496523,2347427.2220375338,3068102.896287186,0.1022700965429062
1,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,4435015.1814005785,1357541.5982230185,3029758.586458682,4387300.184681701,0.14624333948939003
2,r1_quadratic,2086973.716454497,1043486.8582272511,2352939.930512429,3396426.7887396803,0.11321422629132268
2,r2_mean,5838618.490978384,2919309.245489195,2094028.419227916,5013337.664717111,0.16711125549057035
2,r3_median,2581613.8479874353,1020381.4785827871,1126681.5742419583,2147063.0528247454,0.07156876842749152
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,4522711.452955662,1239159.9190170602,2142098.67784485,3381258.59686191,0.112708619895397
2,r1_quadratic,2101458.589193706,1050729.2945968523,2688323.44671367,3739052.7413105224,0.12463509137701742
2,r2_mean,5811290.814075946,2905645.4070379715,1777730.520866824,4683375.927904796,0.15611253093015987
2,r3_median,3796073.479668537,1450938.7217318173,4361815.496669375,5812754.218401193,0.19375847394670642
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,4242265.483118127,1107255.0596214524,1874780.416960551,2982035.4765820033,0.09940118255273345
2,r1_quadratic,2131729.6911784774,1064839.0493922438,2257809.9927455895,3322649.0421378333,0.11075496807126112
2,r2_mean,5883255.637922365,2941627.8189611803,1043082.4787418522,3984710.2977030324,0.13282367659010108
2,r3_median,3612840.45613821,1247152.6462149601,2144726.781893685,3391879.428108645,0.1130626476036215
2,r4_capped_median,76391.02410658565,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,2242027.294020313,1028126.284001743,2623536.420872532,3651662.704874275,0.12172209016247583
2,r1_quadratic,2185404.8518628385,1092702.425931418,1881120.2776720172,2973822.7036034353,0.09912742345344784
2,r2_mean,5916440.294229712,2958220.147114857,1459962.4820400828,4418182.62915494,0.14727275430516468
2,r3_median,3045673.1301164655,1166806.7403712282,4920283.644251121,6087090.384622349,0.202903012820745
2,r4_capped_median,266757.47024226,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,2892836.5555819985,1276964.1018513772,2407938.211445934,3684902.3132973113,0.12283007710991038
2,r1_quadratic,2135235.135949799,1066587.6471612547,2660057.039138989,3726644.6863002437,0.12422148954334146
2,r2_mean,5864904.611894244,2932452.3059471226,1187062.1984546147,4119514.5044017374,0.13731715014672458
2,r3_median,2531938.850020857,1265969.4250104285,1903348.035657013,3169317.4606674416,0.10564391535558139
2,r4_capped_median,0.0,0.0,1500000.0,1500000.0,0.05
2,majoritarian_moving_phantoms,4333438.08082903,1120845.8015951468,2008799.1202334054,3129644.921828552,0.10432149739428508
2,r1_quadratic,2254691.585518839,1099370.1839500451,2458957.2005842817,3558327.384534327,0.1186109128178109
2,r2_mean,5902049.333057533,2951024.6665287632,602993.4327886143,3554018.0993173774,0.11846726997724591
2,r3_median,3189574.2472241493,1317477.1336302627,5824402.442578159,7141879.576208422,0.23806265254028072
2,r4_capped_median,232909.48837442114,232909.48837442114,846279.8675294784,1079189.3559038995,0.035972978530129984
2,majoritarian_moving_phantoms,2872595.3064373517,1029757.4647702156,2497534.9050275907,3527292.3697978063,0.11757641232659354
2,r1_quadratic,2166284.4378504828,1081303.1327809992,1637153.883208786,2718457.015989785,0.09061523386632617
