round,voting_rule,max_vev
1,majoritarian_moving_phantoms,4.317495695239934
1,r1_quadratic,2.0321207370977485
1,r2_mean,5.900653879980576
1,r3_median,3.1632681979459463
1,r4_capped_median,3.2729736808446166
2,majoritarian_moving_phantoms,2.958973559637669
2,r1_quadratic,2.1056053132666372
2,r2_mean,5.92840032235883
2,r3_median,4.007640195033404
2,r4_capped_median,3.5920201280360597
3,majoritarian_moving_phantoms,3.558967839023545
3,r1_quadratic,2.0710229774414275
3,r2_mean,5.917047112213967
3,r3_median,2.5503958419983146
3,r4_capped_median,2.2638438993650656
4,majoritarian_moving_phantoms,4.7089449785983675
4,r1_quadratic,2.024146181347467
4,r2_mean,5.929431026824766
4,r3_median,3.23557639405848
4,r4_capped_median,3.0118175847403132
5,majoritarian_moving_phantoms,3.51417529564337
5,r1_quadratic,1.9978258806453206
5,r2_mean,5.914206011512956
5,r3_median,2.4868889391344227
5,r4_capped_median,2.643336424921466
6,majoritarian_moving_phantoms,3.253863208266372
6,r1_quadratic,1.9439968352715509
6,r2_mean,5.845171085415375
6,r3_median,2.060900009976024
6,r4_capped_median,2.136727960117354
7,majoritarian_moving_phantoms,3.311094548795504
7,r1_quadratic,2.0476946459840146
7,r2_mean,5.862152437817362
7,r3_median,2.569985429980422
7,r4_capped_median,2.56136612471576
8,majoritarian_moving_phantoms,2.9596033381186424
8,r1_quadratic,2.0900540276363446
8,r2_mean,5.9271202764649065
8,r3_median,3.2240351643129768
8,r4_capped_median,3.2550823253758945
9,majoritarian_moving_phantoms,2.6374106182424217
9,r1_quadratic,1.9717139739077603
9,r2_mean,5.874648887595806
9,r3_median,3.671967791260316
9,r4_capped_median,3.718137719729534
10,majoritarian_moving_phantoms,1.937869036919237
10,r1_quadratic,2.0400261856314144
10,r2_mean,5.916603061749251
10,r3_median,2.321250297882414
10,r4_capped_median,2.4283816672082943
11,majoritarian_moving_phantoms,3.2707803837053238
11,r1_quadratic,2.0910625320758376
11,r2_mean,5.905407404974286
11,r3_median,2.672703021886203
11,r4_capped_median,2.823446223820262
12,majoritarian_moving_phantoms,3.209401930565309
12,r1_quadratic,2.130915030064642
12,r2_mean,5.914007645796124
12,r3_median,2.518292723829733
12,r4_capped_median,2.5911515449286036
13,majoritarian_moving_phantoms,2.904444765171846
13,r1_quadratic,1.9556363038076068
13,r2_mean,5.884158550840222
13,r3_median,2.8098228519668225
13,r4_capped_median,2.7946887458153546
14,majoritarian_moving_phantoms,3.5462258036671956
14,r1_quadratic,2.1120063285555886
14,r2_mean,5.925456226533913
14,r3_median,4.620268634181005
14,r4_capped_median,4.604873004503785
15,majoritarian_moving_phantoms,2.819471711725913
15,r1_quadratic,2.04367682194436
15,r2_mean,5.8857472467987115
15,r3_median,2.80384071413321
15,r4_capped_median,2.795542051221368
16,majoritarian_moving_phantoms,2.207688913699415
16,r1_quadratic,2.0314584633218886
16,r2_mean,5.908990485986974
16,r3_median,2.9512399325181673
16,r4_capped_median,2.61739891621167
17,majoritarian_moving_phantoms,3.600539826722837
17,r1_quadratic,2.067346292549754
17,r2_mean,5.9057732387248825
17,r3_median,2.949008074592358
17,r4_capped_median,3.3902223001971024
18,majoritarian_moving_phantoms,4.22118336535582
18,r1_quadratic,2.1388110586511324
18,r2_mean,5.9190223144778695
18,r3_median,3.5822104410755458
18,r4_capped_median,2.7769316210341395
19,majoritarian_moving_phantoms,2.7686728158971716
19,r1_quadratic,2.0810311669569916
19,r2_mean,5.912236826772482
19,r3_median,2.3784880892580986
19,r4_capped_median,2.510336010967019
20,majoritarian_moving_phantoms,2.847077470055871
20,r1_quadratic,2.171135683235727
20,r2_mean,5.927715612332724
20,r3_median,2.726121955650201
20,r4_capped_median,2.9915051100534717
21,majoritarian_moving_phantoms,4.497212164092856
21,r1_quadratic,2.058954236584105
21,r2_mean,5.898081527307898
21,r3_median,2.9458816223526787
21,r4_capped_median,2.5120538954902503
22,majoritarian_moving_phantoms,4.790195436630175
22,r1_quadratic,2.1273473431857415
22,r2_mean,5.9350026484594975
22,r3_median,2.4288668253842376
22,r4_capped_median,2.928197981500502
23,majoritarian_moving_phantoms,3.3708375321495296
23,r1_quadratic,2.0524329746683847
23,r2_mean,5.858525141393164
23,r3_median,3.297232507539648
23,r4_capped_median,3.4710921625571585
24,majoritarian_moving_phantoms,4.604143382679507
24,r1_quadratic,2.0556393545281932
24,r2_mean,5.905670211896863
24,r3_median,3.5764353982935413
