round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,8.334382073371671e-10,2446159.5754489223,4.520870788837783e-09,8.334382073371671e-10,38150.5223905571
2,7.300968718482181e-10,2716648.7713266,3.761442712857388e-09,7.300968718482181e-10,36811.65058325177
3,0.0,2287597.250426734,3.828063199762255e-09,0.0,69718.24136108927
4,0.0,2368440.234957989,3.922195901395753e-09,0.0,0.0
5,1.278749550692737e-09,2775551.451927069,3.987224772572517e-09,6.421032594516873e-10,502230.32383741287
6,0.0,2747747.2566003404,3.533390469101505e-09,0.0,47.352388066931546
7,5.475158104673028e-10,2968324.718857393,4.178218659944832e-09,1.0586518328636885e-09,519454.37343857205
8,1.6816557035781443e-09,2633427.6276805364,4.605681169778109e-09,1.6816557035781443e-09,18637.357515391228
9,1.052285369951278e-09,2318829.1321828994,3.6197889130562544e-09,1.9740582501981407e-09,18090.496851164746
10,0.0,2115944.0898740627,2.977685653604567e-09,0.0,84874.79048909336
11,6.389200279954821e-10,2915378.6763215163,3.758941602427512e-09,1.0181793186347932e-09,131225.6389446074
12,3.661625669337809e-09,2267611.231115353,4.909452400170267e-09,2.813067112583667e-09,261998.34820574106
13,1.7565753296366893e-09,2951079.377170443,5.074866749055218e-09,1.7565753296366893e-09,331896.1638574661
14,1.9961134967161343e-09,2785915.131084986,4.321918822824955e-09,1.0250005288980901e-09,225994.32601681122
15,8.376446203328669e-10,2666167.032618838,3.594777808757499e-09,8.376446203328669e-10,84206.43690789923
16,1.844910002546385e-09,2362865.204662323,3.76371644961182e-09,2.7980604500044137e-09,1.844910002546385e-09
17,1.8086439013131894e-09,2515199.6209345357,4.5571368900709786e-09,2.7750957087846473e-09,542894.0705661557
18,7.366907084360719e-10,2026070.4133490184,4.75210981676355e-09,1.7762431525625288e-09,22331.777629325214
19,1.6341914488293696e-09,2838919.5673551965,3.437065743128187e-09,2.754802608251339e-09,453503.20227077795
20,3.805780579568818e-09,2776475.5047325436,4.976300260750577e-09,3.805780579568818e-09,347792.33180709835
21,3.656282387964893e-09,2482031.0029338137,4.439243639353663e-09,3.656282387964893e-09,522.0503998560246
22,1.8992523109773174e-09,2496520.121585483,3.671175363706425e-09,1.8992523109773174e-09,1533.8516991182373
23,9.74978320300579e-10,2602943.89413894,3.788045432884246e-09,1.1232259566895664e-09,128849.36397750255
24,0.0,2671481.587205504,3.2703155739000067e-09,0.0,186506.59541858424
25,1.8071659724228084e-09,2682603.074519669,3.6336587072582915e-09,1.8071659724228084e-09,1.8071659724228084e-09
26,1.8412720237392932e-09,2367129.6717082206,3.603872755775228e-09,9.30867827264592e-10,1.8412720237392932e-09
27,7.444214134011418e-10,2469959.9123401954,3.800323611358181e-09,7.444214134011418e-10,7.444214134011418e-10
28,2.623892214614898e-09,2945365.8603560445,4.149569576838985e-09,2.623892214614898e-09,221191.85331123526
29,1.921875991683919e-09,2261973.5022865054,4.558955879474524e-09,4.750745574710891e-09,1748.6185423322477
30,1.046942088578362e-09,2688674.784523017,4.093863026355393e-09,1.046942088578362e-09,244604.7294270076
31,3.753655164473457e-09,2749872.7896771743,4.891177241006517e-09,3.753655164473457e-09,135021.21831781266
32,1.863782017608173e-09,2798854.6860052743,4.031221578770783e-09,1.863782017608173e-09,320833.1387487466
33,1.935532623065228e-09,2467780.9519137787,3.4438585316820536e-09,1.935532623065228e-09,178488.60874601107
34,9.258656064048409e-10,2372607.5481953453,4.008143150713295e-09,9.258656064048409e-10,53578.145829451256
35,1.802845872589387e-09,2998508.6514101746,4.330104275140911e-09,2.7901023713639006e-09,358261.5737377664
36,1.8300170268048532e-09,2247520.3696398903,4.065839220857015e-09,9.168275028059725e-10,831.3839451428374
37,9.868017514236271e-10,3017048.531543525,3.839886630885303e-09,9.868017514236271e-10,724188.25317223
38,2.7243913791608065e-09,2885112.900980715,3.5554421629058197e-09,2.7243913791608065e-09,464872.86749608716
39,2.678007149370387e-09,2258399.1954944585,3.788045432884246e-09,2.678007149370387e-09,2.678007149370387e-09
40,7.512426236644387e-10,2487089.9216487845,4.089542926521972e-09,1.0272742656525224e-09,7.512426236644387e-10
41,1.2037162377964705e-09,2880807.6449098736,4.469711711863056e-09,1.912667357828468e-09,658178.6071821498
42,0.0,2616160.1136322636,2.8735485102515668e-09,0.0,616044.4993943368
43,1.8262937828694703e-09,2431460.4732601694,3.854523811241961e-09,1.8262937828694703e-09,224.19960592930866
44,2.7184796635992825e-09,2546740.503628605,4.24347490479704e-09,2.7184796635992825e-09,263843.63860387675
45,1.7580532585270703e-09,2637197.3845094927,3.024524630745873e-09,8.93578544491902e-10,1.7580532585270703e-09
46,1.851390152296517e-09,2581859.949567454,3.738534815056482e-09,1.851390152296517e-09,39934.170653629975
47,0.0,2375219.5125877094,3.628429112723097e-09,0.0,153673.50974867961
48,0.0,2977956.1783757065,3.632010248111328e-09,0.0,636210.784099689
49,7.134985935408622e-10,2483627.728983265,4.377397999633104e-09,7.339622243307531e-10,38281.8602613986
50,6.890559234307148e-10,2716794.2657313,3.9113956518121995e-09,8.75502337294165e-10,252569.6794223347
51,5.538822733797133e-10,2333456.6390566956,3.828972694464028e-09,5.538822733797133e-10,5.538822733797133e-10
52,0.0,2507032.014047343,3.5771137163465028e-09,0.0,129663.58358211687
53,1.8767423171084374e-09,2681032.977096733,4.11682776757516e-09,1.8767423171084374e-09,233292.96100565724
54,4.615117177309003e-09,2508074.1240137285,5.11442976858234e-09,4.615117177309003e-09,177492.99777705662
55,1.9276740204077214e-09,2120891.588647455,4.148660082137212e-09,1.9276740204077214e-09,1.9276740204077214e-09
56,0.0,3010101.4629113735,3.991090125055052e-09,0.0,617702.2333748845
57,1.8110313249053434e-09,2656656.921865141,4.0774921217234805e-09,1.8110313249053434e-09,752464.1361839605
58,6.464233592851087e-10,2837687.2461458305,4.234152584103867e-09,9.19044396141544e-10,343376.2500313469
59,2.7885675990546588e-09,2851836.594461874,4.548439846985275e-09,2.7885675990546588e-09,648768.6025083873
60,5.666151992045343e-10,2754390.2010239246,3.271452442277223e-09,1.0242047210340388e-09,630030.8382858709
61,8.682263796799816e-10,2414920.799194464,3.883087629219517e-09,9.71454028331209e-10,1226.0230569944235
62,3.6393430491443723e-09,2865830.8233025586,4.4997250370215625e-09,3.6393430491443723e-09,393947.18449498527
63,7.694325176998973e-10,2406274.766170255,4.0588474803371355e-09,1.7658976503298618e-09,1095.5908037471304
64,1.7707861843518913e-09,2428061.1724354317,3.585228114388883e-09,9.231371222995222e-10,26205.159035772915
65,1.1245901987422258e-09,3020152.2587848622,4.698904376709834e-09,2.916749508585781e-09,316897.5848116893
66,8.203642209991813e-10,2293622.6594654224,4.379330675874371e-09,1.8045511751552112e-09,1117.622244179829
67,2.7821442927233875e-09,2554703.7744656005,4.363300831755623e-09,2.7821442927233875e-09,115570.26969960028
68,1.697600282568601e-09,2507569.9954388523,3.560671757441014e-09,1.697600282568601e-09,269986.5665144067
69,3.738023224286735e-09,2692260.973527574,4.1980001697083935e-09,2.8271642804611474e-09,193125.63297729162
70,8.422489372605924e-10,2212157.5659334892,3.401538606340182e-09,1.0368239600211382e-09,161910.07937979884
71,1.0321059562556911e-09,2629596.427393778,4.218293270241702e-09,1.0321059562556911e-09,236287.68814589706
72,1.8092123355017975e-09,2495915.6689152624,3.881950760842301e-09,1.8092123355017975e-09,196255.26518588202
73,1.1320935300318524e-09,2852653.6093301116,4.068851922056638e-09,1.863782017608173e-09,429966.70952562167
74,1.9572325982153416e-09,2768492.26162973,4.476532922126353e-09,9.89530235528946e-10,400696.91394212807
75,2.8545343866426265e-09,2630641.0770771685,4.311061729822541e-09,2.8545343866426265e-09,268853.2566711047
76,1.5297700883820653e-09,2954474.091280201,3.627064870670438e-09,8.267306839115918e-10,495307.7398023167
77,6.843947630841285e-10,2179666.628128145,3.966420081269462e-09,7.794938028382603e-10,577.0969801546817
78,3.5197444958612323e-09,3266781.4442133876,4.097501005162485e-09,3.5197444958612323e-09,939136.6255544807
79,8.064944267971441e-10,2666477.51704315,3.609557097661309e-09,1.7180354916490614e-09,358622.38312314905
