round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,3481272.6370207253,1607610.209227908,2965680.3978561526,3481272.6370207253,3481272.6370207253
2,3479950.236188535,1607488.8827052773,2949623.8660326973,3479950.236188535,3479950.236188535
3,3480595.7350611854,1615719.4577897552,2966244.868267644,3480595.7350611854,3480595.7350611854
4,3369446.6584285935,1575921.9830715777,2859960.046291119,3369446.6584285935,3369446.6584285935
5,3565513.4832519833,1668393.6588021836,3062747.407509939,3565513.4832519833,3565513.4832519833
6,3482320.2917452296,1633229.410326764,2973110.487274761,3482320.2917452296,3482320.2917452296
7,3538419.0269424533,1631101.1222856613,3013576.4778614845,3538419.0269424533,3538419.0269424533
8,3450513.6716613662,1604946.4037389206,2924403.1538437866,3450513.6716613662,3450513.6716613662
9,3414545.71094763,1558489.5848502899,2888461.735756254,3414545.71094763,3414545.71094763
10,3509113.058072474,1650473.5047459127,2991454.456534799,3509113.058072474,3509113.058072474
11,3408727.2237467514,1584957.326494026,2888046.8474705787,3408727.223746752,3408727.2237467514
12,3338261.7249857066,1555921.104462229,2829339.8868637485,3338261.7249857066,3338261.7249857066
13,3517454.5192092312,1670386.062671443,3022665.6712095817,3517454.5192092312,3517454.5192092312
14,3221604.366707289,1515227.162852268,2736085.2912633116,3221604.366707289,3221604.366707289
15,3566406.8444160386,1668510.3128046677,3034902.264934158,3566406.8444160386,3566406.8444160386
16,3450116.8610984306,1608460.1760313166,2941431.130940511,3450116.8610984306,3450116.8610984306
17,3330186.6819091258,1535166.1704802178,2824909.1993018566,3330186.6819091258,3330186.6819091258
18,3508790.9339688923,1633559.5577746741,2985273.308635066,3508790.933968893,3508790.9339688923
19,3422604.099853318,1612039.1118380756,2916078.408354122,3422604.099853318,3422604.099853318
20,3508847.055927908,1630318.1760117128,3003655.958596248,3508847.0559279085,3508847.055927908
21,3462037.710148729,1616373.2095426861,2957815.987966204,3462037.710148729,3462037.710148729
22,3423737.7690321766,1585354.4873159153,2889123.1952015865,3423737.7690321766,3423737.7690321766
23,3298489.6567219943,1559312.9210190407,2794886.576526746,3298489.6567219943,3298489.6567219943
24,3545037.6134102168,1653872.093433486,2998913.642537296,3545037.6134102168,3545037.6134102168
25,3568867.054376942,1652754.4880454347,3003035.918476618,3568867.054376942,3568867.054376942
26,3290069.4149240465,1546715.6935667992,2789430.97016288,3290069.4149240465,3290069.4149240465
27,3590079.3890933385,1668720.1972003086,3038220.1394888056,3590079.3890933385,3590079.3890933385
28,3511435.184930372,1632508.6249514262,2968008.5612890827,3511435.184930372,3511435.184930372
29,3511458.5036647315,1624538.5157186296,2991020.7774434257,3511458.5036647315,3511458.5036647315
30,3517858.0532823047,1629577.5693573277,2997054.423464448,3517858.0532823047,3517858.0532823047
31,3447478.95798565,1602963.6812178493,2927472.182835779,3447478.95798565,3447478.95798565
32,3426015.954284328,1594581.4262716759,2930886.785542332,3426015.954284328,3426015.954284328
33,3404083.4124120064,1583954.0932568065,2885858.563248611,3404083.4124120064,3404083.4124120064
34,3511015.886782982,1614538.1926674903,2968953.1076773433,3511015.8867829824,3511015.886782982
35,3726858.335256968,1724227.4582067668,3171277.2218461493,3726858.335256968,3726858.335256968
36,3348779.04270388,1561614.1555080195,2832699.012865114,3348779.04270388,3348779.04270388
37,3487231.7257106774,1614582.6672445373,2948578.573885829,3487231.7257106774,3487231.7257106774
38,3582179.10769346,1659113.758936713,3024214.3022910957,3582179.10769346,3582179.10769346
39,3510216.4783633584,1623862.0904588294,2971046.342408392,3510216.4783633584,3510216.4783633584
40,3426851.508702376,1611437.4599114063,2911275.0579164336,3426851.508702376,3426851.508702376
41,3492880.374039837,1626628.8867445292,2969031.2751119025,3492880.374039837,3492880.374039837
42,3411050.394775983,1583376.0306349841,2889316.548752114,3411050.394775983,3411050.394775983
43,3444923.817544374,1623490.108736611,2915782.540616434,3444923.8175443737,3444923.817544374
44,3581139.8658462996,1679216.800768435,3053997.5373747395,3581139.8658462996,3581139.8658462996
45,3317882.1566505646,1548007.6184765166,2820855.5457240716,3317882.156650565,3317882.1566505646
46,3575830.8235890176,1642410.3979419367,3016098.8000751855,3575830.8235890176,3575830.8235890176
47,3450406.518573532,1594542.7013919414,2914985.287089298,3450406.518573532,3450406.518573532
48,3383706.89352918,1555541.0329153314,2871503.547843211,3383706.89352918,3383706.89352918
49,3509235.342047501,1613220.6832877109,2977955.0028578173,3509235.342047501,3509235.342047501
50,3682710.2882193336,1700003.1277836037,3138410.5298919827,3682710.2882193336,3682710.2882193336
