normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
8310.976538578105,11733.190201654877,9283.501875333572,8310.976538578107,8310.976538578105,Project 1
9275.455938068986,13022.141205660506,10992.889618818645,9275.455938068986,9275.455938068986,Project 2
6407.051988845036,11332.355324807577,9081.86119607972,6407.051988845037,6407.051988845036,Project 3
19813.141370921054,17731.884126036897,18033.79084879868,19813.141370921057,19813.141370921054,Project 4
7865.262507100094,12161.03340684428,9275.075220003948,7865.262507100096,7865.262507100094,Project 5
17471.082315831078,17711.599698218924,18115.228252304612,17471.08231583108,17471.082315831078,Project 6
35805.29582991993,24600.935050130207,34222.829220076266,35805.29582991994,35805.29582991993,Project 7
14740.87707847616,15728.003545630063,14361.586072104263,14740.877078476162,14740.87707847616,Project 8
9038.821293546904,13032.519409819308,10220.473059523827,9038.821293546906,9038.821293546904,Project 9
15264.677662425891,15834.508768130438,14669.05683531687,15264.677662425893,15264.677662425891,Project 10
7385.748293270111,11745.182643733397,9553.36607087125,7385.748293270112,7385.748293270111,Project 11
10084.585216301295,13221.971938197761,10920.837857293218,10084.585216301295,10084.585216301295,Project 12
6098.510421876399,10678.036364200454,7632.06446351192,6098.5104218764,6098.510421876399,Project 13
18860.852885018507,17765.31856312557,17945.69982284343,18860.85288501851,18860.852885018507,Project 14
18012.42353474714,17923.807870691617,18574.0151080087,18012.42353474714,18012.42353474714,Project 15
27472.5328365293,21120.099442091137,25319.592646946363,27472.532836529303,27472.5328365293,Project 16
18587.79595872997,17861.064099590032,18507.956176660486,18587.795958729974,18587.79595872997,Project 17
15776.462743024349,16155.462919001475,15219.350063886697,15776.462743024349,15776.462743024349,Project 18
12764.050076190506,15036.908233182463,13404.626767290412,12764.050076190508,12764.050076190506,Project 19
5988.085492677816,11016.071700801875,8457.332929608538,5988.085492677817,5988.085492677816,Project 20
15020.184300096827,16720.86494435387,16492.311303407838,15020.184300096827,15020.184300096827,Project 21
14110.56140001152,15798.706181457188,14644.09713904619,14110.56140001152,14110.56140001152,Project 22
32106.645938601727,22736.20176099934,29104.967449703152,32106.645938601734,32106.645938601727,Project 23
18676.265697598465,17753.204182508693,18237.264011050433,18676.26569759847,18676.265697598465,Project 24
12510.929134166958,14663.391777044579,12829.019755673029,12510.92913416696,12510.929134166958,Project 25
12316.461249042,14474.208872664596,12553.922257947052,12316.461249042,12316.461249042,Project 26
30978.498726386126,22472.75230793152,28372.671151472743,30978.49872638613,30978.498726386126,Project 27
12439.536829001561,14756.873271949382,13019.98489567508,12439.536829001563,12439.536829001561,Project 28
16222.359512572515,16725.290687769408,16107.353164177866,16222.359512572515,16222.359512572515,Project 29
11859.531664112583,14104.342972883713,11934.275465518338,11859.531664112583,11859.531664112583,Project 30
26696.17811159655,20901.57074561824,24737.936671300762,26696.178111596553,26696.17811159655,Project 31
19316.01859615245,18098.664941359813,18800.834179175366,19316.018596152455,19316.01859615245,Project 32
20828.98661878852,18804.3032511721,20206.481637308025,20828.986618788524,20828.98661878852,Project 33
7482.985020132888,12190.693862039754,9561.797243331372,7482.985020132889,7482.985020132888,Project 34
16599.86518836808,16865.536287866315,16585.419223194313,16599.865188368083,16599.86518836808,Project 35
9124.962529506098,12430.377588868088,9394.692958493872,9124.962529506098,9124.962529506098,Project 36
11628.413929468734,14811.355851429795,13348.117331236748,11628.413929468736,11628.413929468734,Project 37
8660.772708968132,12812.944755241679,10537.010016485823,8660.772708968132,8660.772708968132,Project 38
13968.285011103097,15996.603811202947,15053.073747949606,13968.285011103098,13968.285011103097,Project 39
38270.48742328189,24891.816801581193,34856.53226167767,38270.48742328189,38270.48742328189,Project 40
31558.542757288596,22768.005298593187,29328.218718925382,31558.5427572886,31558.542757288596,Project 41
19837.272288144057,18064.65989170388,18659.872347898632,19837.27228814406,19837.272288144057,Project 42
7055.408963241032,11975.804242957469,9497.171054936991,7055.408963241033,7055.408963241032,Project 43
22429.671745085394,19582.084979596493,21796.95166225428,22429.671745085398,22429.671745085394,Project 44
13326.633520396936,15488.224301478689,14230.03068569821,13326.633520396937,13326.633520396936,Project 45
10662.190169251866,13728.959509000983,11444.35164351351,10662.190169251868,10662.190169251866,Project 46
42023.64104884296,25806.75789466016,37302.483819383924,42023.64104884296,42023.64104884296,Project 47
9567.022175635131,13506.88166885401,11292.544503499412,9567.022175635133,9567.022175635131,Project 48
6607.12085506796,11081.398493226832,8142.063560515528,6607.120855067961,6607.12085506796,Project 49
10888.142618700575,13463.98463162532,11062.555794909687,10888.142618700576,10888.142618700575,Project 50
7215.173420012943,11863.416123957637,9344.221800404723,7215.173420012944,7215.173420012943,Project 51
24661.338774023534,20112.252704122115,23012.362599577333,24661.338774023538,24661.338774023534,Project 52
20557.73770947469,19001.0703214502,20539.215075188946,20557.73770947469,20557.73770947469,Project 53
27816.19319207565,21989.789600273718,27401.330167940134,27816.193192075654,27816.19319207565,Project 54
11946.138797302447,15275.668535589153,14380.574498936867,11946.138797302448,11946.138797302447,Project 55
10551.92927853517,13358.778269001637,10977.093745895676,10551.929278535172,10551.92927853517,Project 56
12929.978210497213,14664.316820744709,12966.307338735833,12929.978210497215,12929.978210497213,Project 57
33217.38194696342,22996.284817620886,29736.78065806552,33217.381946963425,33217.38194696342,Project 58
15542.449691494465,16561.290699545007,16001.673588816022,15542.449691494467,15542.449691494465,Project 59
14583.825927456974,15696.810280518299,14469.46180237772,14583.825927456975,14583.825927456974,Project 60
14850.758842829404,16057.903758896562,14967.145621418276,14850.758842829406,14850.758842829404,Project 61
27481.027834465378,21238.722540998977,25653.625331434858,27481.02783446538,27481.027834465378,Project 62
23875.620167784222,20248.246762062023,23368.361329368414,23875.620167784222,23875.620167784222,Project 63
21079.940942512534,18469.988757309307,19556.888312526407,21079.940942512538,21079.940942512534,Project 64
12785.094592710477,14988.888210717458,13129.710604009955,12785.094592710479,12785.094592710477,Project 65
30759.02603190609,22445.51078525428,28497.40215317262,30759.026031906094,30759.02603190609,Project 66
18523.59476234795,17603.81685165624,17827.647334582205,18523.594762347955,18523.59476234795,Project 67
13271.807907417086,15408.77339926367,14340.695962302547,13271.807907417087,13271.807907417086,Project 68
8911.004963835712,12342.265940677426,9163.668412073692,8911.004963835714,8911.004963835712,Project 69
18794.026615211904,17970.771335428224,18666.990113404656,18794.026615211907,18794.026615211904,Project 70
13857.623545818933,14946.32582210706,13332.689800853756,13857.623545818935,13857.623545818933,Project 71
13113.817122689847,15240.218568612901,13962.724226509816,13113.817122689847,13113.817122689847,Project 72
20547.116618202974,18604.069419586787,19811.59626692724,20547.116618202974,20547.116618202974,Project 73
7032.387968637119,11435.960586147388,8821.446989543807,7032.38796863712,7032.387968637119,Project 74
7605.569498136553,11183.848324575056,8476.84403310167,7605.569498136554,7605.569498136553,Project 75
13664.420357295787,15293.473981101768,13994.237812206567,13664.420357295789,13664.420357295787,Project 76
7501.34039543754,12412.74043797044,10361.482044777973,7501.340395437541,7501.34039543754,Project 77
19378.194156702164,17844.93808064928,18201.53932477749,19378.194156702164,19378.194156702164,Project 78
18512.77582078094,17932.438534154637,18606.17687140836,18512.775820780942,18512.77582078094,Project 79
14288.88319875489,15752.251650707274,14726.97813214669,14288.883198754891,14288.88319875489,Project 80
12526.50713678813,14695.246219528442,12745.995159735035,12526.507136788132,12526.50713678813,Project 81
26252.575840172824,20482.89045151745,23589.933417041768,26252.575840172827,26252.575840172824,Project 82
17705.769739131836,17312.941585972967,17246.95374774499,17705.769739131836,17705.769739131836,Project 83
8639.52449841947,11738.692038204774,8607.026846008357,8639.52449841947,8639.52449841947,Project 84
17416.48490087818,16991.689064973165,17167.075706039686,17416.48490087818,17416.48490087818,Project 85
21585.138964860093,18922.135298410205,20463.969763319397,21585.138964860093,21585.138964860093,Project 86
7661.6144612984635,11784.623460937126,8988.578823574402,7661.614461298464,7661.6144612984635,Project 87
14183.605328321786,15636.882173535912,14582.911443921834,14183.605328321788,14183.605328321786,Project 88
15396.03712233829,16045.964727079549,15191.713394456374,15396.037122338292,15396.03712233829,Project 89
23272.15831979472,19729.556741015185,21997.2764139486,23272.158319794722,23272.15831979472,Project 90
15545.042388172582,16289.470096395275,15442.712851398846,15545.042388172584,15545.042388172582,Project 91
20498.356572725443,18330.878859470882,19102.024838079466,20498.356572725446,20498.356572725443,Project 92
10139.239977323452,13357.897177126326,10999.330132744613,10139.239977323454,10139.239977323452,Project 93
8132.506549640751,12075.540859844403,9526.720855033274,8132.506549640752,8132.506549640751,Project 94
7369.5147219378705,10897.349458339473,7755.514708833477,7369.514721937871,7369.5147219378705,Project 95
11771.441028500587,14532.607899168152,12496.36617648617,11771.441028500589,11771.441028500587,Project 96
6454.1241997865245,10359.720385391867,7082.276360453796,6454.124199786525,6454.1241997865245,Project 97
9921.878738481877,13317.054243883555,10835.760738712428,9921.878738481877,9921.878738481877,Project 98
31817.148527375062,22789.074419142264,29285.153943560606,31817.14852737507,31817.148527375062,Project 99
19610.295993100422,17878.076604427908,18387.176425496207,19610.295993100422,19610.295993100422,Project 100
5676.440193424067,10605.374349313377,7560.935113750605,5676.440193424068,5676.440193424067,Project 101
11662.211487381064,14657.38949774337,12851.182774191197,11662.211487381066,11662.211487381064,Project 102
9299.125071354983,13006.747572577686,10305.074948657273,9299.125071354983,9299.125071354983,Project 103
25733.027403703374,21082.19691004974,25170.599497359322,25733.027403703378,25733.027403703374,Project 104
14354.578361012122,15696.973364746664,14437.640205234513,14354.578361012123,14354.578361012122,Project 105
7108.843207439381,11139.687745934783,8510.896915934316,7108.843207439381,7108.843207439381,Project 106
18088.41693205615,17254.108947211073,17198.074157584902,18088.41693205615,18088.41693205615,Project 107
6820.093850753437,11138.127969646674,9211.417821742789,6820.093850753438,6820.093850753437,Project 108
10427.20686349846,13935.486701224112,11767.600035412775,10427.20686349846,10427.20686349846,Project 109
8504.554293141036,12125.555262579672,9629.816115675074,8504.554293141038,8504.554293141036,Project 110
13490.247043671876,14760.536979202785,13260.469515510242,13490.247043671878,13490.247043671876,Project 111
13566.60369612304,15026.485678310226,13280.00241859769,13566.60369612304,13566.60369612304,Project 112
41206.24356462216,25775.5636937004,37155.50855209652,41206.243564622164,41206.24356462216,Project 113
8215.70432153971,12120.480003042963,9444.766632140483,8215.704321539712,8215.70432153971,Project 114
13512.173214276114,14720.468769424251,13453.999966536163,13512.173214276114,13512.173214276114,Project 115
23452.97493293018,19561.35498880166,21693.908864546713,23452.974932930185,23452.97493293018,Project 116
14360.55275349479,15263.365253619726,13832.685807510941,14360.552753494792,14360.55275349479,Project 117
8833.813090568096,12382.883775422053,9852.02130478831,8833.813090568097,8833.813090568096,Project 118
9401.681165560456,12279.328376822208,10083.212659809473,9401.681165560458,9401.681165560456,Project 119
9961.674709322322,13100.096504058829,10574.917337901761,9961.674709322322,9961.674709322322,Project 120
15084.819765619466,15956.150578393808,14642.709889586344,15084.819765619468,15084.819765619466,Project 121
9890.811698565458,13720.66501701586,12009.076398637715,9890.81169856546,9890.811698565458,Project 122
9857.745293112774,12741.879634694093,9793.30823326409,9857.745293112774,9857.745293112774,Project 123
21142.142627598958,18805.94963034745,20109.75666958527,21142.14262759896,21142.142627598958,Project 124
9066.936990186294,13242.94656626563,11087.632345161024,9066.936990186294,9066.936990186294,Project 125
8715.293114616248,12683.305376746814,9945.127095745398,8715.293114616248,8715.293114616248,Project 126
16887.652124255124,16514.84637863836,15838.150766909059,16887.652124255124,16887.652124255124,Project 127
7150.293339713737,12150.349745915248,9599.594656264553,7150.293339713738,7150.293339713737,Project 128
18048.836452027215,16991.30828994697,16620.35753266709,18048.83645202722,18048.836452027215,Project 129
9876.854133339739,12943.614803690323,10226.341059904977,9876.85413333974,9876.854133339739,Project 130
12221.200087622634,14759.321494737658,12903.191654172251,12221.200087622636,12221.200087622634,Project 131
21519.537575749688,18605.128930139326,19583.028304064006,21519.53757574969,21519.537575749688,Project 132
17032.012329674595,16919.857229501853,16469.41699051325,17032.0123296746,17032.012329674595,Project 133
6500.520828207551,10953.598921708963,8093.9367902565455,6500.520828207552,6500.520828207551,Project 134
17556.124971026777,17279.63969599828,17182.01333164125,17556.124971026777,17556.124971026777,Project 135
18487.323087629025,18132.143835099356,19063.422155617394,18487.32308762903,18487.323087629025,Project 136
11548.87266307473,14181.34739464671,12499.620801319963,11548.87266307473,11548.87266307473,Project 137
9805.158899468646,12444.192056305188,9847.102845841117,9805.158899468648,9805.158899468646,Project 138
15642.53568867479,16660.11702896912,16241.331086454109,15642.53568867479,15642.53568867479,Project 139
6851.839083381008,11284.301742870903,8717.964600128189,6851.839083381009,6851.839083381008,Project 140
17452.023048024294,16801.776567775123,16219.174318927739,17452.023048024297,17452.023048024294,Project 141
13746.448034708728,15041.21770328116,13488.964432685509,13746.44803470873,13746.448034708728,Project 142
7581.57455957942,11968.35921130788,9295.010285414888,7581.574559579421,7581.57455957942,Project 143
13848.067278031618,15366.192954235275,14123.636872014848,13848.06727803162,13848.067278031618,Project 144
39430.597575776825,25287.815833605844,35919.54370049186,39430.59757577683,39430.597575776825,Project 145
18402.65136559855,17620.107847779604,17713.09457756551,18402.65136559855,18402.65136559855,Project 146
10204.348085561138,13576.47172443298,11462.015292839,10204.34808556114,10204.348085561138,Project 147
22553.687045235132,19572.05740172296,21840.53007370145,22553.687045235132,22553.687045235132,Project 148
9763.865476645387,13212.076993986215,11117.75305394671,9763.86547664539,9763.865476645387,Project 149
17664.05168097132,17527.731988411735,17819.954231310247,17664.05168097132,17664.05168097132,Project 150
32253.317116174298,22681.992041461377,28837.74454378499,32253.3171161743,32253.317116174298,Project 151
29489.784817534615,22198.7737803922,27795.985244570482,29489.78481753462,29489.784817534615,Project 152
29979.33352682924,22350.016724177494,28333.72756873628,29979.333526829243,29979.33352682924,Project 153
35912.376661621165,24143.051594670877,32795.67349406364,35912.376661621165,35912.376661621165,Project 154
11550.087222377635,14423.057870706925,12642.590993046706,11550.087222377635,11550.087222377635,Project 155
6755.534412577766,10673.62024656925,7449.940069006518,6755.5344125777665,6755.534412577766,Project 156
15308.98249309025,15941.436575705771,14648.55650674525,15308.982493090252,15308.98249309025,Project 157
8873.92673259828,12401.270821979986,9608.502938929667,8873.92673259828,8873.92673259828,Project 158
9916.597201680357,12979.362626098764,10298.553875836682,9916.597201680359,9916.597201680357,Project 159
28095.48887211747,21728.98943499691,26647.74400457525,28095.48887211747,28095.48887211747,Project 160
19066.514407283805,17909.327859661124,18548.42596823768,19066.514407283805,19066.514407283805,Project 161
10462.545567478326,13761.388076828012,11933.668522352133,10462.545567478328,10462.545567478326,Project 162
10611.780774453055,12663.857203718597,10134.202762663901,10611.780774453056,10611.780774453055,Project 163
8577.022842419541,11949.401378534772,9101.355064991661,8577.022842419541,8577.022842419541,Project 164
8018.305340790469,12288.076321533306,9939.57278388075,8018.30534079047,8018.305340790469,Project 165
7426.393527365233,11474.196689887425,8735.509248429138,7426.393527365234,7426.393527365233,Project 166
9105.209679147576,12791.498349122325,9952.420272155967,9105.209679147578,9105.209679147576,Project 167
13487.639163882277,15172.09736313005,13380.273881024305,13487.639163882279,13487.639163882277,Project 168
10363.512283282482,12827.371699640027,11199.455602447184,10363.512283282484,10363.512283282482,Project 169
7471.890704597706,11816.334375398994,9220.810260484752,7471.890704597707,7471.890704597706,Project 170
19836.298086614093,18244.808087569432,19152.23081884908,19836.298086614097,19836.298086614093,Project 171
22306.797696909412,19420.24070662125,21983.87190425297,22306.797696909416,22306.797696909412,Project 172
22331.28931368701,18734.010658801057,19948.04554085297,22331.289313687015,22331.28931368701,Project 173
17603.953760321747,17789.673094715996,18495.712093726426,17603.953760321747,17603.953760321747,Project 174
54596.69282094969,29865.719773847995,49905.56655688031,54596.6928209497,54596.69282094969,Project 175
34760.271168140694,23762.14202263758,31776.07583182717,34760.271168140694,34760.271168140694,Project 176
11541.05618805601,14146.555885401924,11984.803846745866,11541.056188056013,11541.05618805601,Project 177
17027.73974420504,16913.373348490793,16763.04806370217,17027.73974420504,17027.73974420504,Project 178
44552.35514699653,26618.051647008422,39558.01688527404,44552.35514699653,44552.35514699653,Project 179
7577.043464062062,11648.077392809675,8779.103605368686,7577.043464062063,7577.043464062062,Project 180
16199.483301264923,16920.79082090239,16567.695421809512,16199.483301264927,16199.483301264923,Project 181
14418.676454688908,15792.044803640625,14788.6183307946,14418.67645468891,14418.676454688908,Project 182
9434.161176441035,12715.096736838083,10283.5065785177,9434.161176441037,9434.161176441035,Project 183
8276.705179928731,12670.825113039027,10186.157024067774,8276.705179928731,8276.705179928731,Project 184
8366.338335480392,12262.132463823848,9289.34317762006,8366.338335480392,8366.338335480392,Project 185
16039.568319736196,16280.297776214074,15210.87793080312,16039.5683197362,16039.568319736196,Project 186
9039.593366068772,12629.169795930567,10103.038284240378,9039.593366068772,9039.593366068772,Project 187
25271.26375019919,20501.571953745726,23844.002307196228,25271.263750199192,25271.26375019919,Project 188
11501.047284781329,13529.239591128382,11114.954776263146,11501.04728478133,11501.047284781329,Project 189
10711.246576329078,13893.547332158847,12127.114836315763,10711.24657632908,10711.246576329078,Project 190
12131.314456472168,14684.647983354113,13184.247798623528,12131.31445647217,12131.314456472168,Project 191
20186.74932064172,18367.685492588833,19504.809270975613,20186.749320641724,20186.74932064172,Project 192
7852.727879836239,12199.24669226311,9623.606560658405,7852.72787983624,7852.727879836239,Project 193
9436.78054879205,12340.767512556398,9605.011924532155,9436.780548792052,9436.78054879205,Project 194
11703.54308748899,14196.499472757132,12264.387845416377,11703.543087488992,11703.54308748899,Project 195
8465.232300855598,11416.2066660223,8492.893927381016,8465.232300855598,8465.232300855598,Project 196
7335.38719370203,11657.47240555692,8960.04738462502,7335.387193702031,7335.38719370203,Project 197
20333.63214067415,18494.513447688278,19674.301983525165,20333.63214067415,20333.63214067415,Project 198
10857.702572990536,13701.508480444294,11421.101344361665,10857.702572990536,10857.702572990536,Project 199
8608.610720707147,13058.532094921533,10677.590944647562,8608.610720707149,8608.610720707147,Project 200
10362.595048381512,13382.602127723178,10694.536710289272,10362.595048381514,10362.595048381512,Project 201
7696.313522846772,11112.630837080726,8485.379068696757,7696.313522846773,7696.313522846772,Project 202
9934.003481810787,13400.396752555811,10896.020240444606,9934.003481810789,9934.003481810787,Project 203
13882.515076498466,15516.842464089597,14343.154312549896,13882.515076498468,13882.515076498466,Project 204
9793.814140562958,13341.084514549966,10708.352096825643,9793.81414056296,9793.814140562958,Project 205
20325.176128809922,18338.40055622427,19029.34689549765,20325.176128809922,20325.176128809922,Project 206
9751.972013531753,12353.03869626405,9525.936128023573,9751.972013531755,9751.972013531753,Project 207
