round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,3271576.0312461853,3678342.741097371,3220200.6421887726,3271576.0312461853,3271576.0312461853
2,3167183.3440104434,3539597.6526964623,3128462.3509193803,3167183.3440104434,3167183.3440104434
3,3160263.112026983,3548816.282247169,3120088.413503633,3160263.1120269825,3160263.112026983
4,3170239.4633813924,3668369.367989213,3132197.272212995,3170239.4633813924,3170239.4633813924
5,3182731.8811752624,3662993.2964267605,3162254.7021788945,3182731.8811752624,3182731.8811752624
6,3164066.2609632425,3628555.2696457608,3123119.5787497517,3164066.2609632425,3164066.2609632425
7,3220898.8525679326,3662391.387443057,3195869.496316407,3220898.8525679326,3220898.8525679326
8,3218184.328922271,3572344.3583784774,3168702.173760678,3218184.328922271,3218184.328922271
9,3187804.0181482197,3594042.089251971,3131995.384245583,3187804.01814822,3187804.0181482197
10,3219476.719884608,3603824.937864187,3167581.4595736573,3219476.719884608,3219476.719884608
11,3174000.291503196,3549116.7308452353,3107434.4286142616,3174000.291503196,3174000.291503196
12,3177484.298305681,3682711.181174943,3187149.428008468,3177484.29830568,3177484.298305681
13,3233046.0399055965,3546205.9901177627,3136230.981686617,3233046.0399055965,3233046.0399055965
14,3169391.723188515,3581221.9519810723,3166920.241625164,3169391.723188515,3169391.723188515
15,3163199.7648068103,3613257.052449448,3081624.201843829,3163199.7648068103,3163199.7648068103
16,3192397.559451665,3681070.2646233663,3129120.3440646324,3192397.5594516653,3192397.559451665
17,3215255.2868953096,3577717.2732331455,3144862.1080414057,3215255.28689531,3215255.2868953096
18,3211141.029917258,3544037.840405957,3145699.8083209926,3211141.029917258,3211141.029917258
19,3168938.3909789687,3595317.053049679,3111817.457864185,3168938.3909789687,3168938.3909789687
20,3175615.0004912755,3544389.52620836,3115257.7865274567,3175615.0004912755,3175615.0004912755
21,3208048.2904855907,3627480.7390033733,3143609.9153786087,3208048.2904855907,3208048.2904855907
22,3124775.81468232,3602154.09407913,3087909.7179387663,3124775.81468232,3124775.81468232
23,3189185.054546417,3649833.51932121,3173503.2516604126,3189185.054546417,3189185.054546417
24,3195908.6721909917,3567360.308871826,3151051.4611080014,3195908.6721909917,3195908.6721909917
25,3247321.0028389767,3531817.110972529,3158432.7488249307,3247321.0028389767,3247321.0028389767
26,3194086.8515754435,3658626.5626235493,3149357.7401412986,3194086.8515754435,3194086.8515754435
27,3150441.6538880477,3487626.8378668586,3088960.877331555,3150441.6538880477,3150441.6538880477
