round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,2977368.33104738,3336101.691838139,2933052.123999908,2977368.33104738,2977368.33104738
2,2971089.6011969387,3440485.6259389874,2922270.5555311632,2971089.6011969387,2971089.6011969387
3,2955733.4388945596,3363980.480646613,2912196.304459785,2955733.4388945596,2955733.4388945596
4,2962397.2334919786,3345307.0404510335,2921276.778113265,2962397.2334919786,2962397.2334919786
5,2967875.3864746345,3355139.6445963765,2926169.491120862,2967875.3864746345,2967875.3864746345
6,2971486.0208279206,3348702.3031067383,2928819.3983671586,2971486.0208279206,2971486.0208279206
7,2958250.6278399574,3313869.0184463277,2920571.9473734875,2958250.6278399574,2958250.6278399574
8,2971904.748458554,3392626.366418061,2928943.1900073667,2971904.748458554,2971904.748458554
9,2981013.809608742,3321076.3262724467,2939842.093438892,2981013.809608741,2981013.809608742
10,2968263.710955968,3311954.6907838066,2929148.8848594646,2968263.710955968,2968263.710955968
11,2957936.757272707,3327869.8524743663,2919579.147319233,2957936.757272707,2957936.757272707
12,2947720.10236744,3294772.5220349045,2912523.866844173,2947720.10236744,2947720.10236744
13,2976392.807682739,3353296.674375298,2935496.667183431,2976392.807682739,2976392.807682739
14,2966912.8373167478,3358139.603399156,2922941.04027865,2966912.8373167487,2966912.8373167478
15,2977901.453399905,3406332.199934393,2935549.819542849,2977901.4533999036,2977901.453399905
16,2956342.2001756476,3352424.55444158,2915038.3177370494,2956342.200175647,2956342.2001756476
17,2958383.6911868,3355203.9666665797,2918655.292464611,2958383.6911868,2958383.6911868
18,2972207.323693695,3387926.74575585,2924369.315129459,2972207.323693695,2972207.323693695
19,2966681.8586064233,3325173.710136466,2929221.484549761,2966681.8586064233,2966681.8586064233
20,2959295.667975156,3353370.641784941,2919587.4357528174,2959295.6679751556,2959295.667975156
21,2985134.0421835487,3402784.4211458843,2937989.2969178124,2985134.04218355,2985134.0421835487
