majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
90936.34125237577,110566.9554955241,106406.04186568475,80829.06276304391,80829.0627630439,Project 1
163160.82608750084,141691.96569551734,165397.75064033683,174526.8163814507,174526.8163814507,Project 2
75941.05286442331,100375.6633866447,83290.63801824446,66880.37671151664,66880.37671151663,Project 3
107973.07548257767,124483.09995242232,118353.39210768134,129666.73812399748,129666.73812399745,Project 4
117169.87975061574,123462.34422213795,123742.8459092235,99230.88267713519,99230.88267713517,Project 5
138298.8710209495,130408.84108958334,128215.18683616686,151070.34822925134,151070.3482292513,Project 6
133705.63530462372,129654.51655305942,133512.57244322618,133503.9355682791,133503.9355682791,Project 7
109782.22659762294,122323.61405914153,119670.66651232138,105142.5931624663,105142.59316246629,Project 8
149035.14997750268,131792.13328832312,129848.82307029344,151871.96427882503,151871.964278825,Project 9
107913.69533309375,109055.3063281239,99248.36541811851,94814.04906449725,94814.04906449725,Project 10
127690.53597173722,117659.01282918283,106617.69916901043,121738.53715552775,121738.53715552774,Project 11
123955.9272627379,124442.00924213397,114973.10493149182,110868.98622415552,110868.98622415551,Project 12
120073.16996084177,121853.04315613549,116498.56238352056,104684.48726072573,104684.48726072571,Project 13
115338.80872599324,126061.20333544696,123387.9271094494,135191.99147940008,135191.99147940005,Project 14
120705.2282052895,129187.97661973213,128591.9787637172,145642.26583424117,145642.26583424117,Project 15
151267.4316188847,141690.3124953697,149241.59470111923,167706.44792783883,167706.4479278388,Project 16
130655.83653779971,130835.68867114598,133207.8905812322,130231.15484443973,130231.15484443973,Project 17
106333.51532106259,114480.64630416814,100987.87192331442,114605.9298482472,114605.92984824718,Project 18
123288.9960447989,130708.00892845941,130393.04862213801,147554.0865999065,147554.0865999065,Project 19
144536.28034370436,124654.28926321278,118905.27629379687,137238.19842948936,137238.19842948933,Project 20
127486.44324424729,127090.45656684245,128058.97969002233,102303.83368639532,102303.8336863953,Project 21
112797.10002181272,128444.79510280365,137046.0214623225,114881.74234205935,114881.74234205935,Project 22
171843.98786976078,150799.9790208128,166495.01775624306,150983.7161031591,150983.7161031591,Project 23
112121.65513300634,125300.883229016,129315.59750624033,113378.1014460985,113378.10144609849,Project 24
114836.48831825206,120635.50798357626,121916.65994512216,108643.4386840172,108643.43868401718,Project 25
126893.36969368982,136293.2630717616,134201.29272800806,128094.81717242382,128094.81717242379,Project 26
116078.69593242323,121468.90722304895,126340.96210505327,96247.97865218486,96247.97865218484,Project 27
123182.97525322027,123183.87991232023,135091.44518807653,104929.04429593489,104929.04429593487,Project 28
154192.4427885464,132728.16742170972,134203.42673605497,161022.37534118438,161022.37534118435,Project 29
117169.87975061574,127219.16300968436,124820.60325124142,120739.60601343094,120739.60601343092,Project 30
117169.87975061574,118391.15063714806,114999.75218380822,105529.77576763045,105529.77576763043,Project 31
175493.92933582177,140586.90332155232,148720.54074239498,135059.12346284415,135059.12346284412,Project 32
106131.4379048209,124790.22832435515,120666.23575739327,110469.70792648075,110469.70792648074,Project 33
117169.87975061574,128937.97373604668,127754.50055439521,115519.54722121992,115519.54722121991,Project 34
109974.01760116518,115035.37262170533,104689.66037398893,108576.8613480224,108576.86134802239,Project 35
102766.76196014698,112174.29662191888,98675.29251416145,109523.03593396736,109523.03593396736,Project 36
117169.87975061574,126088.31334021078,120939.53603227467,125214.40541839182,125214.40541839179,Project 37
126164.23543793248,128522.34704677001,123154.81545329936,145806.663737534,145806.663737534,Project 38
110844.11374176732,117708.9147642351,109583.45896682814,108968.5025287249,108968.50252872489,Project 39
138013.04998895107,139588.25380255852,135194.51274604496,152261.2180024434,152261.21800244338,Project 40
144307.3194097479,135648.82735021602,145153.97090736154,170351.13569234262,170351.13569234262,Project 41
119701.02610356084,122679.4687404988,113007.23811201495,150633.88862009015,150633.88862009015,Project 42
165091.51788843394,137822.4110569076,152572.30281399383,153689.8547900249,153689.85479002487,Project 43
85064.80685633415,102253.46908637082,89053.71384018798,70337.54063777073,70337.54063777071,Project 44
124415.7883145139,135128.1059485593,141508.6009890571,123811.05309795747,123811.05309795745,Project 45
138978.1792794081,137393.1215830406,139534.67876019204,122287.75523416176,122287.75523416174,Project 46
130110.52535782928,140427.77409304594,145974.5782338252,140610.45247705773,140610.45247705773,Project 47
204533.6053987114,160328.53979856885,185613.54483715523,188370.24453955606,188370.24453955604,Project 48
114034.00091171243,125714.97573541038,131293.24457830045,117352.23414001631,117352.2341400163,Project 49
136602.85042383798,130388.31362802838,142326.3000347063,154274.97630082036,154274.97630082036,Project 50
142645.09777621023,132576.72452175588,127989.6378642087,158936.5816194004,158936.58161940036,Project 51
124360.46873947713,120112.87420816733,117280.37803624154,114085.64433034167,114085.64433034166,Project 52
117169.87975061574,127434.51083430188,123427.23570492023,127599.87237865233,127599.8723786523,Project 53
155602.16970765684,140398.8617821196,142183.36655533843,171475.16425899797,171475.16425899795,Project 54
131618.8684555151,125738.45806367026,125866.06360270808,131598.76339109568,131598.76339109565,Project 55
111042.43198640035,119702.7703783444,118831.09410187979,119057.4018289326,119057.40182893259,Project 56
148594.05324204956,124659.73041980708,130659.67401759935,111611.89787682144,111611.89787682143,Project 57
101501.0230219285,112644.1386290997,92941.92610087394,97181.29502598899,97181.29502598898,Project 58
114359.92933377574,116004.67343154777,114371.22786579886,88615.40355549517,88615.40355549516,Project 59
136244.430367909,132268.47952868362,132606.37249362082,133723.60852954394,133723.60852954394,Project 60
127795.6251140138,136215.54665793927,152515.86655777623,146340.15994209697,146340.15994209694,Project 61
105509.0867755101,127691.62569640497,136430.18673796154,119363.05028419282,119363.05028419281,Project 62
165454.60889268474,126391.21115396825,126499.24826121694,167539.6738000602,167539.67380006018,Project 63
