round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,3085282.860041475,1444137.7991962451,2670830.9653848317,3085282.860041475,3085282.860041475
2,3148522.219299348,1476043.2109568024,2740404.6286948854,3148522.219299348,3148522.219299348
3,3257305.087541466,1577630.4224586994,2931744.6166826664,3257305.087541466,3257305.087541466
4,3827479.8240463887,1736607.512303388,3179887.6704045758,3827479.824046389,3826051.426444498
5,3445459.6915637716,1604621.2513764075,2901215.872375722,3445459.691563772,3320408.261132989
6,3614349.1640070365,1714926.0989716095,3060997.9115749695,3614349.164007037,3588851.905317247
7,3131291.678522384,1487789.505821168,2648398.6041382826,3131291.6785223833,3131291.678522384
8,3863888.7454840094,1775123.1420129926,3320203.9481160045,3863888.7454840094,3806840.7842953093
9,3759007.819911202,1685452.5941674195,3233296.2223269767,3759007.819911201,3648304.5490659736
10,3437955.183040169,1626131.2930057473,2904960.373906443,3437955.183040169,3437955.183040169
11,2779602.936021262,1355792.6165080867,2404677.638557547,2779602.936021262,2779602.936021262
12,3440264.1463833577,1504966.5936286272,2870200.682306373,3440264.146383358,3322061.472649631
13,3548136.3098601676,1649962.626378709,3099051.3747358248,3548136.3098601676,3548136.3098601676
14,4116804.2083914005,1841782.9316065132,3524937.4418884274,4116804.2083914005,3979887.6017137184
15,3110586.5188929997,1504794.8378991128,2770488.2343465453,3110586.5188929997,2950427.429941428
16,3338633.852339878,1563900.6047563483,2802376.0629979228,3338633.8523398773,3338633.852339878
17,3300982.282191334,1476152.8608713534,2741592.6707527344,3300982.282191334,3281345.269915728
18,3272352.393468203,1555076.4629249973,2751294.816748737,3272352.393468203,3272352.393468203
19,3321196.1640792154,1634186.611658298,2914457.131540885,3321196.164079215,3321196.1640792154
20,3516089.6300897356,1747854.1317789706,3069631.4874508176,3516089.6300897356,3516089.6300897356
21,3237898.937872846,1509843.2224697662,2702966.9389330545,3237898.9378728457,3237898.937872846
22,3846883.732076195,1812777.4793678056,3266896.1175947473,3846883.732076196,3777061.979485276
23,3804011.6460847245,1786357.4271952233,3278886.0527700414,3804011.646084725,3804011.6460847245
24,3226581.668178937,1576160.5848789667,2802156.0269764857,3226581.668178937,3226581.668178937
25,3718685.0862482623,1673306.1128465873,3101434.2234758097,3718685.086248263,3718685.0862482623
26,2846801.9739979664,1289328.6540904057,2425052.613691619,2846801.9739979664,2621414.0905324724
27,3468451.1885332665,1621841.032447254,3014081.8254108615,3468451.1885332656,3468451.1885332665
28,3495137.918954253,1674173.9780212329,3029598.674487666,3495137.9189542537,3482925.0048456755
29,3688098.0592250256,1691095.4235632182,3234087.8116545114,3688098.059225026,3458510.8927576705
30,3396203.8866847106,1565091.0754517345,2873960.664841884,3396203.8866847106,3396203.8866847106
31,3454663.4911387344,1640195.4237851212,2960588.9528950728,3454663.4911387335,3454663.4911387344
32,4169677.4512300603,1897376.1550406213,3496470.230342739,4169677.4512300603,4042630.273467326
33,3631438.229818788,1741465.160829432,3134063.1600614595,3631438.229818788,3631438.229818788
34,3864534.889094045,1803263.9954802399,3333326.924754825,3864534.8890940454,3855938.5364783313
35,2946996.6567583694,1432917.2386642196,2602795.925575104,2946996.6567583703,2946996.6567583694
36,3206416.7646768624,1475225.3153974328,2688894.203549481,3206416.7646768624,3206416.7646768624
37,3591612.415864843,1612802.2662353886,3006224.2082878156,3591612.4158648425,3470093.9472606815
38,3503517.4263156992,1666628.6831681994,2992054.625398497,3503517.4263156992,3424466.358962672
39,3880937.768754679,1815129.1169638427,3377744.7764570275,3880937.7687546797,3688607.793371565
40,3118848.886354642,1486159.2471426502,2746108.4620227353,3118848.8863546425,3118848.886354642
41,3031501.7740233373,1462026.3998543653,2689232.3457301366,3031501.7740233373,3031501.7740233373
42,3270205.9497189056,1546853.9999654896,2720296.719981309,3270205.949718905,3270205.9497189056
43,3301356.1128133573,1596261.2823176268,2840569.2689510765,3301356.112813357,3301356.1128133573
44,2956576.5383765213,1349168.1658502324,2416056.101955179,2956576.5383765213,2956576.5383765213
45,3705306.428773055,1654284.6384630334,3249818.338863395,3705306.428773055,3689110.733417778
46,3478020.234020212,1633329.2735744305,3009924.9431905635,3478020.234020212,3445595.48561812
47,3339049.717354333,1578075.95253777,2904312.4376757476,3339049.717354333,3223400.6653225506
48,3639799.2188527677,1662315.8860008356,3083666.2019565017,3639799.2188527687,3639799.2188527677
49,3513848.4780110605,1661339.3880142404,3057779.8075386374,3513848.4780110605,3497677.748329708
50,3684296.8216005075,1689850.859681496,3154886.555944769,3684296.8216005075,3684296.8216005075
51,3626111.7711739284,1696281.0638343592,3145595.4031745046,3626111.771173928,3626111.7711739284
52,3838628.2229086347,1623194.7155087702,3161212.81994115,3838628.222908635,3538708.0200841175
53,3539631.2335864985,1660623.0937479094,2901463.410795468,3539631.233586498,3539631.2335864985
54,3506693.166352475,1683623.7733464963,3060070.253948727,3506693.1663524755,3506693.166352475
55,3256498.4673771756,1497911.4224088092,2781694.087458249,3256498.4673771756,3256498.4673771756
56,3425343.880475332,1658698.7937285632,2967392.7921015383,3425343.880475332,3425343.880475332
57,3414551.80301888,1600066.3204065103,2944722.7389683314,3414551.80301888,3414551.80301888
58,3084559.7004572772,1404659.567593038,2585398.424266024,3084559.7004572772,3029138.5213205293
59,3949918.772543796,1847786.7674153596,3400604.674684332,3949918.7725437963,3949918.772543796
60,3309313.3399470695,1604740.3720601085,2891548.390399185,3309313.3399470695,3309313.3399470695
61,3279174.381218951,1595893.4208606237,2850259.5709732748,3279174.381218952,3279174.381218951
62,3473547.27205433,1640178.081237044,3005009.062228356,3473547.27205433,3473547.27205433
63,3272453.8838615874,1472561.727308179,2757547.2056478127,3272453.8838615874,3191178.782837875
64,3480249.651698715,1622007.1988275363,2998598.754544947,3480249.651698715,3480249.651698715
65,3231932.2712275004,1445267.1640899274,2715150.643159583,3231932.2712275004,3079623.411095349
66,3359333.2293200437,1604925.1213180092,2898749.9058832615,3359333.2293200437,3359333.2293200437
67,3561580.060174357,1704673.5456278985,3141168.8709363122,3561580.060174358,3456373.845273923
68,3577039.0652555944,1661057.5302329706,3081265.393552976,3577039.0652555944,3471165.9768739105
69,3553071.147689226,1601698.8347463736,2987117.797300395,3553071.147689227,3346938.8880157555
70,2814514.3197458633,1343350.6688270858,2399722.1807439993,2814514.3197458633,2814514.3197458633
71,3423144.049712507,1621917.1625190333,2963655.7495081467,3423144.0497125075,3423144.049712507
72,3339370.5071456875,1584606.2013548028,2852254.9327094373,3339370.5071456875,3329397.9985459084
73,2991590.4163007736,1453153.4633603261,2645468.683930546,2991590.416300773,2991590.4163007736
74,3382218.313759989,1554830.1621894008,2902483.265007838,3382218.3137599886,3382218.313759989
75,3582877.86032843,1710175.5698427984,3195827.6649117544,3582877.86032843,3541980.3503769976
76,3461585.8680705326,1664809.5228463726,3025274.423007568,3461585.8680705326,3341079.4226536527
77,3054818.7261225055,1494864.6828481187,2659926.172195772,3054818.7261225055,3054818.7261225055
78,3468153.0372458356,1579087.0665897196,2945130.4976408556,3468153.0372458356,3468153.0372458356
79,3815336.821275553,1815713.7404721659,3315865.624275542,3815336.8212755523,3815336.821275553
80,3037689.5978191607,1429273.154425837,2649262.5926428232,3037689.5978191607,3037689.5978191607
81,3044530.5687869303,1434753.7824716612,2621995.8422737485,3044530.5687869294,3044530.5687869303
82,3091988.111085492,1441705.2376169604,2694826.7057664804,3091988.111085492,3091988.111085492
83,3151427.613140078,1524736.2781317357,2790292.8946135207,3151427.613140078,3151427.613140078
84,4087760.6355224205,1920660.8946011157,3594848.677156546,4087760.6355224205,4069064.395743574
85,3864281.721342886,1768111.3625348797,3309365.728108641,3864281.721342886,3864281.721342886
86,4014190.6795551996,1773953.3579475048,3341378.247894862,4014190.6795552,3902866.0317450883
87,3325053.3431035057,1626658.808468075,2885564.2403184134,3325053.343103505,3325053.3431035057
88,4202195.452613389,1875784.5302365962,3520912.0354896626,4202195.452613389,4154713.743340258
89,3116429.168382537,1392892.426957794,2660473.680689979,3116429.1683825376,3096404.5068135527
90,3259900.148214688,1509161.7539628386,2778836.564073431,3259900.148214688,3259900.148214688
91,3217112.7977480735,1471222.4628550522,2658282.690095888,3217112.797748073,3186371.2252580305
92,3376835.7880868902,1606188.655998281,2991103.261275727,3376835.7880868902,3272951.9692481235
93,3045836.5190471318,1498977.3354065483,2638818.525971644,3045836.5190471318,3045836.5190471318
94,3473744.776363499,1553203.4417133308,2857037.0321709784,3473744.776363499,3473744.776363499
95,3333492.9536137483,1683603.0370510365,3025544.8239804767,3333492.9536137483,3333492.9536137483
96,3273237.231452321,1521457.920501698,2735292.5543632465,3273237.231452321,3273237.231452321
97,3079593.026918111,1500329.1477500699,2680377.8636434036,3079593.026918111,3079593.026918111
98,3500271.931197459,1662746.3371913375,3049616.4233153076,3500271.931197459,3494504.2715301197
99,3010560.162033496,1433422.1976637759,2630525.1681899144,3010560.162033496,3010560.162033496
100,3508959.8370313984,1528096.2899892011,2830576.1102156914,3508959.837031399,3389137.1823945087
