normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
123120.50516055146,132235.41065942455,134232.31121178102,123120.50516055145,123120.50516055146,Project 1
167084.25766449355,146490.1398763922,155992.66749717583,167084.25766449355,167084.25766449355,Project 2
163297.7903729768,144015.73466590806,152456.57401590812,163297.79037297677,163297.7903729768,Project 3
114720.13891797568,126428.5619141353,119352.60549586962,114720.13891797567,114720.13891797568,Project 4
86038.63550697984,117579.52090050986,107378.32121134814,86038.63550697984,86038.63550697984,Project 5
95412.90638786728,117208.8255223397,108640.12465924138,95412.90638786726,95412.90638786728,Project 6
186921.2301864494,156520.31941882256,176167.9517581978,186921.2301864494,186921.2301864494,Project 7
125714.64428526869,132066.69604859327,130181.42677654754,125714.64428526866,125714.64428526869,Project 8
96778.4884340249,117660.19272319725,107745.78958866332,96778.48843402488,96778.4884340249,Project 9
175617.45657394262,149712.61333439325,163261.74599664583,175617.4565739426,175617.45657394262,Project 10
69484.27689661912,96635.07002685835,84091.18923200821,69484.27689661912,69484.27689661912,Project 11
86060.01871703485,108748.0466843525,92238.87910843102,86060.01871703484,86060.01871703485,Project 12
108151.9539469675,128018.71212879704,126615.39387877598,108151.9539469675,108151.9539469675,Project 13
114974.97611456645,122529.93533468407,111618.29373133297,114974.97611456644,114974.97611456645,Project 14
111521.685765915,125491.3625412029,121221.66141991167,111521.68576591498,111521.685765915,Project 15
216091.49022459338,166934.47210964758,201170.95573087555,216091.49022459335,216091.49022459338,Project 16
173884.48508582023,147102.9987698727,157393.49551738412,173884.4850858202,173884.48508582023,Project 17
106351.75967660034,120769.62261911442,109113.91266576479,106351.75967660033,106351.75967660034,Project 18
374563.8613511977,216389.36267730256,333632.8196920363,374563.86135119764,374563.8613511977,Project 19
222443.04806367424,171866.05638958048,217077.04188954158,222443.0480636742,222443.04806367424,Project 20
145733.5343091445,128685.60884971042,125398.34008986849,145733.5343091445,145733.5343091445,Project 21
69384.35940209842,103150.76976415765,88421.63428787695,69384.3594020984,69384.35940209842,Project 22
50711.62928434278,88438.26794887408,66942.2694797469,50711.62928434277,50711.62928434278,Project 23
68697.80023197658,91064.24864446349,67453.04498752052,68697.80023197657,68697.80023197658,Project 24
83452.16405619383,98877.29300464402,78093.1461770378,83452.16405619381,83452.16405619383,Project 25
112562.54526275276,120469.15434904957,109315.79215710644,112562.54526275274,112562.54526275276,Project 26
130458.70636521706,133731.90177593514,131774.9376775224,130458.70636521703,130458.70636521706,Project 27
124017.39303257743,130042.39963245786,129011.24146409867,124017.39303257741,124017.39303257743,Project 28
38624.20610378284,72059.10658403714,44141.960854502315,38624.20610378283,38624.20610378284,Project 29
76225.20245386638,99927.09227159175,76876.8687926366,76225.20245386637,76225.20245386638,Project 30
72799.9078985773,93455.50697639876,70156.2810769089,72799.90789857728,72799.9078985773,Project 31
129519.27079974912,130915.21087232103,127624.95737676501,129519.2707997491,129519.27079974912,Project 32
99462.54081665415,121820.05969102301,115743.56456857697,99462.54081665413,99462.54081665415,Project 33
109663.34711221611,122320.94384617574,112729.07419670165,109663.34711221611,109663.34711221611,Project 34
55901.202603919184,96268.09848502566,78533.53265099607,55901.20260391918,55901.202603919184,Project 35
167899.53543243956,144549.7469057208,150406.75568530307,167899.53543243953,167899.53543243956,Project 36
56784.93886995239,87733.74670388145,61820.00656291446,56784.93886995239,56784.93886995239,Project 37
89768.00008891216,106366.97413645877,90877.1962973787,89768.00008891214,89768.00008891216,Project 38
74465.6565678941,106732.13397002533,90715.49283666229,74465.65656789408,74465.6565678941,Project 39
167630.11338240074,146742.2304671851,156640.2095140862,167630.11338240074,167630.11338240074,Project 40
111479.86614097854,127361.27625916824,120744.1939666697,111479.86614097853,111479.86614097854,Project 41
76875.6075819028,104025.11937986182,84307.18646386491,76875.60758190279,76875.6075819028,Project 42
169271.33334045587,148070.1143050688,158698.62030405662,169271.33334045584,169271.33334045587,Project 43
133217.64013763636,136340.38584423083,136733.113329533,133217.64013763636,133217.64013763636,Project 44
168746.66508163503,148864.05592727882,160219.48729607798,168746.665081635,168746.66508163503,Project 45
215916.36637435772,168003.89583693777,204661.06290815555,215916.3663743577,215916.36637435772,Project 46
98100.41614969002,113115.59111737159,95736.10492392878,98100.41614969,98100.41614969002,Project 47
311252.196333636,194919.47386674874,271211.34543559316,311252.19633363595,311252.196333636,Project 48
283866.1952198813,193667.41864527066,270674.0753886342,283866.1952198813,283866.1952198813,Project 49
228209.78769029197,168392.82051069502,205000.80957254986,228209.78769029194,228209.78769029197,Project 50
76066.3715527458,107540.52230922588,87829.58119635079,76066.3715527458,76066.3715527458,Project 51
162416.44157668418,145016.1288245214,153057.15670971162,162416.44157668418,162416.44157668418,Project 52
106047.46984734612,116632.89498668829,101503.9804541533,106047.4698473461,106047.46984734612,Project 53
78315.55043524892,102710.72867165996,88269.41047044427,78315.55043524891,78315.55043524892,Project 54
59579.08704689167,92559.01564654948,72523.55374395514,59579.08704689166,59579.08704689167,Project 55
140676.81433549547,136571.98156265126,135563.9138691621,140676.81433549547,140676.81433549547,Project 56
127408.86467139922,125326.4154136573,118984.6129097478,127408.86467139922,127408.86467139922,Project 57
72123.4399092604,101247.46227523842,80418.66115706044,72123.43990926039,72123.4399092604,Project 58
66111.80805830982,101966.66919484713,85024.59042745159,66111.80805830982,66111.80805830982,Project 59
86855.00870505156,109235.72127868822,90681.62186186967,86855.00870505154,86855.00870505156,Project 60
190963.5187539319,161986.1275354684,192388.1881204431,190963.51875393186,190963.5187539319,Project 61
132929.083576392,133151.52557308468,130212.304851931,132929.08357639197,132929.083576392,Project 62
61574.804072591614,95540.50581082095,73296.95682700395,61574.80407259161,61574.804072591614,Project 63
