round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,2954878.7208451484,3432665.986941053,2900257.302827741,2954878.7208451484,2972104.5848710765
2,2916367.41805582,3369573.510793168,2880393.0526584582,2916367.41805582,2895574.890086529
3,2921561.2667731005,3269337.480119763,2880837.842981762,2921561.2667731005,2921561.2667731005
4,2837224.7222213754,3154427.0769087574,2797191.163816403,2837224.7222213754,2837224.7222213754
5,2907436.4521191716,3272428.391567302,2880287.2048971737,2907436.452119172,2907436.4521191716
6,2943924.3591791275,3156304.3157135076,2926889.0274901153,2943924.359179127,2943924.3591791275
7,2949667.72290461,3564717.599671173,2893248.4873509705,2949667.7229046104,2906255.6388090667
8,2934549.3404845456,3239872.644042197,2889311.617757324,2934549.3404845446,2934549.3404845456
9,2941940.2918607527,3339677.3274758435,2899676.4371686005,2941940.291860753,2941940.2918607527
10,2897158.302623105,3250588.87472831,2883726.409563427,2897158.3026231052,2897158.302623105
11,2888201.4135419326,3219442.6230508154,2857960.519347906,2888201.4135419335,2888201.4135419326
12,2878835.016161495,3315602.247190373,2835895.75283993,2878835.0161614954,2878835.016161495
13,2868230.675387158,3099810.290707527,2860780.0520891706,2868230.675387159,2868230.675387158
14,2940380.942968416,3382666.5031129546,2895304.612403843,2940380.942968416,2927058.3663061466
15,2883250.702056237,3292027.482349132,2861806.663510763,2883250.702056237,2869452.900993551
16,3009558.501896379,3346588.379812713,2983675.619875039,3009558.5018963786,3009558.501896379
17,2997367.45090459,3384109.2603728757,2949362.324306487,2997367.4509045896,2997367.45090459
18,2894133.109147636,3500927.5486753746,2836185.3875393653,2894133.109147636,2985154.556097628
19,2911200.3597130617,3261375.805511923,2895030.5758855515,2911200.3597130617,2911200.3597130617
20,2866593.112069239,3299629.7382336394,2839245.62264365,2866593.11206924,2843696.9246134004
21,2874565.742330726,3346912.02401778,2838905.8553900006,2874565.742330726,2853594.3569163815
22,2963542.0761821354,3260118.1917025885,2942340.901784944,2963542.0761821354,2963542.0761821354
23,2964875.367567112,3270963.109625428,2923505.848727136,2964875.3675671117,2964875.367567112
24,2954574.4349679416,3363757.3279171633,2913872.7175057717,2954574.434967942,2954574.4349679416
25,2975235.7537911446,3385234.4447723352,2923038.515997102,2975235.753791143,2975235.7537911446
26,2947377.99011532,3118979.080421829,2923945.1498060767,2947377.9901153203,2947377.99011532
27,2919015.704673097,3455691.7760947943,2877333.5425745687,2919015.7046730965,2911013.8510156134
28,2935150.661604674,3223326.508142471,2905481.9099950166,2935150.6616046736,2935150.661604674
29,2902837.945263969,3351746.3734231396,2860522.78783451,2902837.945263968,2902837.945263969
30,2865607.309389056,3154166.1098464704,2849778.2801088965,2865607.309389056,2865607.309389056
31,2949928.2554701543,3477815.174506381,2898372.255580003,2949928.255470154,2949928.2554701543
32,2854874.4132740395,3208015.8839815785,2839948.726535603,2854874.4132740386,2836725.9953601314
33,2819769.539388153,3151351.311918202,2789224.2739503444,2819769.5393881514,2800142.6390503226
