round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
2,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
3,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
4,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
5,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
6,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
7,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
8,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
9,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
10,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
11,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
12,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
13,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
14,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
15,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
16,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
17,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
18,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
19,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
20,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
21,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
22,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
23,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
24,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
25,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
26,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
27,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
28,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
29,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
30,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
31,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
32,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
33,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
34,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
35,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
36,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
37,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
38,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
39,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
40,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
41,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
42,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
43,9010061.55773021,5018090.994601246,8802643.522022301,9200342.58658885,8678316.882567666
