round,majoritarian_moving_phantoms_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
2,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
3,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
4,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
5,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
6,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
7,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
8,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
9,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
10,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
11,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
12,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
13,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
14,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
15,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
16,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
17,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
18,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
19,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
20,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
21,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
22,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
23,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
24,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
25,5834888.289298183,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
