round,majoritarian_moving_phantoms_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
2,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
3,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
4,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
5,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
6,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
7,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
8,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
9,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
10,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
11,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
12,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
13,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
14,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
15,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
16,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
17,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
18,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
19,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
20,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
21,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
22,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
23,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
24,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
25,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
26,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
27,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
28,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
29,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
30,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
31,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
32,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
33,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
34,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
35,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
36,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
37,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
38,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
39,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
40,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
41,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
42,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
43,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
44,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
45,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
46,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
47,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
48,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
49,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
50,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
51,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
52,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
53,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
54,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
55,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
56,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
57,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
58,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
59,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
60,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
61,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
62,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
63,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
64,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
65,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
66,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
67,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
68,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
69,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
70,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
71,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
72,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
73,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
74,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
75,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
76,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
77,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
78,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
79,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
80,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
81,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
82,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
83,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
84,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
85,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
86,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
87,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
88,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
89,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
90,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
91,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
92,3025031.082054559,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
