round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
2,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
3,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
4,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
5,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
6,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
7,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
8,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
9,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
10,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
11,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
12,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
13,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
14,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
15,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
16,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
17,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
18,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
19,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
20,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
21,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
22,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
23,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
24,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
25,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
26,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
27,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
28,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
29,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
30,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
31,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
32,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
33,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
34,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
35,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
36,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
37,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
38,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
39,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
40,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
41,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
42,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
43,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
44,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
45,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
46,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
47,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
48,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
49,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
50,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
51,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
52,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
53,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
54,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
55,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
56,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
57,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
58,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
59,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
60,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
61,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
62,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
63,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
64,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
65,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
66,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
67,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
68,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
69,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
70,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
71,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
72,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
73,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
74,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
75,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
76,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
77,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
78,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
79,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
80,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
81,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
82,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
83,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
84,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
85,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
86,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
87,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
88,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
89,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
90,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
91,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
92,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
93,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
94,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
95,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
96,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
97,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
98,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
99,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
100,9202316.524065573,5020492.366889201,8804237.522022301,9200446.257319223,8679402.882567666
