round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
2,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
3,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
4,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
5,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
6,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
7,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
8,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
9,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
10,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
11,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
12,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
13,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
14,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
15,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
16,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
17,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
18,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
19,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
20,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
21,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
22,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
23,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
24,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
25,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
26,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
27,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
28,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
29,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
30,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
31,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
32,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
33,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
34,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
35,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
36,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
37,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
38,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
39,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
40,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
41,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
42,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
43,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
44,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
45,5948708.945425663,8510754.176277917,5612541.55922802,5941370.355524377,6231274.238636227
