round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
2,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
3,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
4,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
5,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
6,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
7,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
8,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
9,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
10,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
11,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
12,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
13,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
14,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
15,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
16,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
17,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
18,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
19,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
20,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
21,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
22,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
23,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
24,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
25,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
26,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
27,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
28,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
29,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
30,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
31,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
32,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
33,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
34,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
