round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost,desired_increase_percentage
1,1.0,1,1,1,1,1,1,1,1,1,1,1.0
2,1.0,1,1,1,1,1,1,1,1,1,1,1.0
3,1.0,1,1,1,1,1,1,1,1,1,1,1.0
4,1.0,1,1,1,1,1,1,1,1,1,1,1.0
5,1.0,1,1,1,1,1,1,1,1,1,1,1.0
1,2.0,1,1,2,1,1,1,2,2,2,1,2.0
2,2.0,1,1,2,1,1,1,1,1,1,1,2.0
3,2.0,1,1,2,1,1,1,1,1,1,1,2.0
4,2.0,1,1,2,1,1,1,1,1,1,1,2.0
5,2.0,1,1,2,1,1,1,1,1,1,1,2.0
1,3.0,1,1,2,1,2,1,1,1,1,1,3.0
2,3.0,1,1,2,1,2,1,1,1,1,1,3.0
3,3.0,1,1,2,1,2,1,1,1,1,1,3.0
4,3.0,2,1,2,1,2,1,1,1,1,1,3.0
5,3.0,1,1,3,1,2,1,1,1,1,1,3.0
1,4.0,2,1,3,1,2,1,1,1,1,1,4.0
2,4.0,1,1,3,1,2,1,1,1,1,1,4.0
3,4.0,1,1,3,1,2,1,1,1,1,1,4.0
4,4.0,2,1,3,1,2,1,2,2,2,1,4.0
5,4.0,1,1,3,1,2,1,1,1,1,1,4.0
1,5.0,1,1,3,1,3,1,1,1,1,1,5.0
2,5.0,3,1,3,1,3,1,1,1,1,1,5.0
3,5.0,1,1,3,1,3,1,2,2,2,2,5.0
4,5.0,3,1,3,1,2,1,1,1,1,1,5.0
5,5.0,2,1,6,1,4,1,1,1,1,1,5.0
1,6.0,2,1,5,1,4,1,1,1,1,1,6.0
2,6.0,2,1,4,1,3,1,2,2,2,1,6.0
3,6.0,2,1,4,1,3,1,2,2,2,2,6.0
4,6.0,2,1,4,1,3,1,2,2,2,2,6.0
5,6.0,4,2,3,1,3,1,3,3,3,1,6.0
1,7.0,1,1,5,1,4,1,3,3,3,2,7.0
2,7.0,6,2,6,1,4,1,2,3,2,1,7.0
3,7.0,2,1,4,1,3,1,1,1,1,1,7.0
4,7.0,1,1,4,1,3,1,1,1,1,1,7.0
5,7.0,1,1,5,1,4,1,2,2,2,1,7.0
1,8.0,2,1,4,1,4,1,2,2,2,2,8.0
2,8.0,2,1,5,1,4,1,2,2,2,2,8.0
