round,majoritarian_moving_phantoms_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,21773590.954721898,21871858.377812833,21851836.967260357,21865380.284760155,21865380.284760155
2,21908564.65809562,22004672.68579761,21991315.44958764,21998141.415305037,21998141.415305037
3,21897656.402592044,21992520.464495257,21973962.723293412,21987120.158232547,21987120.158232547
4,21926312.15929862,22015826.159922536,22002220.84806571,22024368.259276338,22024368.259276338
5,21859186.41947302,21956793.423864108,21940812.75100069,21951107.888409033,21951107.888409033
6,21963446.836731125,22064084.445935436,22050417.516039997,22053051.08720385,22053051.08720385
7,21944411.62677547,22031966.705104217,22017839.925113358,22034369.194882177,22034369.194882177
8,21867302.028225664,21954832.49313601,21935006.67803997,21957311.949851934,21957311.949851934
9,21843353.985116873,21929652.782826953,21918226.633415837,21934984.996520225,21934984.99652023
10,21931960.1813862,22020582.157726355,22005832.046366267,22024614.419889364,22024614.419889364
11,21764299.203055404,21866913.13815035,21846649.352731273,21855014.81554347,21855014.81554347
12,21761800.810015287,21862303.441733394,21840926.01294364,21857513.241598826,21857513.241598826
13,21853222.85141102,21955214.29151756,21937564.280741416,21952185.87165264,21952185.87165264
14,21926641.7116415,22025173.85973285,22011724.408569336,22020840.774031688,22020840.774031688
15,21903334.16273585,22003815.760946456,21985427.55873522,21999932.09486711,21999932.09486711
16,21776318.26991992,21873470.77375023,21856217.058676638,21865191.48290373,21865191.48290373
17,21827475.045099992,21916689.272957,21906225.738638207,21926724.81532817,21926724.81532817
18,21909387.27752495,22003379.921578888,21991554.848263413,22005717.768225595,22005717.768225595
19,21874502.385685053,21966929.44243818,21955430.442267638,21967511.65882954,21967511.65882954
20,21871347.165423755,21978935.45148655,21956583.65736953,21969847.886899017,21969847.886899017
21,21848678.792368904,21940671.54535502,21929330.567659937,21938923.607620765,21938923.607620765
22,21866177.744595006,21964947.101943616,21941651.28675066,21956809.812574483,21956809.812574483
23,21848779.479490742,21945660.15121853,21928202.65671613,21952958.877437655,21952958.877437655
24,21887109.68979663,21979057.72180872,21955700.376506638,21974745.2672125,21974745.2672125
25,21860645.27495592,21959703.379965045,21938093.42047436,21960818.950877238,21960818.950877238
26,21832033.789920364,21930986.9849836,21903419.370637275,21920796.732876047,21920796.732876047
27,21921278.857875418,22018932.69398942,21997141.9106557,22007034.059374634,22007034.059374634
28,21815626.41304736,21916867.782856446,21894224.986447893,21912369.5379605,21912369.5379605
29,21980402.14592664,22077858.708899703,22058582.08582672,22073844.684128422,22073844.684128422
30,21767236.28650251,21864265.1275081,21840665.545104943,21861415.90226774,21861415.90226774
