round,normalized_median_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,1944438.1456629136,1076957.2206601733,1951890.831777879,1944438.1456629136,4000000.0
2,4195997.012615353,2146367.253581913,3877524.010002045,4195997.012615353,4021519.12192529
3,3017132.7860531933,1630352.3272634246,2728797.4789327243,3017132.7860531923,4000000.0
4,3220131.8070918545,1720294.1276385495,2904212.153404293,3220131.8070918545,4040724.00503818
5,3371687.648696768,1456887.9398727058,2678399.143184891,3371687.648696769,4000000.0
6,2407555.5430510403,1161297.7102249428,2117848.5287041236,2407555.54305104,4000000.0
7,4862603.805974564,2456233.596447062,4239539.748642644,4862603.805974563,4000000.0
8,3462579.2955786427,1752998.1213156565,3207099.5540484306,3462579.2955786427,4000000.0
9,3039069.0026879464,1515791.6452806103,2808515.120019107,3039069.002687946,4000000.0
10,4235874.523507662,1932860.2220045896,3742947.03588434,4235874.523507662,4000000.0
11,3716003.2684452073,1520301.70997059,3001427.3615490934,3716003.2684452073,4000000.0
12,2452371.3814856666,1259783.2590606608,2455617.0879876153,2452371.381485667,4000000.0
13,4011584.214253379,1631739.8286925508,3165098.1068321867,4011584.214253379,4000000.0
14,1294576.0089037844,595438.6254320178,1127751.7038923355,1294576.0089037856,4000000.0
15,3245793.9200270427,1920459.3298376086,3235617.85888028,3245793.9200270437,4000000.0
16,3311365.0747926086,1547773.3346398412,2880986.000623943,3311365.074792609,4081499.455964696
17,2982707.945722679,1370223.3874765993,2457243.6609620284,2982707.9457226796,4000000.0
18,3581305.7560589234,1651268.062980547,3095315.228458953,3581305.756058923,4000000.0
19,3589310.5926808654,1707346.9369166368,3329614.6370064467,3589310.5926808654,4000000.0
20,3247376.4689426175,1538354.3162371144,3255012.689200352,3247376.4689426175,4000000.0
21,5050007.18224016,2177411.5887416005,4406202.825593643,5050007.18224016,4000000.0
22,3408745.108945824,1581559.4725548462,2830737.118939595,3408745.108945824,4072987.283315188
23,2471946.1475651185,1265217.6940692733,2217476.845019673,2471946.1475651185,4000000.0
24,3267512.943253939,1672034.6949026915,2999820.546944897,3267512.943253939,4000000.0
25,3882886.682728293,1995975.51311753,3486576.464570948,3882886.682728293,4000000.0
26,2264226.3716116124,1011188.6917566439,1914351.0292413342,2264226.3716116124,4000000.0
27,1893257.7110664241,1152899.3942534653,1941567.3501395658,1893257.7110664241,4000000.0
28,2497810.7309108106,1323754.1244129674,2390262.774402635,2497810.7309108106,4000000.0
29,3715990.301996558,1863908.2316169431,3693938.204637038,3715990.301996558,4000000.0
30,2357085.2088149646,1363893.411388202,2568034.9985442087,2357085.2088149646,4000000.0
31,2531810.9109813096,1350370.3783493186,2400576.833569119,2531810.9109813096,4000000.0
32,2846561.5667401785,1378662.3231685967,2332387.3205040973,2846561.566740178,4000000.0
33,3235986.7114659706,1461555.2421234453,2490426.6144053815,3235986.7114659706,4093993.224315423
34,3890387.4918490825,1892457.8459841388,3551464.092049795,3890387.4918490825,4000000.0
35,3478752.5605398873,1770829.89105351,3447066.754225322,3478752.5605398873,4000000.0
36,2226838.927060748,1148380.686690981,2027795.9732112677,2226838.927060748,4000000.0
37,2898939.1811586116,1259471.630080415,2186531.7160653076,2898939.1811586116,4000000.0
38,2957115.8693047473,1361746.8835603239,2406110.4814911513,2957115.8693047473,4000000.0
39,2685190.443746945,1387278.5430179713,2553382.1501676682,2685190.443746945,4000000.0
40,2888651.2052469305,1423520.61029843,2598711.2034625094,2888651.2052469305,4000000.0
41,3194675.1077809636,1457499.6472771296,2650266.835914688,3194675.107780964,4000000.0
42,3672407.321426744,2198027.0465768166,3691184.447315135,3672407.321426744,4018388.3288176795
43,3314034.2241190174,1559283.5409754515,2915544.487255342,3314034.2241190174,4000000.0
44,4367581.982114999,1946302.4069260843,3657641.222817733,4367581.982114999,4000000.0
45,4255338.028300984,2150713.2469751844,4126808.6781517942,4255338.028300984,4000000.0
46,3098915.532327067,1324044.2399496892,2585160.2297477922,3098915.532327067,4000000.0
47,1996647.7362298002,980769.7817097495,1741058.3902548417,1996647.7362298002,4000000.0
48,3206686.5529763945,1620847.1310306443,2795365.9405998876,3206686.5529763945,4000000.0
49,3131986.359010923,1562949.3360496836,2598158.815223615,3131986.359010923,4000000.0
50,2393775.412401962,1137843.86066049,2087300.9975480454,2393775.412401962,4000000.0
51,3361436.035602417,1637304.829332205,2850514.0722187744,3361436.035602417,4000000.0
52,3652282.95905787,1831950.8214923723,3297620.294068768,3652282.9590578703,4000000.0
