normalized_median,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
1547335.4231877788,1165555.6415050123,1535346.836895702,1547335.4231877788,400000.0,Project 1
836190.0324950007,838347.1105657502,811447.6135022499,836190.0324950007,400000.0,Project 2
470750.2467481012,631868.3322652441,482104.73630853137,470750.2467481012,400000.0,Project 3
230159.91600110848,470627.90267248865,262364.50313135394,230159.91600110848,400000.0,Project 4
672200.8151392154,758972.0034953444,722906.2396272917,672200.8151392154,400000.0,Project 5
589063.7955372797,730487.4696904309,614750.3918178643,589063.7955372797,400000.0,Project 6
753956.8595831151,814678.2123168352,773695.6956227648,753956.8595831151,400000.0,Project 7
500956.5792786052,637327.3821262129,503199.8961454582,500956.5792786052,400000.0,Project 8
1833792.621534745,1192290.929925928,1611859.6980400158,1833792.621534745,400000.0,Project 9
565593.7104950501,759845.0154367533,682324.388908768,565593.7104950501,400000.0,Project 10
