round,normalized_median_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,3888291.3105046717,4926112.554027006,3991906.146475654,3888291.3105046717,5623948.970775458
2,3496210.836287424,3160107.857906794,3246526.8238607766,3496210.836287424,4870483.627003415
3,4099239.5309060216,3874604.1349441065,3632977.6015796377,4099239.5309060225,5029513.609079743
4,3611369.390051218,4862342.905429702,3669226.675412082,3611369.390051218,4868571.124081714
5,3493329.088924207,4167169.261220723,3395773.000780739,3493329.088924206,4849808.724222075
6,3158002.771162961,3903427.8411991345,3031779.457418294,3158002.7711629593,5447384.847169132
7,4046182.918430674,4530174.893971253,3933255.9258054113,4046182.918430674,4978406.796293891
8,5136999.463561438,4222130.586407213,4608909.011114491,5136999.463561438,5273456.70735443
9,3501603.6200532187,4466382.175572143,3609412.220707237,3501603.6200532177,4742204.206500121
10,4166860.7417253703,3943998.130404295,3958598.1309730615,4166860.7417253703,5028195.674754275
11,4122695.4765898343,5055473.994755385,3830202.282733879,4122695.4765898343,5524818.503676472
12,3578964.3284234977,4560439.50568005,3718812.8248005346,3578964.3284234963,4915756.53467478
13,3494634.3359242505,4566220.308029938,3496044.67464973,3494634.33592425,5848095.343480452
14,3539579.0598453926,4415574.409497308,3118422.4180575255,3539579.0598453926,5908154.491590369
15,3748831.9008929753,3909971.820978496,3648883.6179933776,3748831.9008929753,4922952.679377481
16,3282510.619192681,3417303.232958467,3410162.0746265203,3282510.6191926813,4902914.259661227
17,3825262.7101903604,3897937.2976353676,3705197.9230988016,3825262.7101903604,5118821.203054545
18,4505158.545260183,4653438.71881592,4246056.02345648,4505158.545260183,5438973.843065716
19,3271291.0085851047,3693332.0749072395,3182796.4923559297,3271291.0085851047,5237921.622274936
20,3380051.791585055,3635480.840246354,3155354.5935182176,3380051.791585055,5202577.392781522
21,4078890.995525337,4289309.5917102555,3551478.5898049637,4078890.995525336,5947260.754930405
22,4395139.8208788745,4313577.48962556,3969188.8821063605,4395139.8208788745,5977037.728663422
23,4233073.740437472,4018704.377403844,3741319.979632763,4233073.740437473,5475383.583276717
24,3029299.465869793,3057144.150081899,2988869.469224273,3029299.465869793,4729410.233354581
25,3354877.7010194072,4183786.2469600057,3493374.429684801,3354877.7010194072,4810053.2953351205
26,5466753.917547973,5204004.835289602,4912509.28894952,5466753.917547975,5009432.207576925
27,3462123.1742664305,3864093.7656709966,3208286.7593820086,3462123.1742664296,5170196.904615031
28,3687955.2496829666,3616941.0353845954,3577520.854259317,3687955.2496829666,5464391.073228744
29,3750021.3052189625,4181509.531536515,3455618.5811616303,3750021.3052189625,5410626.344031118
30,3308560.7394744717,3832491.6048770994,3284655.238862738,3308560.7394744717,4708225.220341658
31,3080254.19275227,3829747.641252021,2987213.518401842,3080254.192752268,4694359.656284818
32,4013126.126302481,4134084.504399717,3285301.973106474,4013126.126302482,5692450.711518264
33,3451523.825086218,3815027.00554529,3163829.5386009635,3451523.825086218,5220967.656065234
34,2990380.6434157505,3099704.532963753,2887073.506125085,2990380.6434157505,4916959.421203899
35,3126765.462163982,3914190.0583093786,3074889.2154641296,3126765.462163982,5401854.365760578
36,4127025.801898572,3842585.647569018,3572721.3199601946,4127025.801898572,5487709.601790937
37,3518657.3924907465,3392837.663645026,3480798.766135072,3518657.392490747,4834141.066484503
38,3504298.555108355,3526930.5228604204,2992504.736191929,3504298.5551083544,5442370.031300591
39,3544346.115354192,3658170.0784811443,3062593.2743938733,3544346.1153541915,5263066.172821494
40,4175909.75261994,3868308.1140042553,3533410.0083859107,4175909.75261994,5393463.905601943
41,4405052.817641508,3899261.1966262977,3836802.7551421733,4405052.817641508,5342270.206699047
42,3093152.6463496755,3417252.192238534,3025711.488643537,3093152.646349676,4968849.096323807
43,3374177.500899283,4952031.9948054915,3548818.055046099,3374177.500899283,5572083.805596311
44,3305216.663933507,4501482.05229037,3212836.2381986897,3305216.663933507,5763351.955242399
45,3773552.2102232156,4258870.146565057,3649457.6715590507,3773552.210223216,5774690.816099326
46,3472737.8621044355,4987129.298846512,3461763.3715631515,3472737.8621044355,6376705.313075234
47,3603559.273352613,4091841.1497036736,3671423.0305178706,3603559.2733526137,5691287.983755211
48,3437399.5661686603,4124562.636725603,3336078.7919664457,3437399.5661686594,5612495.913488307
49,3530351.871078519,4561961.515103988,3530163.91532351,3530351.871078518,5269417.135781028
50,3198793.7821320463,3845068.460997819,3406532.743809513,3198793.782132047,4685591.016196236
51,3310130.2154052462,3451137.954793984,3253357.4089045506,3310130.215405247,5082954.9623569725
52,3313327.5450411923,3928586.354352402,3373010.1790448204,3313327.5450411923,5693505.829044509
53,4178407.4878697945,4067810.145220153,4045479.724126111,4178407.4878697963,4985443.80569339
54,3425526.122086782,3793107.009490286,3213985.977090429,3425526.1220867815,5025491.942436259
55,4797666.124703383,4777189.920711501,4136725.6899450854,4797666.124703383,5141114.733659998
56,3295077.941100414,4064476.312420855,3259957.3545077527,3295077.941100414,5379472.486811445
57,3739576.118699719,3870573.9686269476,3702773.948346496,3739576.118699719,5076528.143063593
58,4457552.080341,4486050.482164055,3949690.821557991,4457552.080341,5714198.993836742
59,3122337.597765618,3468651.236706177,2805767.4512650594,3122337.597765618,5002923.428386017
60,3568100.8649710566,3976140.753049655,3786727.0935780564,3568100.8649710566,4752555.630140624
61,3854834.3195703723,4170868.485106624,3904420.85249203,3854834.3195703723,5200468.724161071
62,4044617.627051393,4038339.8887545057,3717381.1657759026,4044617.627051393,4723861.944041145
63,3406447.022767137,3317675.1018787026,3250501.224346924,3406447.022767137,4700203.183983054
64,3414942.2296627923,3452224.1071167826,3140910.8817604445,3414942.2296627923,4828794.750215283
65,3690641.7848284636,4286421.936531327,3563434.372948815,3690641.7848284636,6240993.420285011
66,4236780.784659201,3806871.4931779234,4031569.3828406087,4236780.784659201,5095072.9089009715
67,3669031.4995047054,4036396.7060311195,3680091.9370244197,3669031.499504705,5161125.513427322
68,3802622.1079284074,3865742.801707138,3748072.056657724,3802622.1079284074,5665285.073433578
69,3455795.559004292,4683789.5782673005,3527940.6753328103,3455795.559004292,5333764.642860813
70,2840995.2838861,3521450.9501007423,2883821.1172071286,2840995.2838860997,5288685.107404953
71,4536424.320781264,4542472.32346185,4238925.369366121,4536424.320781264,5293062.409252294
72,3039227.6596152005,3612910.69678121,3056722.4077056865,3039227.6596152005,5091004.33933135
73,3778136.592180931,5020877.796093868,3685800.9342318852,3778136.5921809305,6588835.139755006
74,2980708.053881891,3794590.712645203,2882167.012363632,2980708.053881891,5061220.50946049
75,3458481.2222342216,3781635.2139456565,3435221.1615206613,3458481.2222342216,5706362.856432704
76,3649303.6719714487,4384693.288505547,3640709.1605571015,3649303.6719714487,5414169.557797625
77,4547013.089003488,4429156.382532569,4286380.93227525,4547013.089003488,6218991.376489423
78,3194672.172558089,3773897.4845538847,3089596.4568267423,3194672.1725580893,5556405.62655862
79,3586399.4790346012,3795112.376271804,3684474.873259579,3586399.4790346012,5437643.8183512995
80,3583864.645352204,3895398.160097526,3467934.228325097,3583864.6453522034,4906500.99053859
81,2958697.518198067,3477554.2372990656,2988225.740399267,2958697.518198067,5248485.864892703
82,3594220.4574274793,4420681.572777731,3597839.3410349134,3594220.4574274793,5325247.352270111
83,3065527.173172188,3662151.4996026615,2913934.781708749,3065527.173172188,5307510.4964697845
84,4063470.488691113,4679002.431725397,3885662.373133061,4063470.4886911125,5751713.85400335
85,3373005.6204736205,3860748.1841975325,3166321.570690881,3373005.620473622,5249936.254712728
86,3644833.1946822293,3918672.6859388715,3514645.812970631,3644833.19468223,5130063.868689268
87,2972220.5331191337,3908719.2829006645,3018424.2641561436,2972220.5331191337,5355622.740478877
88,4153783.8894388,4485773.982942357,4240267.145906683,4153783.8894387996,5281399.633470742
89,3737981.5714461897,4300090.0428987155,3887713.0331615517,3737981.5714461887,4735266.450094007
90,3343827.921782966,3835461.6020351904,3410850.6654460896,3343827.921782966,4981690.741438378
91,3471214.144747515,3585001.8697727174,3458401.098249198,3471214.144747515,4700869.684846275
92,3734052.94134849,3545097.74728586,3543191.9851332605,3734052.94134849,5029601.44125806
93,4096516.0297026625,3840302.130192488,4193380.1364566395,4096516.0297026625,5208904.2730163
94,3394006.699662388,3703613.824195633,3301245.197037517,3394006.699662388,5099674.9933954915
95,4221794.230729734,4112269.5872704303,4104004.7966123186,4221794.2307297345,5148690.499972494
96,3493960.576169885,5145560.29735289,3899512.241108167,3493960.5761698866,6315238.889684634
97,2883871.9354077466,4295868.430329296,2948355.9975905325,2883871.9354077475,5424564.301474701
98,3322652.491892345,3258629.919365135,3262126.1109676957,3322652.491892345,4649776.986138025
99,3483165.1180058634,4072344.268597301,3418105.1728805183,3483165.118005864,5371456.701283675
100,3202585.9132851255,3780614.126703198,3205536.8857395262,3202585.913285125,5410315.355106822
