round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,2532782.3662540973,2880724.4638552237,2489809.6223592595,2532782.3662540973,4839138.888057141
2,3146924.379704324,3319030.7136608567,3082616.189304282,3146924.379704324,4960037.699331579
3,3186201.9441697896,3231770.1555042113,3212055.8624013443,3186201.94416979,4932828.739145596
4,2584034.2015743935,2866640.4683250366,2586186.9482460623,2584034.2015743935,4584532.034304545
5,2810643.540383035,3466045.507047415,2761026.262982806,2810643.540383035,5097367.742649918
6,2509999.4393183677,3157116.843867397,2495052.0399907683,2509999.4393183677,4807674.019383347
7,2602125.067162521,3218998.5392449736,2602894.191735974,2602125.0671625216,4781411.62769885
8,2493452.9267216707,2822176.260810046,2507988.510571381,2493452.92672167,4479829.138170004
9,2329505.4964051987,2571253.0315435873,2442430.558144408,2329505.4964051987,4524792.245386595
10,2658172.634742578,3428013.6943722605,2662052.672492499,2658172.634742578,5155758.83979663
11,2658045.4581621205,2927482.1192044104,2683368.5102579193,2658045.4581621205,4765932.748627721
12,2245673.093750129,2537562.6691606264,2259412.4588194727,2245673.0937501295,4380786.790472586
13,2074576.0696372837,2508879.8166182037,2130476.7517000777,2074576.0696372832,4783970.795207691
14,2531761.634960334,2785700.839864149,2584149.1683613933,2531761.634960334,4414001.32138197
15,2549895.804709567,2805233.806012029,2555451.7416523113,2549895.8047095663,4386492.3126870245
16,2320617.256342411,2967680.6604247084,2301608.6036674017,2320617.256342411,4450642.404786451
17,2644743.527140564,2828469.388811449,2620650.783505181,2644743.527140564,4449052.0949286325
18,2620249.122661359,2764228.1515372144,2649852.255432171,2620249.122661359,4330875.810083472
19,2442838.1522554625,2714601.727382709,2513546.455882561,2442838.152255463,4474661.81609139
20,2674901.1734341877,2912776.577458737,2739216.229516925,2674901.1734341877,4599547.460032959
21,2706270.784806702,3034718.0451069996,2727145.962595248,2706270.784806702,4768762.484094802
22,2783067.06083958,3732635.6270420277,2709313.8676584032,2783067.06083958,5558043.615596952
23,2778235.394517567,3311132.856617313,2807242.2676415294,2778235.3945175665,4980560.152005585
24,3143489.387999612,3297819.449124106,3156692.664377474,3143489.387999613,4691429.414424696
25,2472357.1238280823,2911530.4452907117,2558086.6195132667,2472357.1238280823,4530289.42779094
26,2562263.8194627315,2768889.752260101,2602629.264789316,2562263.8194627315,4510028.418598889
27,2353721.1671056384,2444495.1313127885,2361294.3663655138,2353721.1671056384,4432119.947966812
28,2668119.625083043,2773992.486153732,2679799.4427547464,2668119.6250830432,4681714.251313249
29,2481427.622425285,2790267.5300018894,2468044.8510079305,2481427.622425286,4526345.405941853
30,3073359.520557232,3866544.6565445974,2961229.86339249,3073359.520557232,5376698.032251273
31,2721758.765754746,2897019.682163485,2700851.6597199203,2721758.765754746,4624446.508428225
32,2591599.6919838917,2909494.5583277065,2585906.977104283,2591599.6919838917,4893727.730126357
33,2540400.9681894584,2865189.1033801795,2568579.317491933,2540400.9681894584,4442890.945438223
34,2817282.193773837,2988055.8685244014,2805231.8147205277,2817282.193773837,4891654.483009251
35,2899443.5710907346,3021633.704805902,2899936.070980877,2899443.571090733,4523078.303040746
36,2619361.114254522,3279087.0857076882,2645045.5034340364,2619361.1142545217,5008936.529583402
37,2526090.260365336,2703603.883198685,2536275.039658226,2526090.2603653367,4635090.209487793
38,2405110.18650364,2744684.896379586,2418517.2021951643,2405110.18650364,4725184.8261321755
39,2534715.4960565693,3234528.736261322,2569744.7384527894,2534715.4960565693,5074459.907592126
40,2402635.235748357,2902321.286210335,2438120.5887978943,2402635.235748356,4964560.642050257
41,2463466.517724283,3277143.8487751954,2492208.6572297383,2463466.517724283,5329176.50912212
42,2266999.509924178,2490109.541174218,2282359.5436709085,2266999.5099241775,4431698.31942907
