round,majoritarian_moving_phantoms_l1_distance,r1_quadratic_l1_distance,r2_mean_l1_distance,r3_median_l1_distance,r4_capped_median_l1_distance
1,11272014.307387829,6178513.272275155,11319707.812438,13273309.22801511,13273309.22801511
2,10542528.453150565,5844607.867165706,10673400.92150956,12563989.10410336,12563989.10410336
3,10583632.414284792,5771434.578361047,10583296.326799957,12442007.917422915,12442007.917422915
4,11132948.22588585,6117679.993081351,11111907.874140013,13082830.364126898,13082830.364126898
5,11030662.101472378,6078514.826381717,11151152.801457595,13196062.091947664,13196062.091947664
6,11250446.901782347,6065710.582160997,11236928.775504801,13244503.44881317,13244503.44881317
7,10741165.789386075,5926143.6377726365,10834662.070840681,12806625.157055696,12806625.157055696
8,11384445.393298049,6163311.914431674,11351267.35013486,13364182.435784183,13364182.435784183
9,11285420.644583391,6151087.703514311,11247172.051590893,13211606.173822854,13211606.17382285
10,11174027.764013939,6144126.055725173,11216422.137718333,13147189.935431339,13147189.935431339
11,10609892.380843999,5922347.945239079,10646090.490713324,12466360.580030184,12466360.580030184
12,10919415.12823667,5979153.3109687725,10925200.059672419,12823699.340988114,12823699.340988116
13,10803241.838673882,5950761.943076488,10823826.703192504,12716259.636951791,12716259.636951791
14,10892434.60030139,6027250.62275877,10859114.958493918,12843934.266063496,12843934.266063496
15,10373734.628278494,5677125.59899547,10390753.744713284,12250610.147267591,12250610.147267591
16,11061162.49686105,6059968.894801525,11072845.874739356,13122721.539504487,13122721.539504487
17,11073593.717019767,6034868.895668178,11059058.04249654,12936559.335311398,12936559.335311398
18,11144146.81971846,6026895.77147454,11074624.187351994,13119054.56926311,13119054.56926311
19,11154144.948217032,6031945.274599648,11202662.48662351,13189672.999675754,13189672.999675754
20,10876201.270476684,6056134.16228581,10947828.461915761,12946970.749928102,12946970.749928102
21,11766035.182805976,6346948.35680202,11781895.721509662,13891865.33438455,13891865.33438455
22,10908991.267673707,5990529.818255436,10933570.445869513,12848320.062428469,12848320.062428469
23,11069689.920231562,6036668.585858843,11123386.115673516,13092629.665794807,13092629.665794807
24,10962073.018551849,5982206.046171197,10957014.222850429,12952709.311904203,12952709.311904203
25,11597165.831253916,6248442.964082511,11511099.104117706,13651410.396624144,13651410.396624144
26,11239750.904072573,6140998.65248827,11306007.740965787,13360175.984523155,13360175.984523155
27,10907285.389898628,6007056.812002201,10938480.973999906,12952398.229144057,12952398.22914406
28,10456907.543757465,5803703.502965929,10552435.183226125,12441723.94985847,12441723.94985847
29,11073999.435790129,6028676.420865366,11067091.699269252,13053649.704345813,13053649.704345813
30,10966431.343648985,6017192.586866336,10974977.055635508,12849657.772089278,12849657.77208928
31,10824333.133873552,5883591.242727036,10911887.06177029,12886105.512951963,12886105.512951963
32,10758933.469920864,5922420.152890917,10826575.273329407,12806773.65273814,12806773.65273814
33,10704603.263199944,5940021.701350037,10796903.412304508,12647005.67884944,12647005.67884944
34,11323984.554903597,6189108.913790274,11441664.497554947,13479650.878226683,13479650.878226683
35,11101620.085777588,6129143.814697721,11193203.31458891,13163533.720909897,13163533.720909897
36,10905196.7210818,5978915.044693212,10866377.990840051,12938233.858824186,12938233.858824186
37,11295590.29275573,6273108.230029405,11384319.319768077,13403791.979846152,13403791.979846152
38,10946906.137052983,6064562.06888107,10982255.25680065,12980235.355168488,12980235.355168488
39,10689199.074604098,5851340.2120444365,10685827.792039692,12611564.010296345,12611564.010296345
40,10519975.784524336,5788774.730365711,10540095.500427581,12450472.459631782,12450472.459631782
41,11180355.905161202,6105906.354036704,11177343.602049492,13132875.129938198,13132875.129938198
42,10640103.76967704,5813465.713872432,10689864.300662655,12605784.0733633,12605784.0733633
43,11326538.097387783,6217131.308530541,11402484.532379353,13458290.833334245,13458290.833334245
44,11249737.06304621,6229911.949929273,11362953.267322097,13401948.727045711,13401948.727045711
45,11056607.352884652,6147021.0736933835,11127022.596169207,13110473.454654057,13110473.454654057
46,10858092.27446133,5927721.268687907,10931013.791837135,12906710.595848918,12906710.595848918
47,11405171.815763535,6183557.078536009,11483581.385648482,13495527.608650858,13495527.608650858
48,11450490.861399231,6184604.001634177,11452903.061019538,13480154.809653677,13480154.809653677
49,11051619.676255126,6153109.706857685,11084454.687634347,13134360.445332376,13134360.445332376
50,11488729.918548156,6243150.843200238,11555528.644608399,13648323.932574477,13648323.932574477
51,10535704.13640984,5760982.248186292,10531111.044260388,12462162.565640246,12462162.565640246
52,11021733.129006173,6035420.085558478,11002742.544378895,12992592.221379392,12992592.221379392
53,10879869.39256458,5917826.8522046,10884177.447761526,12887549.15420583,12887549.154205833
54,10960217.310984185,5989083.659032015,11017385.522367839,12982626.9262893,12982626.9262893
55,10943481.622236658,5992001.124951648,10877715.38465702,12844164.065135328,12844164.065135328
56,11287966.984507244,6065411.004291266,11308815.365245424,13239238.148157917,13239238.148157917
57,11298369.900885116,6097481.003135936,11260094.406773133,13307541.326675575,13307541.326675575
58,11222917.570536163,6122421.863233199,11230850.193111293,13169469.00636304,13169469.00636304
59,11213432.163171407,5976784.776358542,11112833.345867913,13182089.589996994,13182089.589996994
60,10716371.500287797,5932062.666161454,10818217.251665708,12771112.32908832,12771112.32908832
61,11258620.232562143,6132829.418553147,11310804.523015846,13343610.062141187,13343610.062141187
