r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
287158.18530004274,326234.1400627237,368000.3805171223,368782.01269871934,Project 1
57329.47407333979,18766.80549612607,5487.04644048857,5498.700917784969,Project 2
106243.57608879436,67020.02619404753,29931.797370794055,29995.372457442543,Project 3
465475.66261523514,852407.1187431023,917981.4718477689,919931.2629308589,Project 4
5621.511430669764,519.7349120166613,0.7740808345772863,0.0,Project 5
13569.064463292925,3062.468950479671,3.922874875341439,0.0,Project 6
105464.96274307765,48933.43420986792,49114.14470118442,49149.48771821514,Project 7
49990.35538531996,12258.001952083432,8510.090865696244,8528.166284204222,Project 8
163779.5225171095,111325.2472236261,119627.64850315593,119881.7374248778,Project 9
133151.49371607087,70867.18887838368,70849.0349530282,70999.51818262856,Project 10
161327.36440454793,109857.14242404653,111709.96018475508,111947.23194997071,Project 11
45408.327543518346,12197.204691917443,3519.1101100554865,3526.5846939369962,Project 12
63070.10858069103,17094.121292045267,16173.977144018887,16208.33064393216,Project 13
391635.5859361972,752455.4779890396,590304.940491269,579194.6148884139,Project 14
218928.01487735752,192583.2119853297,194652.65947386736,195066.10139114046,Project 15
384223.8856494119,608674.9246930183,539523.1593223115,540669.1055940263,Project 16
145064.30873326096,87546.78545941217,84181.63440576316,84360.43605389874,Project 17
17553.913788869384,2903.1576579173898,331.6690079351942,0.0,Project 18
44769.0478742325,12104.024468090023,3883.2395353847123,3891.487529545591,Project 19
56212.581736048756,15390.828385561803,15078.922320895132,15110.949926228723,Project 20
28975.96842732208,5390.905350358667,1202.349897397995,0.0,Project 21
50554.07327270806,13855.381700048723,6073.489936380152,6086.390018663245,Project 22
76016.96726780137,27245.84507089894,21355.161956064272,21400.520283695947,Project 23
156244.22102951977,101157.91727364766,96254.42232113249,96458.86655024308,Project 24
157763.2460202164,101164.2610079907,101923.59865748131,102140.08420747698,Project 25
116215.03233479602,60030.74349520804,52145.70590600632,52256.463296558344,Project 26
93807.84805239219,41567.52133819701,35481.325320962176,35556.687595527226,Project 27
175999.51585838493,125169.40861410204,130744.36738055132,131022.06819423955,Project 28
38373.68370065429,8310.00069926613,2414.2598551624005,0.0,Project 29
46850.583749508005,10435.138686855933,8343.783149444114,8361.50533064596,Project 30
