round,majoritarian_moving_phantoms_egalitarian_score,r1_quadratic_egalitarian_score,r2_mean_egalitarian_score,r3_median_egalitarian_score,r4_capped_median_egalitarian_score
1,11755014.949099772,13584426.525670452,11758100.062253986,12003412.78130569,12003412.78130569
2,11744949.950507674,13820551.960446727,11733373.27144508,11824708.259682722,11824708.259682722
3,11667450.958677946,13254865.783259913,11706433.91233419,11874129.710575461,11874129.710575461
4,11785778.25030969,13676830.916119602,11749626.601272445,11928832.885252723,11928832.885252723
5,11761281.109563464,13211289.468421578,11777874.85378012,11939666.450459346,11939666.450459346
6,11694264.820414282,13517286.92444507,11702983.00411186,11818592.946421253,11818592.946421253
7,11786063.72741589,13446725.439480916,11763549.712383103,11860379.37457994,11860379.37457994
8,11851621.290315956,13388090.008442756,11787632.276454836,12062545.955611967,12062545.955611968
9,11727055.047104446,13345423.105410915,11777166.068777025,11920641.139855623,11920641.139855623
10,11736820.097152183,13618245.93995421,11720615.090467986,11912562.742422707,11912562.742422706
11,11970206.536992777,13394149.110118218,11908842.872822994,11924728.96193563,11924728.96193563
12,11863281.665517284,13448194.646377344,11890625.20748176,12019523.806316396,12019523.806316396
13,11669231.026762422,13367845.858508706,11751685.650211789,11844700.84998812,11844700.84998812
14,11948527.360200949,13558682.309479645,11917323.756674176,11958826.746063858,11958826.746063858
15,11807256.03263016,13626610.679568216,11862263.267001875,12147751.848504685,12147751.848504685
16,11574071.604834106,13173995.148442362,11568603.249220397,11774807.14739624,11774807.14739624
17,11842182.500499543,13753706.3377925,11912289.089769289,12011112.043741442,12011112.043741442
18,11687724.545215037,13353979.11370869,11639474.77514645,11706700.727375474,11706700.727375474
19,11528632.814017942,13379125.96707289,11611087.258224992,11802450.109243615,11802450.109243615
20,11864346.82217706,13508442.989705667,11877969.862692896,12104640.672908798,12104640.672908796
21,11834257.391145945,13656340.64274624,11882593.566832587,11991533.885468584,11991533.885468584
22,11690171.194855757,13206336.262217939,11717089.182098549,11875334.165020837,11875334.165020838
23,11649616.493711215,13656303.725790847,11667006.820897538,12005973.061818898,12005973.061818896
24,11697889.54996573,13426193.001612473,11667927.009631332,11745063.719751734,11745063.719751734
25,11767111.323624374,13284836.756556608,11814839.063215382,11948612.485612968,11948612.48561297
26,11716432.890693,13318609.878616475,11710250.040448755,11905559.371017767,11905559.371017767
27,11831052.48548843,13312467.303521316,11813927.782694872,11860619.55271635,11860619.55271635
28,11842990.6987282,13298342.037057012,11860538.743220977,12065644.702923968,12065644.702923968
29,11689318.45604085,13474787.667237291,11684923.022335622,11901677.172297953,11901677.172297953
30,12087701.140709989,13765639.24177791,12094653.840899283,12293960.385364179,12293960.385364179
31,11867889.737689111,13496102.755103845,11896617.751739616,11950672.749933857,11950672.749933857
32,11611976.860017378,13558752.048291646,11635719.861786537,12003552.54588538,12003552.54588538
33,11771070.450177755,13658077.992869701,11769223.785301702,12041825.604372278,12041825.604372278
34,11953562.976351585,13489727.509438764,11972753.539102057,12044514.186372314,12044514.186372314
35,11761710.441431113,13405855.553659413,11796313.751529487,11998600.461897643,11998600.461897643
36,11667105.210770905,13508539.088374443,11721551.053249814,11868749.22072567,11868749.22072567
37,11861529.624454664,13137439.903875161,11879935.898504307,12105214.610416919,12105214.610416919
38,11720259.577756565,13509260.122570984,11822305.888952237,11879699.42790384,11879699.427903838
39,11917506.42617977,13380987.46457377,11891909.417375023,12042162.095962964,12042162.095962964
40,11558078.55896175,13225816.549691007,11605971.2106525,11894161.453593455,11894161.453593455
41,12282057.631072842,13585599.31907732,12242536.180866903,12513332.584998611,12513332.584998611
42,11781099.515674844,13329564.620116163,11782730.296529941,11959238.63460094,11959238.63460094
43,11641326.809525818,13642609.819671191,11669756.16749643,11823123.842748886,11823123.842748886
44,11754927.869886994,13727926.487475913,11757759.88068638,11909926.19986436,11909926.199864361
45,11734636.921441961,13559038.347778155,11763638.822981067,12067472.348214136,12067472.348214135
46,11666454.717542948,13438263.891556976,11650373.227430625,11782229.17334013,11782229.17334013
47,11741662.055875491,13407777.13896858,11793194.746283362,11857471.497102614,11857471.497102614
48,11767180.913188178,13630309.268631563,11745287.49662942,12075142.061475467,12075142.061475467
49,11849457.770527367,13821567.881343817,11911207.23227444,11963974.838097056,11963974.838097058
50,11927347.939419378,13564936.14827982,11947726.410763625,12291190.61956037,12291190.619560368
51,11791764.700308625,13546709.211347595,11795062.091762424,11943402.088695105,11943402.088695105
52,11846272.926577944,13428445.099589065,11873457.998933647,12130577.323441789,12130577.323441789
53,11623630.827261053,13556399.952967841,11616097.933817748,11779653.740825158,11779653.740825158
54,11843738.863093186,13401099.665542135,11910198.774469785,12104018.178846212,12104018.178846212
55,11709318.246749777,13460309.129402418,11731809.129525622,12029057.972818602,12029057.972818602
56,11777165.7456408,13578047.836630803,11726777.814026896,12021067.588007905,12021067.588007905
57,11795166.492756762,13490257.208276944,11811880.053684395,12004614.926198183,12004614.926198183
58,11845865.431639839,13533258.973802224,11799516.308433108,11824697.003386918,11824697.003386918
59,11762084.246033162,13245579.246188251,11770159.079323307,11874142.078165013,11874142.078165013
60,11812076.562779997,13558185.134723658,11796067.828892335,11964466.041316262,11964466.041316262
61,11615630.431730868,13355711.024603922,11613787.490498437,11845686.357704274,11845686.357704274
62,11778690.849226233,13452229.716541145,11817402.393067462,11974319.933262624,11974319.933262624
63,11744360.157011077,13496064.168956526,11736927.94441337,11977076.492125243,11977076.492125243
64,11958191.457061209,13512934.284170207,11952116.211396636,12090764.346506195,12090764.346506195
65,12092341.653116716,13646213.732771257,12124335.706655324,12205945.36031919,12205945.36031919
66,11729015.31108686,13631592.697984397,11759722.113226809,11775273.407877149,11775273.40787715
67,11581950.696442751,13636802.958225776,11604154.611172747,11832057.297859216,11832057.297859216
68,12101842.497891909,13838005.658817561,12133433.941886995,12147212.885146301,12147212.885146301
69,11817703.913155187,13880717.8658905,11851278.519314138,11910823.914653303,11910823.914653303
70,11809153.408585563,13267909.349195328,11835051.139610052,12038975.415238151,12038975.415238151
71,11764216.633702394,13669378.891136581,11781177.317625282,11881029.78050479,11881029.78050479
72,11644388.699178563,13414846.451672675,11657861.919310063,11880538.249880115,11880538.249880115
73,11753512.70538769,13578620.0831272,11742384.864239162,11946672.190953571,11946672.190953571
74,11598834.809948582,13412550.165361002,11607898.320791528,11823909.54618231,11823909.54618231
75,11968403.317538626,13429643.444742462,11950765.558068607,12123742.700663805,12123742.700663805
76,11930417.833204323,13732809.647122487,11960567.902121598,12162029.320327498,12162029.320327498
77,11930832.42212549,13488113.147261955,11945065.008457277,12002893.702573005,12002893.702573003
78,11542990.35066292,12891797.574932396,11525563.910017028,11642705.07025208,11642705.07025208
79,11659759.482216153,13464216.023005506,11667994.54514581,11890046.057821568,11890046.057821568
80,11647432.004284218,13495244.384059526,11701989.69874836,11903447.414814705,11903447.414814707
81,11867006.94024488,13649838.534143383,11878756.124698129,11864718.008041842,11864718.008041842
82,11702550.371716967,13675983.160458356,11729558.755036216,11879111.49672107,11879111.496721072
83,11669633.260377709,13224612.154411003,11723020.308522154,11805952.155553378,11805952.155553378
84,11813195.69949755,13317192.491706235,11769173.162657794,12005514.14907113,12005514.14907113
85,11653194.969416853,13193601.603977017,11657052.911362188,12038080.448660936,12038080.448660936
86,11566445.160297172,13539488.97438313,11594919.137674652,11754246.882633764,11754246.882633764
87,11865781.042142961,13482443.897976862,11928737.406191397,12074765.433965186,12074765.433965186
88,11622077.650432203,13414110.723659087,11575309.48626392,11796524.071100444,11796524.071100444
89,11815882.572076226,13076199.675854962,11878960.430709388,12019570.792970363,12019570.792970365
