round,majoritarian_moving_phantoms_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
1,10960201.105769489,12792772.149063857,10986654.5580898,11172406.678630158,11172406.67863016
2,11009956.315778721,12510329.145889815,11035486.387413999,11177990.89964284,11177990.89964284
3,10944785.412361672,12529977.821348999,10970577.056003742,11124423.356119093,11124423.356119093
4,10947965.719229877,12752257.393594988,10972793.786249535,11151579.095193665,11151579.095193665
5,10933358.152646355,12460993.652246574,10961374.816737842,11105942.932150075,11105942.932150075
6,10968491.75424665,12694752.523449494,10994347.36600462,11160460.929534502,11160460.929534502
7,10966193.557742551,12497605.330726082,10992088.526472623,11154386.629057221,11154386.629057221
8,10971502.93818768,12868475.817371778,10998476.514972297,11176854.170660159,11176854.170660159
9,10975232.806725025,12602214.877242401,11000900.243141355,11164542.712377463,11164542.71237746
10,11004929.383138832,12626305.13902101,11029972.199444491,11182916.159462243,11182916.159462243
11,10948840.172936052,12481139.83083525,10974693.63621749,11129302.06296738,11129302.06296738
12,10953755.103343777,12677078.203543447,10982938.659633283,11136086.248249386,11136086.248249386
13,10944421.827178821,12522937.963146344,10971686.931297027,11135588.121687511,11135588.121687511
14,10925185.047412533,12520569.86946166,10949899.460652852,11100583.712626288,11100583.712626288
15,10917818.391293015,12564564.667843767,10942739.033629874,11094299.450075507,11094299.450075507
16,10975139.141228754,12560726.190482728,11002146.646013025,11157600.0270528,11157600.0270528
17,10975602.295828609,12414487.850568399,11002414.517787429,11148513.456919478,11148513.456919478
18,10961644.878100548,12596239.614389822,10988034.614780052,11140862.684574852,11140862.68457485
19,10933979.62416855,12566591.555649143,10962196.753269374,11121716.064185305,11121716.064185305
20,10962943.93535156,12618717.477842186,10990306.42298535,11146523.036288999,11146523.036288999
21,10964086.709614808,12537660.490135731,10990265.644859834,11143252.047193652,11143252.047193654
22,10955837.398497568,12523051.47132776,10982862.513147207,11142137.538435914,11142137.538435914
23,10988599.80631829,12794017.251883889,11014295.682810368,11180527.684706025,11180527.684706025
24,11002246.413611941,12638141.560972909,11027552.512919527,11193971.360527001,11193971.360527001
25,10953900.625968194,12441385.443187432,10980259.865361523,11124436.382008467,11124436.382008467
26,10960000.042341042,12600522.766946161,10985272.833056541,11148541.491349438,11148541.491349434
27,10966814.620114956,12737040.313762255,10994376.04214113,11153468.380310638,11153468.380310638
28,10978949.16005755,12452051.882644428,11006538.59038824,11156426.637333678,11156426.637333678
29,10917769.621151345,12378521.729830762,10945510.675765114,11083986.44629222,11083986.44629222
30,10959023.081208121,12585631.718713824,10985430.099167367,11150946.549707705,11150946.549707705
31,10917657.994414095,12660901.132384835,10945103.4215602,11106590.678085154,11106590.678085154
32,10940526.103965195,12532831.425460618,10964752.42965389,11121536.958937507,11121536.958937507
33,10965483.28801943,12570280.643193787,10991460.784176588,11157354.952090923,11157354.95209092
34,10903232.832789373,12391720.314509997,10929966.602714773,11076742.106178485,11076742.106178485
35,10954066.304793864,12535336.051950635,10984957.006971901,11129403.972903758,11129403.972903758
36,11012096.079901394,12767981.697799275,11037006.43667731,11219214.835269608,11219214.835269608
37,10990368.146625927,12595148.267538661,11019732.83037571,11177110.520428602,11177110.520428602
38,10982079.835629,12417586.632846206,11009054.048111297,11158699.140512444,11158699.140512444
39,10934370.406428164,12566021.17351772,10964068.001763735,11132485.125282643,11132485.125282643
40,10971358.193594826,12620792.150719335,10997039.619001275,11155247.088247187,11155247.088247187
41,10930223.238647573,12618068.465066614,10958126.209619278,11110482.660059059,11110482.660059059
42,10974252.029835992,12444386.331974026,11001182.902307173,11134690.650809111,11134690.650809111
43,10952804.992990706,12578832.582875011,10979491.284939297,11128453.130868057,11128453.130868057
44,10958554.971589766,12664455.832656816,10985335.882897673,11143940.810208812,11143940.810208812
45,10977198.984107766,12648451.478279658,11003081.609114816,11160648.993401766,11160648.993401766
46,10943050.566077448,12700319.799796678,10968740.344348121,11135480.272519313,11135480.272519313
47,10941813.785371717,12588783.061574657,10971061.752086958,11122236.868556278,11122236.868556278
48,10993536.947202496,12520568.03965187,11017365.436900942,11174987.539397458,11174987.539397456
49,10965033.962814108,12887810.57928934,10992699.843317844,11171202.218739182,11171202.218739182
50,10929885.422731759,12629059.783301692,10955850.164079083,11111481.33259841,11111481.33259841
51,10908229.58969544,12481284.491045956,10934626.40069486,11082964.728791801,11082964.728791801
52,10986693.862185575,12674685.87715408,11010641.790028406,11183547.487194633,11183547.487194633
53,10983239.886496404,12652885.46783142,11011634.343315514,11174958.243095797,11174958.243095797
54,10991629.46774201,12640066.858552277,11016394.76234351,11177543.805501333,11177543.805501333
55,10963587.439916689,12482380.565096874,10988979.12888815,11128949.905438356,11128949.905438356
56,10934005.886366049,12610857.186371144,10962252.268940689,11128921.767809005,11128921.767809005
57,10996077.919494376,12667629.669315146,11024711.730646573,11185071.55095576,11185071.55095576
58,10966570.938909432,12634122.109763429,10994770.161626268,11154095.787014727,11154095.787014727
59,10982110.917543136,12708423.141071107,11009294.198737323,11172982.104335535,11172982.104335535
60,10942126.933906429,12543944.486938564,10968658.747675365,11130349.621114992,11130349.621114992
61,10948888.795154013,12792268.036500163,10975560.531017952,11146656.91129642,11146656.91129642
62,10969180.25752005,12582787.40069711,10997611.839407057,11156377.445398122,11156377.445398124
63,10977565.799903192,12598461.135652296,11003572.319303637,11157758.413007872,11157758.413007872
64,10981196.900147118,12494453.300457677,11008213.734404663,11158675.686801324,11158675.686801324
65,10977034.919713734,12629297.769782366,11003482.587688899,11159015.915981317,11159015.915981317
66,10935510.103862843,12516730.723616082,10962208.306693157,11113526.090498384,11113526.090498384
67,11009408.777488546,12781442.3081338,11036660.728911527,11203048.78804825,11203048.78804825
68,10994965.854223656,12752266.865213238,11021781.578538926,11189652.333283342,11189652.333283342
69,10929443.427248832,12631801.783190742,10956433.777200092,11109559.514966585,11109559.514966585
70,10969021.668503676,12639867.94084503,10995175.85587968,11155872.847292397,11155872.847292397
71,10943221.439565912,12452272.042051936,10970264.640944941,11111437.92834482,11111437.928344822
72,10940709.145452945,12757320.675788961,10969190.981446067,11150551.412862934,11150551.412862934
73,10942326.96337909,12471189.728104295,10972067.03599313,11120831.865488982,11120831.865488982
74,10955538.412138999,12595822.822462259,10984039.070260651,11147947.292841516,11147947.292841516
75,10984124.187693356,12709415.262417581,11011256.71306225,11164773.868743766,11164773.868743766
