r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
76575.5160800114,86995.770683393,98133.43480456594,98341.87005299183,98199.26804140088,Project 1
15287.859752890612,5004.481465633619,1463.2123841302853,1466.3202447426586,1464.193986451819,Project 2
28331.620290345163,17872.00698507934,7981.812632211748,7998.765988651347,7987.167265547827,Project 3
124126.8433640627,227308.5649981606,244795.05915940503,245315.00344822902,244959.28097776647,Project 4
1499.0697148452705,138.59597653777635,0.20642155588727634,0.0,0.17007569098936204,Project 5
3618.4171902114463,816.658386794579,1.046099966757717,0.0,0.9046787601039661,Project 6
28123.990064820708,13048.915789298113,13097.105253649179,13106.530058190705,13087.524749970838,Project 7
13330.761436085324,3268.800520555582,2269.3575641856646,2274.177675787793,2270.879972468669,Project 8
43674.53933789586,29686.732592966957,31900.706267508245,31968.463313300756,31922.10699352067,Project 9
35507.064990952225,18897.917034235645,18893.075987474185,18933.204848700952,18905.7504887642,Project 10
43020.630507879454,29295.23797974574,29789.322715934686,29852.59518665886,29809.30701120995,Project 11
12108.887344938226,3252.587917844651,938.4293626814631,940.4225850498658,939.0589120558358,Project 12
16818.695621517607,4558.432344545405,4313.06057173837,4322.221505048577,4315.954006974465,Project 13
104436.15624965257,200654.79413041056,157414.65079767173,154451.89730357708,154227.93215793098,Project 14
58380.80396729534,51355.52319608792,51907.37585969797,52017.62703763745,51942.19814605996,Project 15
102459.70283984317,162313.31325147155,143872.84248594975,144178.42815840704,143969.3602011643,Project 16
38683.81566220292,23345.809455843246,22448.435841536844,22496.116281039667,22463.49547127744,Project 17
4681.043677031836,774.1753754446373,88.44506878271845,0.0,77.23409503886366,Project 18
11938.412766462001,3227.7398581573398,1035.5305427692567,1037.7300078788244,1036.2252328879474,Project 19
14990.021796279669,4104.220902816481,4021.045952238702,4029.586646994327,4023.7434882112793,Project 20
7726.924913952555,1437.5747600956447,320.62663930613195,0.0,320.84173306620534,Project 21
13481.086206055483,3694.768453346326,1619.5973163680408,1623.037338310199,1620.6838301940168,Project 22
20271.1912714137,7265.558685573051,5694.709854950473,5706.805408985586,5698.530175551028,Project 23
41665.12560787194,26975.444606306042,25667.845952301996,25722.364413398154,25685.06533716288,Project 24
42070.198938724374,26977.13626879752,27179.626308661685,27237.35578866053,27197.859877877174,Project 25
30990.67528927894,16008.19826538881,13905.521574935019,13935.056879082227,13914.850153894668,Project 26
25015.42614730458,11084.672356852536,9461.68675225658,9481.783358807263,9468.034165511397,Project 27
46933.20422890264,33378.50896376054,34865.164634813686,34939.21818513055,34888.554080472684,Project 28
10232.982320174478,2216.0001864709675,643.8026280433068,0.0,644.2345258054847,Project 29
12493.488999868801,2782.7036498282487,2225.0088398517637,2229.7347548389225,2226.501496602294,Project 30
10267.36088584755,2191.7569010396587,842.4707282706239,844.2601346629339,843.0359033823602,Project 31
52095.598823134125,42387.83765673177,40402.34604605002,40488.16056025579,40429.45013367555,Project 32
5812.27525200844,970.1815768507519,89.37893668525905,0.0,89.43889692937537,Project 33
6262.971639427286,963.0084393799794,178.6922211111806,0.0,178.81209755631266,Project 34
13393.460049827545,3783.4543021188115,1348.251775103921,1351.1154595784744,1349.1562556064155,Project 35
10524.277823281516,2544.6579789996454,549.0676644957184,0.0,549.4360089001218,Project 36
55647.4981727026,48511.96137910141,49637.85900662186,49743.289734629885,49671.158777841214,Project 37
13852.852661426989,3369.205061811529,2424.389754760435,2429.5391544713593,2426.016167055319,Project 38
6621.636545449925,1200.108655604335,163.59775797014765,0.0,163.6458280317153,Project 39
