majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
34128.04443071813,42575.253253181465,35191.01557173801,31763.009649245963,31763.009649245963,Project 1
55831.03419825482,52863.28344981389,52158.78544336145,54276.281682451714,54276.281682451714,Project 2
35978.34232710831,43314.82360950026,35726.40489742951,34752.83702575142,34752.83702575142,Project 3
25041.00549196726,34966.640000303385,26520.948602460547,20061.546760646703,20061.546760646703,Project 4
31951.9674200715,40521.50061047053,32537.096664557354,29771.731414453705,29771.731414453705,Project 5
39157.17653067746,45732.197760456,40447.06274861661,37465.89205698277,37465.89205698277,Project 6
28982.710465779834,39189.63996006827,31042.926810549998,28093.03439232772,28093.03439232772,Project 7
138911.79552489222,87776.18068736035,137684.4467482659,153615.17728108753,153615.17728108753,Project 8
37083.22972925786,44416.52969522178,38159.46061979366,38023.27528690914,38023.27528690914,Project 9
52374.993542392505,53571.7766556139,53839.366634145656,52083.92030313482,52083.92030313482,Project 10
40935.91268551737,46768.68214214951,41754.09707133164,40430.375579540036,40430.375579540036,Project 11
35029.64889666118,41551.41839940143,33763.68437954322,32489.5958404021,32489.5958404021,Project 12
66274.08129655189,57924.96115776291,62072.17199154014,62836.07805360697,62836.07805360697,Project 13
25564.148436195686,35503.52349700935,26478.772655421715,22149.885515800634,22149.885515800634,Project 14
23954.694668455868,33653.21952032166,25272.09983417915,19642.005529369806,19642.005529369806,Project 15
51578.61742217191,50473.28260151757,47402.063118910715,50114.50033289769,50114.50033289769,Project 16
119879.49548138752,82021.32567475094,120809.89141688708,132311.71500811222,132311.71500811222,Project 17
48352.48366399351,50854.7906490851,48786.21666794134,47933.327774797486,47933.327774797486,Project 18
47661.38122272185,50877.136859763516,48632.75281102568,48939.37693390571,48939.37693390571,Project 19
71083.6223437979,61691.50019950337,70192.54204073234,72289.39792217537,72289.39792217537,Project 20
30534.6234391372,39715.6110304462,30385.430421160807,30370.91774179556,30370.91774179556,Project 21
27271.448329351497,35316.37925454838,25703.31316302189,25908.817617251625,25908.817617251625,Project 22
93139.56454916691,71890.61122728852,93104.9805361267,101174.29229305955,101174.29229305955,Project 23
39614.65556982301,45484.74962105647,40023.20419612603,34864.74992269323,34864.74992269323,Project 24
27361.883174439088,35397.113602528116,27162.876972635437,21438.600556957183,21438.600556957183,Project 25
47786.60032946536,50392.419710723865,47843.23521535183,44114.8535234905,44114.8535234905,Project 26
27486.589807913802,36790.6773587434,29350.033431101954,23251.979886134923,23251.979886134923,Project 27
46743.5248779832,50422.46399563167,48528.72755082784,47391.56870881994,47391.56870881994,Project 28
38332.7330627273,42752.1778262493,36577.3414687102,31589.863075450914,31589.863075450914,Project 29
46614.20471741018,50322.561067759525,47893.61072688842,47775.02911921058,47775.02911921058,Project 30
49952.28571650622,52388.774897429044,50843.48900250514,51267.15640172087,51267.15640172087,Project 31
36139.30710102057,42235.87207735234,34545.31877872696,32567.679178690465,32567.679178690465,Project 32
47594.54912662904,50002.95768317713,47673.141057155604,44299.13640068924,44299.13640068924,Project 33
32643.089751684205,40161.1468885818,32193.529668996092,28441.42006097107,28441.42006097107,Project 34
48801.7800327347,51643.80330572434,48853.26993518606,50712.55901131697,50712.55901131697,Project 35
37452.12653079375,43104.27823925477,36401.19587512013,33345.12710013312,33345.12710013312,Project 36
60301.815539307,57678.92848553605,61318.76220560741,60516.1952653324,60516.1952653324,Project 37
40004.34936330912,45031.38555953825,38143.164814243806,38150.98992018739,38150.98992018739,Project 38
84673.59988024716,66525.26223579103,80600.1508294558,87893.10790586793,87893.10790586793,Project 39
34157.479286500566,42604.32525991625,35284.05770879952,33600.90313297785,33600.90313297785,Project 40
46988.482758155325,50880.52403738958,48248.123199549635,46751.13386721914,46751.13386721914,Project 41
29893.408586440182,39161.53948626731,30858.494780438174,28022.316534156933,28022.316534156933,Project 42
47729.6651126632,51221.14142460119,49579.12876132999,49507.60844290723,49507.60844290723,Project 43
33316.14591407316,39859.665018340376,31529.25249050687,31494.80215099556,31494.80215099556,Project 44
31581.4074025373,41227.805612188546,34303.51947220792,29798.77145667697,29798.77145667697,Project 45
71489.02659649588,61413.72398807094,68524.41457680082,72812.70132718018,72812.70132718018,Project 46
63492.740078656534,59023.61039935585,64045.43028347714,66154.27211818089,66154.27211818089,Project 47
23710.161978934066,33577.348933679255,23849.195356852742,21269.776320376666,21269.776320376666,Project 48
72229.63544876478,62759.26932156633,72180.96159731018,73643.87595913174,73643.87595913174,Project 49
28940.597271300627,34915.86361526595,26696.00517342326,21071.666166500374,21071.666166500374,Project 50
35660.241941774024,40321.651265387954,33068.107964429735,29033.180663108356,29033.180663108356,Project 51
71499.93396714344,62877.91365547302,72083.62414973105,73791.31405940282,73791.31405940282,Project 52
