round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,desired_increase_percentage
3.0,1.0,31947.925890904135,70428.83708856464,33896.362122844774,22597.57474856318,22597.57474856318,1.0
3.0,2.0,68280.63288525661,194397.22605256192,61365.64510702478,42538.44054619768,42538.44054619768,2.0
3.0,3.0,82109.7717252298,308027.0338524638,81116.01952862521,61093.03770963555,61093.03770963555,3.0
3.0,4.0,114907.17795905769,559690.816006509,118862.7184845828,84829.10285702025,84829.10285702025,4.0
3.0,5.0,167537.44180857402,946790.3768412538,153954.71460660797,122289.06988783856,122289.06988783856,5.0
3.0,6.0,156167.29182448192,1102091.6043672985,170367.70361550018,122308.93740315072,122308.93740315072,6.0
3.0,7.0,209933.4050061407,1582580.4946239302,199268.28656936192,154266.85433282488,154266.85433282488,7.0
3.0,8.0,255294.91019317284,2204687.3745663394,247330.75081750177,175198.52985539287,175198.52985539287,8.0
3.0,9.0,276882.4586092093,3219555.913368074,259306.96730556345,193831.3757112787,193831.3757112787,9.0
3.0,10.0,306420.27575152816,5995361.735400344,296107.3099382993,214931.96499937712,214931.96499937712,10.0
3.0,11.0,319025.84011576715,8000000.0,316898.2916312853,232971.5053122147,232971.5053122147,11.0
3.0,12.0,366724.60361798515,8000000.0,364192.2496123578,252429.74040326476,252429.74040326476,12.0
3.0,13.0,403943.9586638612,8000000.0,367801.88638068875,259138.889100568,1786943.6477766032,13.0
3.0,14.0,427862.1921660958,8000000.0,437802.3282405098,322992.0051447956,3366327.265076793,14.0
3.0,15.0,429465.0283879625,8000000.0,446229.86642615404,302857.7040287298,1821962.96930185,15.0
3.0,16.0,455004.0158461813,8000000.0,451317.2368209631,297171.31213161215,1826272.642831087,16.0
3.0,17.0,532918.7296551972,8000000.0,555787.9888721667,412556.8954728496,8000000.0,17.0
3.0,18.0,452171.90316061035,8000000.0,478115.3807466822,351618.5186166957,4909347.994531462,18.0
3.0,19.0,565031.3900099739,8000000.0,530825.352189075,373147.69778714207,3377828.2106217816,19.0
3.0,20.0,660777.1636318525,8000000.0,628951.2180571845,452288.4356843952,6462979.255479712,20.0
3.0,21.0,605543.3844188565,8000000.0,612709.9231304976,419835.0126497427,8000000.0,21.0
3.0,22.0,725879.426156226,8000000.0,689423.3831574679,466042.1982535923,8000000.0,22.0
3.0,23.0,826378.4761797774,8000000.0,829655.4807855936,644493.8421275903,8000000.0,23.0
3.0,24.0,728095.019481652,8000000.0,738012.1755549937,496670.9056670688,8000000.0,24.0
3.0,25.0,726790.4257267942,8000000.0,779329.2615992661,539187.1820990804,8000000.0,25.0
3.0,26.0,796865.700451268,8000000.0,837352.9725389763,571734.624687698,8000000.0,26.0
3.0,27.0,759700.8225997642,8000000.0,805338.5854940191,529018.9660661272,8000000.0,27.0
3.0,28.0,860859.0428202515,8000000.0,815642.1552558038,567219.6422707061,8000000.0,28.0
3.0,29.0,884679.0563112252,8000000.0,868374.6923235733,629867.5564440269,8000000.0,29.0
3.0,30.0,880471.0496252624,8000000.0,909533.9755354419,618359.4524113318,8000000.0,30.0
