,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.2,1.2,1.2,1.0
2,3.0,1.2,1.0,2.2,1.0,2.0,1.0,1.0,1.0,1.0,1.0
3,4.0,1.4,1.0,3.0,1.0,2.0,1.0,1.2,1.2,1.2,1.0
4,5.0,2.0,1.0,3.6,1.0,3.0,1.0,1.2,1.2,1.2,1.2
5,6.0,2.4,1.2,4.0,1.0,3.2,1.0,2.0,2.0,2.0,1.4
6,7.0,2.2,1.2,4.8,1.0,3.6,1.0,1.8,2.0,1.8,1.2
7,8.0,1.8,1.0,5.0,1.0,4.0,1.0,2.0,2.2,2.0,2.0
8,9.0,2.8,1.4,5.8,1.0,4.2,1.0,2.4,2.6,2.4,1.8
9,10.0,1.6,1.0,7.0,1.0,4.6,1.0,2.2,2.2,2.2,1.8
10,11.0,3.0,1.6,7.2,1.0,5.2,1.0,3.6,3.6,3.6,2.4
11,12.0,4.2,2.0,7.8,1.0,5.4,1.0,3.0,3.0,3.0,2.2
12,13.0,4.2,1.8,8.4,1.0,5.8,1.0,3.4,3.4,3.4,2.6
13,14.0,5.4,2.2,8.0,1.0,6.2,1.0,3.4,3.4,3.4,2.6
14,15.0,4.2,2.2,8.8,1.0,6.4,1.0,4.0,4.0,4.0,2.8
15,16.0,4.2,2.0,10.8,1.0,7.0,1.0,3.6,3.6,3.6,2.8
16,17.0,4.8,2.2,12.2,1.0,7.8,1.0,6.0,5.8,6.0,3.8
17,18.0,6.6,2.6,11.2,1.0,7.4,1.0,4.4,4.4,4.4,3.4
18,19.0,8.2,3.2,12.4,1.0,8.4,1.0,4.8,4.8,4.8,3.6
19,20.0,3.8,1.6,12.4,1.0,8.6,1.0,6.8,6.8,6.8,4.4
20,21.0,7.0,2.8,12.4,1.0,8.6,1.0,5.4,5.4,5.4,4.0
21,22.0,4.6,1.8,13.8,1.0,9.0,1.0,5.0,5.0,5.0,3.8
22,23.0,7.4,3.0,12.8,1.0,9.2,1.0,4.2,4.2,4.2,3.6
23,24.0,8.8,3.6,15.6,1.0,10.4,1.0,5.4,5.0,5.4,4.0
24,25.0,8.2,3.6,15.0,1.0,10.2,1.0,6.2,6.2,6.2,4.4
25,26.0,8.8,3.6,15.4,1.0,10.6,1.0,4.8,4.8,4.8,4.0
26,27.0,8.4,3.4,17.6,1.0,11.6,1.0,7.6,7.6,7.6,5.2
27,28.0,7.8,3.2,15.6,1.0,10.6,1.0,4.8,5.0,4.8,4.2
28,29.0,10.8,4.2,16.4,1.0,11.4,1.0,7.2,7.0,7.2,5.0
29,30.0,8.2,3.2,18.6,1.0,12.0,1.0,8.2,8.2,8.2,5.4
