majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
25762.8026059422,19237.834818077165,51316.60088155537,7056.304582959137,7056.304582957375,1233452.0,1
27397.804901303327,25578.219859987894,66713.7129961325,5363.55535375273,5363.55535375273,1623167.0,2
31039.39009158448,19810.590356082277,52774.192303183234,11779.948328156564,11779.948328156564,1296220.0,3
9792.122984597998,20275.994124444107,48613.251167195565,21266.979512246886,21266.979512246886,1167893.0,4
20441.4036293166,20257.639522657017,56075.03027065893,7816.237280953779,7816.237280953779,1376662.0,5
25274.998156292844,26941.88248688538,73879.01036727132,13472.06384349825,13472.06384349825,1800832.0,6
26162.96237301112,20810.513080696,56223.75577655546,20124.511530935022,20124.511530934236,1351646.0,7
12359.420127137731,15877.675237090574,39220.60285897797,9511.996103929132,9511.99610392834,960081.0,8
41068.04692601894,18605.26403419842,44455.11532814617,20200.758285267308,20200.758285267308,1076897.0,9
14422.601259569998,18373.45268256853,49458.98781407687,2851.6602922711263,2851.6602922711263,1197427.0,10
9768.809267514553,23527.76438332238,61315.097715086595,5642.0918966902445,5642.0918966902445,1495249.0,11
19031.907228976117,19768.379949005437,53763.577748559284,31941.29153292688,31941.29153292688,1298207.0,12
12528.921970914726,20000.900267603134,54870.85238622327,19078.759545805056,19078.759545805056,1340373.0,13
10744.876277510828,18672.76137234312,47640.954627303094,5127.20379371837,5127.203793716599,1158813.0,14
11033.5125304484,11973.836878113842,31072.482103098533,8726.46245177319,8726.46245177319,767139.0,15
18004.620119743464,21764.31455754187,52562.208169282676,9832.55433083624,9832.55433083624,1261815.0,16
22987.022061019605,17030.123884797827,46403.45689992815,7367.768626469728,7367.768626469728,1172614.0,17
21696.719912904504,20865.64194850225,56746.007317582706,13185.603638892922,13185.603638892922,1406722.0,18
6170.7653204355975,19453.152156154243,51526.0236238572,7616.044786618002,7616.044786617153,1249351.0,19
15811.266280422862,18017.05705680184,43400.67012937784,10925.482532566899,10925.482532565171,1034444.0,20
15671.551007768428,20538.097229036626,53089.67934289254,12079.680370924209,12079.680370924209,1279412.0,21
14254.205680333693,22543.952605639548,54254.28400801878,5450.717966428465,5450.717966428465,1289926.0,22
23986.281354005496,21924.63741910935,49582.65111931195,11902.289018115409,11902.289018115409,1184872.0,23
21876.837008830775,22764.619096498816,57695.382779028485,21588.274914656395,21588.274914656395,1399010.0,24
14887.149696129818,19790.222052108875,52931.657615573975,9265.474244830088,9265.474244829307,1296590.0,25
25146.370220107852,21705.801312471365,53071.77947146886,21185.049724479024,21185.049724479024,1276177.0,26
18816.563712531304,22800.435533801017,59811.22986736007,15447.431800245384,15447.431800243636,1430161.0,27
35403.2913701215,20701.801432163546,50834.73639969014,20347.49306296835,20347.493062966587,1218368.0,28
15880.182605354279,15948.874010079562,37656.17224692975,19587.14684507103,19587.146845069372,921843.0,29
19796.573368302474,22681.164026288214,65110.00557459165,3033.6919405125172,3033.691940511748,1646887.0,30
43070.77199748477,27305.094206470552,70854.63064100136,3384.399814239481,3384.399814240438,1687368.0,31
35039.50851288581,19058.617151383984,50122.37267804912,8722.174220076467,8722.174220076467,1212370.0,32
21561.291830385064,20632.274444326864,58204.11835608898,10001.194404518463,10001.194404518463,1419552.0,33
24026.81560057538,17974.709656882806,48694.92038382626,12328.26041388553,12328.260413884615,1189829.0,34
9615.239769952022,15462.80314109966,36248.345641106906,8816.994323275338,8816.994323275338,860069.0,35
16827.7189518499,17370.351349566063,45638.64206464765,3530.9176145842193,3530.9176145842193,1121605.0,36
22557.938041931273,22801.321904018794,56407.279793782945,25122.643286881008,25122.643286881008,1343377.0,37
30730.8547959028,19549.563139803213,50075.84456024308,5937.354814301203,5937.354814301203,1199795.0,38
30198.53341561738,17970.39785673374,45545.384357282004,16545.780661347853,16545.780661346078,1098294.0,39
3816.233268927237,22301.428725200873,59246.82614185514,2571.315617696746,2571.315617696746,1425393.0,40
13074.834352982578,18160.020235556745,53774.483512808314,3074.8330784078025,3074.8330784078025,1305381.0,41
33363.52287924781,21875.210669855565,52725.17132661171,15289.699581853503,15289.699581852701,1285723.0,42
33286.01113121972,20483.724925285704,46763.68745695608,13689.346814062164,13689.346814062164,1105166.0,43
23775.280210319303,16855.002317943916,44203.482800594655,2374.2339830004075,2374.233982999627,1089965.0,44
20172.519395503266,19346.51458835583,48216.37297763442,8432.517850827746,8432.517850827746,1150358.0,45
21039.291314406062,23891.02788233994,60140.90082986384,7055.470991716114,7055.470991716114,1444747.0,46
16360.04503739854,21331.881960188075,51372.9798040477,10315.261472478549,10315.261472476834,1239192.0,47
14010.799198328255,23093.28451382891,63597.511545126385,6975.981867988978,6975.981867987481,1552148.0,48
37241.283998504885,22048.8537712228,50470.170186853415,9839.795050715335,9839.795050715335,1204647.0,49
