majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
3972.684680327533,13893.237684816719,61314.62763640057,2480.6529803015583,2480.652980298006,4515772.0,1
8572.966276884272,13674.396491904168,51562.67527761012,5029.896656452058,5029.896656452058,3781768.0,2
11041.59274116695,17702.174297127618,66310.1711161202,5742.538164818901,5742.538164815129,4845829.0,3
7059.58864350888,14268.565644294475,50020.8936472511,7236.497262308532,7236.497262308532,3650074.0,4
11188.801586443999,16210.811058023544,61465.95673762919,3289.1414664871445,3289.1414664871445,4531051.0,5
9509.428391768142,16925.1313659542,69438.00857204253,3863.550405320475,3863.550405320475,5105542.0,6
9898.441357047104,16864.063120162395,70007.20955071779,4328.955776165585,4328.955776165585,5148871.0,7
7172.43179980664,15114.727097197738,61322.08225090601,3812.452912586281,3812.452912586281,4484518.0,8
4952.350701013871,17390.15445951046,69980.52496935712,6674.959583454975,6674.959583454975,5121370.0,9
3543.53001851527,16190.96242030009,66317.44455064584,1383.6694115531882,1383.6694115531882,4856211.0,10
2589.5969119652946,15628.131294895637,66383.01090808588,4694.022789254264,4694.022789257882,4863864.0,11
5041.936908096159,16352.671130062918,66214.97199174494,4060.1297219364824,4060.1297219364824,4868960.0,12
3680.8493214201662,17234.591969927904,71613.68358414542,4048.3844825604247,4048.384482563848,5266402.0,13
4448.525715724732,15765.18556598937,66810.46738391991,3850.753320517306,3850.753320517306,4893839.0,14
5210.467954541338,17145.14081052573,70173.7699507118,2938.427322122163,2938.427322122163,5148452.0,15
6280.3489713088275,13269.08597401399,44855.372996651844,4184.448114071156,4184.448114067431,3269184.0,16
6036.982984566639,17371.444319179845,76195.68478846615,1577.8726138748225,1577.8726138748225,5586210.0,17
5639.731829819852,15684.272601112203,56722.66530012552,5685.705985420453,5685.705985420453,4140428.0,18
3680.4311845657576,12279.711012338594,46782.21849748622,475.67860405414103,475.6786040578154,3415527.0,19
3768.3536780386858,16604.62657277129,69999.31461937189,1613.3369065112656,1613.3369065112656,5120340.0,20
4692.251195465011,15263.362870991088,60826.94086002304,5597.6285124486785,5597.6285124486785,4472680.0,21
5209.724305955027,14677.590163587167,52795.64474633018,4996.783504650717,4996.783504650717,3858138.0,22
6037.031504353054,17334.82877754621,70908.26979848018,4419.625753619775,4419.625753623268,5192698.0,23
7595.126425478182,10823.218784928027,38455.438368550436,7596.832080489879,7596.832080489879,2821338.0,24
5470.1193281606975,15017.71746714092,60922.31582306206,2427.292901029801,2427.292901029801,4461658.0,25
4208.522639012706,16171.250609001185,60023.83131268114,4534.509998450032,4534.509998450032,4380339.0,26
15271.198431063807,15796.696433616038,61407.60092760797,7838.968791606738,7838.968791606738,4489077.0,27
3826.4627110660876,12353.940686583901,48035.75072313001,4271.457088370682,4271.457088370682,3537657.0,28
5295.522227810543,10515.157537083356,36066.89586022376,3579.41012212639,3579.41012212639,2644818.0,29
4368.337384647777,16994.24828983041,70268.01971084511,5756.870161447936,5756.870161447936,5191355.0,30
2978.3025277351735,15922.708441881452,67042.31867320873,1469.9154815072543,1469.9154815072543,4915328.0,31
5875.108018676721,18154.458023623327,68796.99862917473,2349.524132089704,2349.524132089704,5022992.0,32
10695.380934510744,15700.102048780966,62882.08645205364,4089.7040172431134,4089.704017246986,4619049.0,33
4952.131290932462,13500.585656703519,50012.05437871766,3419.0567462842446,3419.0567462842446,3664555.0,34
7085.5695957128155,16025.340657508277,61280.5806233363,2515.1799669638294,2515.1799669638294,4469891.0,35
6722.759340154011,14871.738611595698,62248.976534823596,5157.169672465323,5157.169672465323,4568594.0,36
6958.202399486519,18634.096407119934,78006.6504112404,2444.6707098312763,2444.6707098312763,5702416.0,37
12441.011607887234,15403.005106436933,62644.12805038606,3157.891349543097,3157.891349543097,4613782.0,38
8292.224063617301,14964.876702187881,61088.652464640094,4636.988551986889,4636.988551993827,4492208.0,39
5210.138579670056,14770.961070974783,57471.57461279513,5376.437715607042,5376.437715610535,4209585.0,40
