Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 1,51460.36352738824,50312.51051088862,52613.2433866488
Project 2,54049.86244834627,57034.352241548564,58041.49116082537
Project 3,50128.307271260215,47575.946616661946,49924.698943778305
Project 4,53780.19839690366,59754.26986778546,57463.77797409583
Project 5,42100.04639715763,40792.57513352233,35213.93224753491
Project 6,41580.20107643352,42941.37371861247,34349.66815380476
Project 7,44953.26660991693,48219.646655896686,40148.736964453405
Project 8,48937.61550117098,48641.40313722283,47581.155458252906
Project 9,57600.700505145775,56401.804033688415,65918.13409591971
Project 10,49817.8492312801,44541.469912164845,49308.219805804845
Project 11,49368.002523606796,53260.20883986863,48421.75060977305
Project 12,49623.720398340265,44249.03047781056,48924.68269723972
Project 13,53445.66786711621,55397.87795328894,56751.11417734828
Project 14,58454.385710633724,60321.9687655143,67886.52481655781
Project 15,56092.94173080877,47704.722176582734,62512.34759763863
Project 16,47028.0674803687,42574.977466416625,43940.36303877075
Project 17,51844.09643932019,55139.31990558511,53400.828495898044
Project 18,48780.63927338312,56961.7129728445,47276.3947557922
Project 19,50761.94524741019,48433.0113831857,51194.80440254377
Project 20,51769.64566406636,42964.85846687107,53247.56597709618
Project 21,55525.65027140165,56475.86819735626,61254.31422938805
Project 22,49749.12960532587,44457.02990686717,49172.28036100955
Project 23,50729.92040405496,47955.36857664627,51130.22892516276
Project 24,49157.760543874065,48527.344434421415,48010.20438712652
Project 25,43540.55416845078,41292.298219658296,37664.94000123446
Project 26,47894.84526990524,47466.62697523612,45575.0259385209
Project 27,55347.03596517271,55769.32212053879,60860.863652676046
Project 28,49610.5337382309,47269.806768635215,48898.68434656121
Project 29,59576.88473908031,61481.84652966684,70518.80691911645
Project 30,53824.93030796638,52188.19817001702,57559.40921681371
Project 31,52910.234458928244,53017.521578847365,55619.71349259083
Project 32,46881.63695851983,48890.54459797119,43667.156267295846
Project 33,47148.82695738865,40047.470521665455,44166.31440103133
Project 34,57772.39234817745,57142.727154358894,66311.6874092551
Project 35,56351.21007264915,62596.901845126886,63089.323164391615
Project 36,47339.9904002651,46044.497659275934,44525.18231672001
Project 37,50830.92785777313,49131.7917505014,51334.04062828758
Project 38,47413.86284250548,49536.81123334003,44664.25079818181
Project 39,42529.41023492067,43151.707032596736,35935.864412818315
Project 40,44162.51951378937,42847.58679355909,38748.6931613677
Project 41,54254.04424619273,57025.73588638619,58480.841050320516
Project 42,51624.45808223311,48620.826367018424,52949.319982216395
Project 43,47044.21455228529,44878.22889793963,43970.54203802609
Project 44,49988.236845426785,47149.247255625174,49646.08575279542
Project 45,48589.402882030314,50977.686800932,46906.44284622563
Project 46,52168.07054601974,54115.02140621883,54070.31807432892
Project 47,48145.23424997594,55149.558023474216,46052.79398177849
Project 48,55492.234345516605,57289.861048252846,61180.60942087197
Project 49,57983.447945859916,58355.07897289358,66797.07555139986
Project 50,43623.16347607083,44357.5039608532,37807.9986447583
Project 51,54834.84706863529,58240.889848786006,59739.64652067134
Project 52,47341.376957906774,42264.690690594085,44527.79058239056
Project 53,47135.82814977464,46264.448892017615,44141.96468458098
Project 54,50684.119702632575,52958.34815565484,51037.94637469057
Project 55,47809.77761674209,52355.34653977633,45413.27502452029
Project 56,47265.03095340636,48287.64995073354,44384.28914800505
Project 57,53837.590368890254,52942.68324770029,57586.48928257502
Project 58,50378.25549692382,44401.31124860221,50423.80616600835
Project 59,52017.76150859737,50125.81793328528,53759.18718279075
Project 60,52180.60468653159,53642.01741625984,54096.30356215041
Project 61,57027.519156820796,54563.43804067867,64612.766065078795
Project 62,47361.181824441876,44527.84179979626,44565.05402790374
Project 63,46249.19688337073,43451.29079780347,42496.95046168842
Project 64,56303.12123930223,54253.96372637975,62981.69113956993
Project 65,43257.9199166764,39266.34712149616,37177.539178919986
Project 66,55325.77712658585,57770.17047210199,60814.119223699774
Project 67,50691.04920242328,53205.791139095396,51051.90307818615
Project 68,43817.96912916549,38498.8744871702,38146.42697037579
Project 69,50247.8080013638,41093.64868774485,50163.01336170578
Project 70,43711.89094134713,42738.52572789838,37961.954441484944
Project 71,45563.60018105797,48787.48302726913,41246.342141469075
Project 72,49452.53819987179,46209.26371989506,48587.72329965691
Project 73,45522.156791434834,49426.249449862735,41171.343203062184
Project 74,53069.05876207449,53347.77196125881,55954.12972733538
Project 75,50399.13058495945,44486.026323477214,50465.602749239646
Project 76,50431.82970482751,43847.27651542722,50531.1084869651
Project 77,47585.66655437372,51060.25265156211,44988.51825984175
Project 78,55034.38145372903,54173.655374543894,60175.2017149825
Project 79,58062.60069598606,57047.039259830606,66979.5683543078
Project 80,52929.34868468742,50882.75555068254,55659.90684280892
Project 81,51074.00333341157,59261.182368601076,51826.177290786574
Project 82,53963.496435112225,52115.922016441,57856.15092154715
Project 83,49008.73473461956,43465.02995406036,47719.55182850323
