project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Zora,1394006.3094901,1334281.3,1457781.0,1457781.0,1457782.7656315514
Layer3,726651.2925206361,668935.6,730851.6,730851.6,730852.4657374894
LI.FI,421732.7501982565,395922.0,432568.1,432568.1,432568.6538336141
Stargate Finance,343959.66937628784,333959.3,364870.2,364870.2,364870.64060515247
ODOS,293835.9048874357,281095.8,307113.7,307113.7,307114.0902806329
0x Protocol,289821.31827570737,280258.3,306198.7,306198.7,306199.10122220556
Sound.xyz,246060.66082430878,229819.6,251091.5,251091.5,251091.80003343784
Synthetix,245529.24306893727,208304.6,227585.1,227585.1,227585.39221293022
Account Abstraction - ERC-4337,222942.78494097956,176452.4,192784.7,192784.7,192784.9151974125
Aerodrome Finance,182879.71913982168,164715.6,179961.5,179961.5,179961.70025145364
Sushiswap,147695.4364301351,139817.8,152759.2,152759.2,152759.38033477386
Kwenta,150610.4534981376,133511.5,145869.1,145869.1,145866.18093053327
Perp V2 - Curie,151164.46368953332,126038.0,137703.9,137703.9,137701.08456352894
LayerZero,144909.49279488766,124796.3,136347.3,136347.3,136347.46389832228
Dmail Network,126333.11718977694,119517.2,130579.6,130579.6,130579.7135244486
Party.app + Party Protocol,121059.30115516877,114290.8,124869.5,124869.5,124869.60514267393
Boost,117176.32541866855,112724.2,123157.8,123157.8,123157.947757502
Ionic Protocol,118098.84504645829,112678.7,123108.1,123108.1,123108.25818179964
Aave,115297.99454133182,112349.9,122748.9,122748.9,122749.08505175004
Synapse Protocol,114964.91091583516,109664.8,119815.3,119815.3,119815.43681838566
Seamless Protocol,109470.08220991527,105600.0,115374.2,115374.2,115374.33303714794
Rainbow (Rainbow Router),103542.20943383944,95159.8,103967.7,103967.7,103967.77863883441
Velodrome Finance,100406.99919915925,95042.2,103839.2,103839.2,103839.32878917767
WOOFi,96768.07195579518,92009.7,100526.1,100526.1,100526.18523346288
Holograph Foundation,93897.79076761327,91109.1,99542.0,99542.0,99542.16044243037
Kim Exchange,100243.44287864071,89391.3,97665.3,97665.3,97665.39225551735
deBridge,101230.24227388059,86224.2,94205.1,94205.1,94205.17522629468
NFTs2Me,78727.91207967498,75429.3,82410.9,82410.9,82411.0390129238
far.quest - Farcaster Super App,81808.72679375381,74344.5,81225.8,81225.8,81224.14118441624
Manifold,69725.25734873916,66589.9,72753.4,72753.4,72753.48669473547
Zerion,69498.96738226312,64612.2,70592.6,70592.6,70592.68202966446
Maverick Protocol,68229.00213665291,64167.9,70107.3,70107.3,70107.34008558626
Moonwell,66729.22762029234,64059.2,69988.5,69988.5,69988.58481237994
Tarot,73962.46230541788,63288.6,69146.5,69146.5,69146.61600630979
Highlight,67692.43595140609,62972.5,68801.2,68801.2,68801.24064107351
LogX,65468.101917294865,60527.9,66130.3,66130.3,66130.38140688889
Across Protocol,61882.27857171704,59427.2,64927.7,64927.7,64927.74768257446
fxhash,63395.77297152822,58974.8,64433.5,64433.5,64432.475101384174
Paragraph,61223.93699759214,57184.3,62477.2,62477.2,62477.258738893805
Basepaint,61536.01302542132,56828.9,62088.9,62088.9,62088.94847230154
Gitcoin Passport,57758.343073640914,53458.0,58406.1,58406.1,58406.14275710102
RubyScore,57052.66600378777,53015.7,57922.8,57922.8,57922.85751836246
Decent.xyz,52838.9440379376,50812.6,55515.7,55515.7,55515.793333381764
Compound Finance,53895.904183023566,50166.0,54809.3,54809.3,54809.38658215025
Zeronym,55147.42734960806,48839.7,53360.3,53360.3,53360.368558948416
Multicall3,54336.17871746787,48404.0,52884.3,52884.3,52884.314587706234
BaseSwap,50873.41706896688,46255.4,50536.8,50536.8,50536.812667094695
Extra Finance,50996.19104057946,45147.7,49326.6,49326.6,49326.61383874085
Thales Protocol,46066.61770300074,43752.3,47802.0,47802.0,47802.04811410196
Owlto Finance,46443.61608511399,43637.0,47676.0,47676.0,47676.09917442137
ParaSwap,45864.06442958433,42984.2,46962.8,46962.8,46962.87584302018
