round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
1,1,3000,3000,3000,3000,3000
2,1,3000,3000,3000,3000,3000
3,1,3000,3000,3000,3000,3000
4,1,3000,3000,3000,3000,3000
5,1,3000,3000,3000,3000,3000
6,1,3000,3000,3000,3000,3000
7,1,3000,3000,3000,3000,3000
8,1,3000,3000,3000,3000,3000
9,1,3000,3000,3000,3000,3000
10,1,3000,3000,3000,3000,3000
11,1,3000,3000,3000,3000,3000
12,1,3000,3000,3000,3000,3000
13,1,3000,3000,3000,3000,3000
14,1,3000,3000,3000,3000,3000
15,1,3000,3000,3000,3000,3000
16,1,3000,3000,3000,3000,3000
17,1,3000,3000,3000,3000,3000
18,1,3000,3000,3000,3000,3000
19,1,3000,3000,3000,3000,3000
20,1,3000,3000,3000,3000,3000
21,1,3000,3000,3000,3000,3000
22,1,3000,3000,3000,3000,3000
23,1,3000,3000,3000,3000,3000
24,1,3000,3000,3000,3000,3000
25,1,3000,3000,3000,3000,3000
26,1,3000,3000,3000,3000,3000
27,1,3000,3000,3000,3000,3000
28,1,3000,3000,3000,3000,3000
29,1,3000,3000,3000,3000,3000
30,1,3000,3000,3000,3000,3000
31,1,3000,3000,3000,3000,3000
32,1,3000,3000,3000,3000,3000
33,1,3000,3000,3000,3000,3000
34,1,3000,3000,3000,3000,3000
35,1,3000,3000,3000,3000,3000
36,1,3000,3000,3000,3000,3000
37,1,3000,3000,3000,3000,3000
38,1,3000,3000,3000,3000,3000
39,1,3000,3000,3000,3000,3000
40,1,3000,3000,3000,3000,3000
41,1,3000,3000,3000,3000,3000
42,1,3000,3000,3000,3000,3000
43,1,3000,3000,3000,3000,3000
44,1,3000,3000,3000,3000,3000
45,1,3000,3000,3000,3000,3000
46,1,3000,3000,3000,3000,3000
47,1,3000,3000,3000,3000,3000
48,1,3000,3000,3000,3000,3000
49,1,3000,3000,3000,3000,3000
50,1,3000,3000,3000,3000,3000
51,1,3000,3000,3000,3000,3000
52,1,3000,3000,3000,3000,3000
53,1,3000,3000,3000,3000,3000
54,1,3000,3000,3000,3000,3000
55,1,3000,3000,3000,3000,3000
56,1,3000,3000,3000,3000,3000
57,1,3000,3000,3000,3000,3000
58,1,3000,3000,3000,3000,3000
59,1,3000,3000,3000,3000,3000
60,1,3000,3000,3000,3000,3000
61,1,3000,3000,3000,3000,3000
62,1,3000,3000,3000,3000,3000
63,1,3000,3000,3000,3000,3000
64,1,3000,3000,3000,3000,3000
65,1,3000,3000,3000,3000,3000
66,1,3000,3000,3000,3000,3000
67,1,3000,3000,3000,3000,3000
68,1,3000,3000,3000,3000,3000
69,1,3000,3000,3000,3000,3000
70,1,3000,3000,3000,3000,3000
71,1,3000,3000,3000,3000,3000
72,1,3000,3000,3000,3000,3000
73,1,3000,3000,3000,3000,3000
74,1,3000,3000,3000,3000,3000
75,1,3000,3000,3000,3000,3000
76,1,3000,3000,3000,3000,3000
77,1,3000,3000,3000,3000,3000
78,1,3000,3000,3000,3000,3000
79,1,3000,3000,3000,3000,3000
80,1,3000,3000,3000,3000,3000
81,1,3000,3000,3000,3000,3000
82,1,3000,3000,3000,3000,3000
83,1,3000,3000,3000,3000,3000
84,1,3000,3000,3000,3000,3000
85,1,3000,3000,3000,3000,3000
86,1,3000,3000,3000,3000,3000
87,1,3000,3000,3000,3000,3000
88,1,3000,3000,3000,3000,3000
89,1,3000,3000,3000,3000,3000
90,1,3000,3000,3000,3000,3000
91,1,3000,3000,3000,3000,3000
92,1,3000,3000,3000,3000,3000
93,1,3000,3000,3000,3000,3000
94,1,3000,3000,3000,3000,3000
95,1,3000,3000,3000,3000,3000
96,1,3000,3000,3000,3000,3000
97,1,3000,3000,3000,3000,3000
98,1,3000,3000,3000,3000,3000
99,1,3000,3000,3000,3000,3000
100,1,3000,3000,3000,3000,3000
