round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost
1,20,1,1,1,1,1,1,1,1,Not Possible,2
2,20,1,1,1,1,1,1,1,1,Not Possible,2
3,20,1,1,1,1,1,1,1,1,1,1
4,20,1,1,1,1,1,1,1,1,Not Possible,2
5,20,1,1,1,1,1,1,1,1,1,1
6,20,1,1,1,1,1,1,1,1,1,1
7,20,1,1,1,1,1,1,1,1,1,1
8,20,1,1,1,1,1,1,1,1,1,1
9,20,1,1,1,1,1,1,1,1,1,1
10,20,1,1,1,1,1,1,1,1,Not Possible,2
11,20,1,1,1,1,1,1,1,1,Not Possible,2
12,20,1,1,1,1,1,1,1,1,Not Possible,2
13,20,1,1,Not Possible,1,1,1,1,1,1,1
14,20,1,1,1,1,1,1,1,1,Not Possible,2
15,20,1,1,1,1,1,1,1,1,Not Possible,2
16,20,1,1,Not Possible,1,Not Possible,1,Not Possible,2,Not Possible,2
17,20,1,1,Not Possible,1,1,1,1,2,Not Possible,2
18,20,Not Possible,2,1,1,1,1,1,1,1,1
19,20,1,1,1,1,1,1,1,1,Not Possible,2
20,20,1,1,1,1,1,1,1,1,1,1
21,20,1,1,1,1,1,1,1,1,1,1
22,20,1,1,1,1,1,1,1,1,1,1
23,20,1,1,1,1,1,1,1,1,Not Possible,2
24,20,1,1,1,1,1,1,1,1,1,1
25,20,1,1,1,1,1,1,1,1,Not Possible,2
26,20,1,1,1,1,1,1,1,1,1,1
27,20,1,1,Not Possible,1,Not Possible,1,Not Possible,2,Not Possible,2
28,20,1,1,1,1,1,1,1,1,Not Possible,2
29,20,1,1,1,1,1,1,1,1,1,1
30,20,1,1,1,1,1,1,1,1,1,1
31,20,1,1,1,1,1,1,1,1,Not Possible,2
32,20,1,1,1,1,1,1,1,1,Not Possible,2
33,20,1,1,1,1,1,1,1,1,Not Possible,2
34,20,1,1,1,1,1,1,1,1,1,1
35,20,1,1,Not Possible,1,1,1,1,1,Not Possible,2
36,20,1,1,1,1,1,1,1,1,1,1
37,20,1,1,Not Possible,1,1,1,1,1,Not Possible,2
38,20,1,1,1,1,1,1,1,1,Not Possible,2
39,20,1,1,1,1,1,1,1,1,1,1
