round,desired_increase,majoritarian_moving_phantoms_min_removal_cost,majoritarian_moving_phantoms_min_addition_cost,r1_quadratic_min_removal_cost,r1_quadratic_min_addition_cost,r2_mean_min_removal_cost,r2_mean_min_addition_cost,r3_median_min_removal_cost,r3_median_min_addition_cost,r4_capped_median_min_removal_cost,r4_capped_median_min_addition_cost
1,20,2,2,4,1,3,1,2,2,2,2
2,20,1,1,3,1,2,1,2,2,2,2
3,20,1,1,3,1,2,1,1,1,1,1
4,20,1,1,4,1,3,1,1,1,1,1
5,20,2,1,2,1,2,1,2,2,2,2
6,20,1,1,5,1,3,1,2,2,2,2
7,20,1,1,4,1,3,1,1,1,1,1
8,20,1,1,4,1,3,1,1,2,2,1
9,20,1,1,4,1,3,1,2,2,2,2
10,20,1,1,3,1,2,1,1,1,1,1
11,20,2,1,4,1,3,1,2,2,2,2
12,20,2,1,3,1,2,1,1,1,1,1
13,20,1,1,3,1,3,1,1,1,1,1
14,20,1,1,4,1,3,1,1,1,1,1
15,20,1,1,4,1,2,1,1,1,1,1
16,20,2,1,3,1,2,1,2,2,2,2
17,20,2,1,3,1,2,1,1,1,1,1
18,20,1,1,3,1,2,1,2,2,1,1
19,20,1,1,4,1,3,1,2,2,2,2
20,20,2,1,3,1,2,1,2,2,2,1
21,20,3,2,3,1,3,1,2,2,2,2
22,20,1,1,4,1,3,1,2,2,2,2
23,20,2,1,5,1,3,1,2,2,2,2
24,20,1,1,4,1,2,1,1,1,1,1
25,20,1,1,4,1,3,1,1,1,1,1
26,20,1,1,4,1,3,1,2,2,2,2
27,20,2,1,3,1,2,1,1,1,1,1
28,20,2,1,4,1,2,1,2,2,2,2
29,20,1,1,3,1,2,1,1,1,1,1
30,20,1,1,4,1,3,1,1,1,1,1
31,20,1,1,3,1,2,1,1,1,1,1
32,20,1,1,4,1,2,1,2,2,2,2
33,20,2,1,4,1,3,1,1,1,2,1
34,20,1,1,3,1,2,1,1,1,1,1
35,20,1,1,4,1,3,1,1,1,1,1
36,20,2,1,3,1,2,1,1,1,1,1
37,20,1,1,4,1,3,1,1,1,1,1
38,20,1,1,3,1,2,1,1,1,1,1
39,20,1,1,3,1,2,1,1,1,1,1
40,20,1,1,3,1,2,1,1,1,1,1
41,20,1,1,4,1,3,1,2,2,2,1
42,20,1,1,4,1,3,1,2,2,2,2
43,20,1,1,4,1,3,1,1,2,2,1
44,20,1,1,3,1,2,1,2,2,2,2
45,20,1,1,4,1,3,1,2,2,2,2
46,20,1,1,3,1,2,1,1,1,1,1
47,20,1,1,3,1,2,1,2,2,2,1
48,20,1,1,3,1,2,1,2,2,2,1
49,20,1,1,5,1,3,1,2,2,2,1
50,20,1,1,3,1,2,1,1,1,1,1
51,20,1,1,3,1,2,1,1,1,1,1
52,20,1,1,3,1,2,1,1,1,1,1
53,20,3,2,4,1,2,1,1,1,1,1
54,20,1,1,4,1,3,1,1,1,1,1
55,20,1,1,3,1,2,1,1,1,1,1
56,20,1,1,3,1,2,1,1,2,2,1
57,20,1,1,3,1,2,1,2,2,2,2
58,20,1,1,3,1,2,1,2,2,2,1
59,20,2,1,4,1,3,1,2,2,2,1
60,20,2,1,4,1,3,1,1,1,1,1
61,20,1,1,3,1,2,1,1,1,1,1
62,20,1,1,3,1,2,1,2,2,2,2
63,20,2,1,3,1,2,1,2,2,2,2
64,20,2,1,3,1,2,1,1,1,1,1
65,20,1,1,3,1,2,1,1,1,1,1
66,20,1,1,3,1,2,1,1,1,1,1
67,20,1,1,4,1,3,1,2,2,1,1
68,20,1,1,5,1,3,1,2,2,3,2
69,20,2,1,3,1,3,1,2,2,2,2
70,20,1,1,3,1,2,1,3,3,3,2
71,20,2,1,4,1,3,1,2,2,2,2
72,20,1,1,3,1,2,1,1,1,1,1
73,20,2,1,4,1,2,1,1,1,1,1
74,20,2,1,4,1,3,1,1,1,1,1
75,20,1,1,3,1,2,1,1,1,1,1
76,20,1,1,4,1,3,1,1,1,1,1
77,20,1,1,4,1,3,1,2,2,2,2
78,20,1,1,3,1,2,1,1,1,1,1
79,20,1,1,3,1,2,1,1,1,1,1
80,20,1,1,3,1,2,1,2,2,2,1
81,20,1,1,3,1,2,1,1,1,1,1
82,20,1,1,4,1,3,1,2,2,2,2
83,20,1,1,3,1,2,1,1,1,1,1
84,20,2,2,4,1,3,1,2,2,2,1
85,20,2,1,3,1,2,1,2,2,2,2
86,20,1,1,4,1,2,1,2,2,2,2
87,20,1,1,4,1,3,1,2,2,3,2
88,20,3,1,4,1,3,1,1,1,1,1
89,20,3,1,3,1,2,1,1,1,1,1
90,20,2,1,4,1,3,1,2,2,2,2
91,20,1,1,5,1,3,1,1,1,1,1
92,20,1,1,3,1,2,1,1,1,1,1
93,20,2,1,3,1,3,1,2,2,2,1
94,20,2,1,4,1,3,1,2,2,2,2
95,20,1,1,4,1,3,1,2,2,2,2
96,20,1,1,4,1,3,1,2,2,2,2
97,20,1,1,3,1,2,1,1,1,1,1
98,20,2,2,3,1,2,1,1,1,1,1
99,20,1,1,4,1,3,1,2,2,2,1
100,20,2,1,3,1,2,1,2,2,2,2
