project_name,phantoms_allocation,median_score,adjusted_score,final_score
Aave,115297.99454133182,112349.9,122748.9,122748.9
Alchemix,2669.706396981451,1675.2,1830.2,1830.2
Biconomy,10672.65686329206,9138.1,9983.9,9983.9
0x Protocol,289821.31827570737,280258.3,306198.7,306198.7
CreateMyToken,0.270283884119696,0.2,0.2,0.2
Poster,1.4021253145580463,1.0,1.1,1.1
Loot2,16380.132799854875,14973.5,16359.4,16359.4
Wombat Exchange,3726.6386548214364,2598.1,2838.6,2838.6
Ethereum Attestation Service (EAS),38843.77854382216,36522.1,39902.6,39902.6
Wormhole Foundation,24346.75388957304,21630.1,23632.2,23632.2
$ENJOY,37502.251879188916,34104.9,37261.6,37261.6
/send,1254.8008199782682,1074.4,1173.8,1173.8
3DNS,5669.63140446023,4937.9,5394.9,5394.9
Account Abstraction - ERC-4337,222942.78494097956,176452.4,192784.7,192784.7
Across Protocol,61882.27857171704,59427.2,64927.7,64927.7
Aerodrome Finance,182879.71913982168,164715.6,179961.5,179961.5
Alien Base,29126.310436174277,25700.5,28079.3,28079.3
Ambire,121.64960373665774,88.4,96.5,96.5
Aragon,1670.8380387175737,1185.5,1295.3,1295.3
Arcadia Finance,5254.76422364308,4603.6,5029.7,5029.7
Archly,565.7921436717207,367.1,401.1,401.1
Astaria,3806.307025194983,1854.2,2025.8,2025.8
Aura Finance,7827.868237595003,6519.7,7123.2,7123.2
Avantis,32705.849244923396,29386.3,32106.3,32106.3
BLOCKS,33646.12671548175,31117.1,33997.3,33997.3
BMX by Morphex,19899.120509957822,15920.0,17393.5,17393.5
BSX,12420.755513313869,10832.4,11835.0,11835.0
Balancer,43132.17379805353,39916.1,43610.6,43610.6
Base Runners,2022.0405374270788,737.1,805.3,805.3
Base on Rarible,3148.7538577676264,2547.3,2783.1,2783.1
BaseDoge,2195.9769133865307,964.5,1053.8,1053.8
BaseSwap,50873.41706896688,46255.4,50536.8,50536.8
Based Bodega,127.32474406732139,102.3,111.8,111.8
