project_name,application_id,median_score,adjusted_score,final_score
Zora,0x9102357674825ed224734387fbefbf41c16fe5d9764c2f7f3e897ad3325d3990,500000.0,500000.0,500000.0
Layer3,0x91a4420e2fcc8311e97dad480f201a8ce221f2cd64c2de77280cbcc6ce193752,500000.0,500000.0,500000.0
LI.FI,0x517eaa9c56951de89261f2d7830ea49aae92f2a903104a17d9c5c2edd4959806,440940.5,480922.7,481556.2
Stargate Finance,0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,390718.5,426146.8,426708.1
ODOS,0xd5b4c54b12bf86f6eb67fec81032809a16ff1c4b4c7f0d5898fc86367db86ca6,328804.5,358618.8,359091.2
0x Protocol,0x0fad18f37ecec4f4f4ca18e60c353eb11462363e8aa14562b5d96af54108d106,319783.7,348780.1,349239.5
Sound.xyz,0x70a31809b59034a137b8ba57b092412879e779f0ea527f091776dca521edc7af,253421.6,276400.6,276764.7
Synthetix,0xcf10a15439ef8c56e1b6c22641544012bfd032c7b584d1160a7d743cb770875b,235003.5,256312.5,256650.1
Account Abstraction - ERC-4337,0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6,208586.9,227500.5,227800.2
Aerodrome Finance,0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,200946.3,219167.1,219455.8
Sushiswap,0x41b2ae8a2ead458ff7c85549a9a11380353e1ae4b234666312d495326636f77a,160725.2,175298.9,175529.8
Kwenta,0x945e356d400d37b4cd548ca3b53d4ee41a075c8b4befd0b8589947b6d8721ad4,152965.4,166835.5,167055.3
Perp V2 - Curie,0x4cf98b5dec7f0f51eb6b88ecb15639bafc7320bdc6e21ac443f4c58ebeb1245b,146104.4,159352.4,159562.3
Dmail Network,0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,142929.9,155890.1,156095.4
LayerZero,0x3230536d9c471231698a0fe66daeeda963282f2b594ce5a47d3dbfa53ac9d4a5,132358.2,144359.7,144549.9
Ionic Protocol,0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,131690.4,143631.4,143820.6
Boost,0x5c4cbf1cf48fea0f82cfdf33b94f43910f3062b6cca1fbfe46d4ee7e1f5506d1,128908.5,140597.2,140782.4
Party.app + Party Protocol,0x850df51e29f2846a5f085d88e6b6fc13fad51ad7161f8a825ed09d470668161a,127800.0,139388.2,139571.8
Synapse Protocol,0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,126470.8,137938.5,138120.2
Aave,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,126344.3,137800.5,137982.0
Seamless Protocol,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,118872.9,129651.7,129822.5
Velodrome Finance,0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,110862.2,120914.6,121073.9
Rainbow (Rainbow Router),0xffffeb1d3576c1e847701c225975ee1a10259e05366b477e98fea7a47c5e5896,109095.9,118988.2,119144.9
WOOFi,0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d,106464.5,116118.1,116271.1
Holograph Foundation,0x1a6ff49fed19e164fd6b39f668f391cfc7fc493906e942c74997aacee91be632,104333.7,113794.2,113944.0
Kim Exchange,0x69f13f6351489812a9052412e273ba726383744c8c482ac877c6a4e9f3b1d3ad,101818.4,111050.8,111197.1
deBridge,0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,100379.0,109480.8,109625.0
NFTs2Me,0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,88697.3,96739.9,96867.3
far.quest - Farcaster Super App,0x182f5a5c04ccdc4739ee9f362af72d7a0f55d6b410cc9dc2b52dc7f99f06f3f9,86411.5,94246.8,94371.0
Manifold,0x8e60d35b5b545cfb3a2264c6f95024c0359b00a3febcb7a56967934ce917783c,79072.8,86242.8,86356.4
Zerion,0xd61084147c0e08c9a304348584c6bd0e9974a4073bff55f6b1728730b6ce07f7,76038.3,82933.1,83042.3
Highlight,0x331511dd6300baf10a35b2d3f3953fd7160412b970049b3a63b64564ce26c347,76002.5,82894.0,83003.2
